Time,Channel B
(ms),(V)

-10.00932232,4.80346100
-10.00676232,4.80346100
-10.00420232,4.80346100
-10.00164232,4.80346100
-9.99908232,4.80346100
-9.99652232,4.80346100
-9.99396232,4.80346100
-9.99140232,4.80346100
-9.98884232,4.80346100
-9.98628232,4.80346100
-9.98372232,4.84756000
-9.98116232,4.80346100
-9.97860232,4.80346100
-9.97604232,4.80346100
-9.97348232,4.80346100
-9.97092232,4.80346100
-9.96836232,4.84756000
-9.96580232,4.80346100
-9.96324232,4.80346100
-9.96068232,4.80346100
-9.95812232,4.80346100
-9.95556232,4.80346100
-9.95300232,4.80346100
-9.95044232,4.80346100
-9.94788232,4.80346100
-9.94532232,4.80346100
-9.94276232,4.80346100
-9.94020232,4.75936200
-9.93764232,4.80346100
-9.93508232,4.80346100
-9.93252232,4.80346100
-9.92996232,4.80346100
-9.92740232,4.80346100
-9.92484232,4.80346100
-9.92228232,4.80346100
-9.91972232,4.80346100
-9.91716232,4.80346100
-9.91460232,4.80346100
-9.91204232,4.80346100
-9.90948232,4.80346100
-9.90692232,4.80346100
-9.90436232,4.80346100
-9.90180232,4.80346100
-9.89924232,4.80346100
-9.89668232,4.80346100
-9.89412232,4.80346100
-9.89156232,4.75936200
-9.88900232,4.80346100
-9.88644232,4.80346100
-9.88388232,4.80346100
-9.88132232,4.80346100
-9.87876232,4.80346100
-9.87620232,4.80346100
-9.87364232,4.80346100
-9.87108232,4.80346100
-9.86852232,4.80346100
-9.86596232,4.80346100
-9.86340232,4.80346100
-9.86084232,4.80346100
-9.85828232,4.80346100
-9.85572232,4.80346100
-9.85316232,4.80346100
-9.85060232,4.80346100
-9.84804232,4.80346100
-9.84548232,4.80346100
-9.84292232,4.80346100
-9.84036232,4.80346100
-9.83780232,4.80346100
-9.83524232,4.80346100
-9.83268232,4.75936200
-9.83012232,4.80346100
-9.82756232,4.75936200
-9.82500232,4.80346100
-9.82244232,4.80346100
-9.81988232,4.80346100
-9.81732232,4.80346100
-9.81476232,4.75936200
-9.81220232,4.80346100
-9.80964232,4.80346100
-9.80708232,4.80346100
-9.80452232,4.80346100
-9.80196232,4.80346100
-9.79940232,4.80346100
-9.79684232,4.80346100
-9.79428232,4.80346100
-9.79172232,4.80346100
-9.78916232,4.80346100
-9.78660232,4.80346100
-9.78404232,4.80346100
-9.78148232,4.80346100
-9.77892232,4.80346100
-9.77636232,4.80346100
-9.77380232,4.80346100
-9.77124232,4.80346100
-9.76868232,4.80346100
-9.76612232,4.80346100
-9.76356232,4.80346100
-9.76100232,4.80346100
-9.75844232,4.80346100
-9.75588232,4.75936200
-9.75332232,4.80346100
-9.75076232,4.80346100
-9.74820232,4.80346100
-9.74564232,4.80346100
-9.74308232,4.80346100
-9.74052232,4.80346100
-9.73796232,4.80346100
-9.73540232,4.80346100
-9.73284232,4.75936200
-9.73028232,4.80346100
-9.72772232,4.80346100
-9.72516232,4.80346100
-9.72260232,4.80346100
-9.72004232,4.80346100
-9.71748232,4.80346100
-9.71492232,4.80346100
-9.71236232,4.80346100
-9.70980232,4.80346100
