Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [px];Y position [px];Distance [px];Distance in x-direction [px];Distance in y-direction [px];Length [px];Length in x-Direction [px];Length in y-Direction [px];Velocity [px/s];Velocity in x-direction [px/s];Velocity in y-direction [px/s];Acceleration [px/s²];Acceleration in x-Direction [px/s²];Acceleration in y-Direction [px/s²];
1;0;890;368;890;368;25.46;18;-18;25.46;18;-18;1272.79;900;-900;23323.03;-17500;127500;
2;0.02;908;350;908;350;69.57;22;66;95.03;40;48;1739.25;550;1650;7585.43;33750;-60000;
4;0.06;930;416;930;416;40.85;38;-15;135.88;78;33;2042.67;1900;-750;-3922.94;-167500;-28750;
5;0.08;968;401;968;401;78.57;-58;-53;214.45;20;-20;1964.21;-1450;-1325;-4871.35;53750;73750;
7;0.12;910;348;910;348;70.77;28;65;285.22;48;45;1769.36;700;1625;-25777.9;-26250;-56875;
9;0.16;938;413;938;413;14.76;-7;-13;299.99;41;32;738.24;-350;-650;29089.84;-10000;-27500;
10;0.18;931;400;931;400;52.8;-22;-48;352.79;19;-16;1320.04;-550;-1200;8503.95;26875;69375;
12;0.22;909;352;909;352;66.41;21;63;419.2;40;47;1660.2;525;1575;6745.75;33125;-53125;
14;0.26;930;415;930;415;38.6;37;-11;457.8;77;36;1930.03;1850;-550;5179.89;-166250;-42500;
15;0.28;967;404;967;404;81.34;-59;-56;539.14;18;-20;2033.62;-1475;-1400;-25530.02;50625;56250;
17;0.32;908;348;908;348;40.5;22;34;579.64;40;14;1012.42;550;850;23997.14;28750;3750;
19;0.36;930;382;930;382;39.45;34;20;619.08;74;34;1972.31;1700;1000;-3936.68;-155000;-113750;
20;0.38;964;402;964;402;75.74;-56;-51;694.83;18;-17;1893.57;-1400;-1275;-4450.52;48750;72500;
22;0.42;908;351;908;351;68.62;22;65;763.45;40;48;1715.55;550;1625;10158.89;30000;-70625;
24;0.46;930;416;930;416;42.44;35;-24;805.89;75;24;2121.91;1750;-1200;-17266.29;-156250;3750;
25;0.48;965;392;965;392;71.06;-55;-45;876.95;20;-21;1776.58;-1375;-1125;-933.28;48125;69375;
27;0.52;910;347;910;347;69.57;22;66;946.52;42;45;1739.25;550;1650;7814.39;21250;-78750;
29;0.56;932;413;932;413;41.04;28;-30;987.56;70;15;2051.83;1400;-1500;-26659.71;-133750;33750;
