Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [px];Y position [px];Distance [px];Distance in x-direction [px];Distance in y-direction [px];Length [px];Length in x-Direction [px];Length in y-Direction [px];Velocity [px/s];Velocity in x-direction [px/s];Velocity in y-direction [px/s];Acceleration [px/s²];Acceleration in x-Direction [px/s²];Acceleration in y-Direction [px/s²];
2;0.02;189;361;189;361;60.81;43;43;60.81;43;43;1520.28;1075;1075;-7773.52;3125;-30625;
4;0.06;232;404;232;404;24.19;24;-3;85;67;40;1209.34;1200;-150;14668.36;-113750;-45000;
5;0.08;256;401;256;401;60.11;-43;-42;145.11;24;-2;1502.71;-1075;-1050;2709.71;53750;56250;
7;0.12;213;359;213;359;64.44;43;48;209.55;67;46;1611.09;1075;1200;-31527.36;-26875;-38750;
9;0.16;256;407;256;407;7;0;-7;216.55;67;39;350;0;-350;160439.6;12500;-160000;
10;0.18;256;400;256;400;71.18;5;-71;287.73;72;-32;3558.79;250;-3550;-73626.37;-85000;252500;
11;0.2;261;329;261;329;41.73;-29;30;329.45;43;-2;2086.26;-1450;1500;-18462.71;136250;-17500;
12;0.22;232;359;232;359;68.68;51;46;398.13;94;44;1717.01;1275;1150;-36193.81;-34375;-22500;
14;0.26;283;405;283;405;5.39;-2;5;403.52;92;49;269.26;-100;250;57115.06;-22500;-77500;
15;0.28;281;410;281;410;56.46;-22;-52;459.98;70;-3;1411.56;-550;-1300;5408.07;43750;60000;
17;0.32;259;358;259;358;65.12;48;44;525.09;118;41;1627.88;1200;1100;-25490.15;-32500;-12500;
19;0.36;307;402;307;402;12.17;-2;12;537.26;116;53;608.28;-100;600;46244.93;-26250;-100000;
20;0.38;305;414;305;414;61.33;-25;-56;598.59;91;-3;1533.17;-625;-1400;8428.82;52500;63750;
22;0.42;280;358;280;358;74.81;59;46;673.4;150;43;1870.33;1475;1150;-31095.73;-29375;-42500;
24;0.46;339;404;339;404;12.53;6;-11;685.93;156;32;626.5;300;-550;39407.86;-63750;-23750;
25;0.48;345;393;345;393;56.59;-39;-41;742.52;117;-9;1414.66;-975;-1025;8968.98;58125;54375;
27;0.52;306;352;306;352;70.94;54;46;813.45;171;37;1773.41;1350;1150;-35496.53;-42500;-30000;
29;0.56;360;398;360;398;7.07;-7;-1;820.52;164;36;353.55;-350;-50;59154.13;-11250;-68750;
30;0.58;353;397;353;397;61.47;-23;-57;881.99;141;-21;1536.64;-575;-1425;13763.18;50000;73750;
32;0.62;330;340;330;340;83.49;57;61;965.48;198;40;2087.16;1425;1525;-40654.65;-24375;-40625;
34;0.66;387;401;387;401;9.22;9;-2;974.7;207;38;460.98;450;-100;69222.82;-76250;-70000;
35;0.68;396;399;396;399;73.82;-43;-60;1048.51;164;-22;1845.43;-1075;-1500;5618.54;65000;72500;
37;0.72;353;339;353;339;82.81;61;56;1131.32;225;34;2070.18;1525;1400;-32673.96;-54375;-25000;
39;0.76;414;395;414;395;15.26;-13;8;1146.58;212;42;763.22;-650;400;47279.19;2500;-100000;
40;0.78;401;403;401;403;68.35;-24;-64;1214.94;188;-22;1708.8;-600;-1600;8575.69;52500;75000;
42;0.82;377;339;377;339;82.07;60;56;1297.01;248;34;2051.83;1500;1400;-37320.29;-25000;-28750;
44;0.86;437;395;437;395;11.18;10;5;1308.19;258;39;559.02;500;250;62577.12;-77500;-86250;
45;0.88;447;400;447;400;72.42;-42;-59;1380.61;216;-20;1810.56;-1050;-1475;1590.18;60000;69375;
