Pixel index,Intensity
1.00000000,0.00018796
2.00000000,0.00018743
3.00000000,0.00039547
4.00000000,0.00132708
5.00000000,0.00161548
6.00000000,0.00161099
7.00000000,0.00161021
8.00000000,0.00162424
9.00000000,0.00172123
10.00000000,0.00166412
11.00000000,0.00166570
12.00000000,0.00168290
13.00000000,0.00165778
14.00000000,0.00163214
15.00000000,0.00173179
16.00000000,0.00155018
17.00000000,0.00158904
18.00000000,0.00163980
19.00000000,0.00172123
20.00000000,0.00168239
21.00000000,0.00163664
22.00000000,0.00152957
23.00000000,0.00155468
24.00000000,0.00161919
25.00000000,0.00167495
26.00000000,0.00170615
27.00000000,0.00168686
28.00000000,0.00157663
29.00000000,0.00168421
30.00000000,0.00170722
31.00000000,0.00169213
32.00000000,0.00162421
33.00000000,0.00169478
34.00000000,0.00162684
35.00000000,0.00164721
36.00000000,0.00163743
37.00000000,0.00173973
38.00000000,0.00169296
39.00000000,0.00161971
40.00000000,0.00159513
41.00000000,0.00174502
42.00000000,0.00172467
43.00000000,0.00171593
44.00000000,0.00161892
45.00000000,0.00172121
46.00000000,0.00169821
47.00000000,0.00169477
48.00000000,0.00169294
49.00000000,0.00164191
50.00000000,0.00156076
51.00000000,0.00163134
52.00000000,0.00161629
53.00000000,0.00164693
54.00000000,0.00160570
55.00000000,0.00165514
56.00000000,0.00169294
57.00000000,0.00173443
58.00000000,0.00172466
59.00000000,0.00177409
60.00000000,0.00165595
61.00000000,0.00165250
62.00000000,0.00168502
63.00000000,0.00169478
64.00000000,0.00161628
65.00000000,0.00163927
66.00000000,0.00164008
67.00000000,0.00172387
68.00000000,0.00170774
69.00000000,0.00179525
70.00000000,0.00175903
71.00000000,0.00177461
72.00000000,0.00169029
73.00000000,0.00171063
74.00000000,0.00167708
75.00000000,0.00169744
76.00000000,0.00153697
77.00000000,0.00164772
78.00000000,0.00166386
79.00000000,0.00171065
80.00000000,0.00164800
81.00000000,0.00166307
82.00000000,0.00166388
83.00000000,0.00170006
84.00000000,0.00158322
85.00000000,0.00168422
86.00000000,0.00167180
87.00000000,0.00173444
88.00000000,0.00169295
89.00000000,0.00165249
90.00000000,0.00158191
91.00000000,0.00156526
92.00000000,0.00157399
93.00000000,0.00163135
94.00000000,0.00165593
95.00000000,0.00169743
96.00000000,0.00159778
97.00000000,0.00168686
98.00000000,0.00171144
99.00000000,0.00171355
100.00000000,0.00163742
101.00000000,0.00167891
102.00000000,0.00164799
103.00000000,0.00172651
104.00000000,0.00166651
105.00000000,0.00163926
106.00000000,0.00164006
107.00000000,0.00165513
108.00000000,0.00166386
109.00000000,0.00166306
110.00000000,0.00158878
111.00000000,0.00165777
112.00000000,0.00160042
113.00000000,0.00164456
114.00000000,0.00164008
115.00000000,0.00165779
116.00000000,0.00164800
117.00000000,0.00172651
118.00000000,0.00167710
119.00000000,0.00170326
120.00000000,0.00169824
121.00000000,0.00171593
122.00000000,0.00164535
123.00000000,0.00172148
124.00000000,0.00166651
125.00000000,0.00167099
126.00000000,0.00171673
127.00000000,0.00179259
128.00000000,0.00174845
129.00000000,0.00170008
130.00000000,0.00162686
131.00000000,0.00169744
132.00000000,0.00163215
133.00000000,0.00167231
134.00000000,0.00164801
135.00000000,0.00170538
136.00000000,0.00164007
137.00000000,0.00167498
138.00000000,0.00163745
139.00000000,0.00173708
140.00000000,0.00174052
141.00000000,0.00171858
142.00000000,0.00164801
143.00000000,0.00171330
144.00000000,0.00166387
145.00000000,0.00171066
146.00000000,0.00167974
147.00000000,0.00168158
148.00000000,0.00164536
149.00000000,0.00170272
150.00000000,0.00166122
151.00000000,0.00166042
152.00000000,0.00164271
153.00000000,0.00176088
154.00000000,0.00177410
155.00000000,0.00181111
156.00000000,0.00177912
157.00000000,0.00175294
158.00000000,0.00166386
159.00000000,0.00167365
160.00000000,0.00163215
161.00000000,0.00171065
162.00000000,0.00165330
163.00000000,0.00174237
164.00000000,0.00171937
165.00000000,0.00169743
166.00000000,0.00164007
167.00000000,0.00169742
168.00000000,0.00165856
169.00000000,0.00171065
170.00000000,0.00162950
171.00000000,0.00164985
172.00000000,0.00159963
173.00000000,0.00168792
174.00000000,0.00162712
175.00000000,0.00159962
176.00000000,0.00159512
177.00000000,0.00177937
178.00000000,0.00164006
179.00000000,0.00164773
180.00000000,0.00165858
181.00000000,0.00169505
182.00000000,0.00165778
183.00000000,0.00168685
184.00000000,0.00167179
185.00000000,0.00173443
186.00000000,0.00168765
187.00000000,0.00176616
188.00000000,0.00170880
189.00000000,0.00168158
190.00000000,0.00171674
191.00000000,0.00173710
192.00000000,0.00169296
193.00000000,0.00171146
194.00000000,0.00164537
195.00000000,0.00164985
196.00000000,0.00165989
197.00000000,0.00176615
198.00000000,0.00174316
199.00000000,0.00176352
200.00000000,0.00162472
201.00000000,0.00153088
202.00000000,0.00163215
203.00000000,0.00181903
204.00000000,0.00166386
205.00000000,0.00166043
206.00000000,0.00168502
207.00000000,0.00176088
208.00000000,0.00175904
209.00000000,0.00169823
210.00000000,0.00158191
211.00000000,0.00162340
