Frequency,Channel A
(MHz),(dBu)

0.00000000,-30.66023000
0.00038147,-34.20877000
0.00076294,-43.21510000
0.00114441,-50.45951000
0.00152588,-47.16934000
0.00190735,-47.34090000
0.00228882,-51.55598000
0.00267029,-53.82316000
0.00305176,-60.53326000
0.00343323,-57.41022000
0.00381470,-60.25176000
0.00419617,-60.93956000
0.00457764,-59.76411000
0.00495911,-58.27244000
0.00534058,-66.21459000
0.00572205,-52.42203000
0.00610352,-51.79015000
0.00648499,-47.37518000
0.00686646,-48.21495000
0.00724792,-41.00146000
0.00762939,-31.03763000
0.00801086,-12.76268000
0.00839233,-1.79012100
0.00877380,3.29790300
0.00915527,3.42585000
0.00953674,-1.38685200
0.00991821,-12.00929000
0.01029968,-29.56950000
0.01068115,-42.22311000
0.01106262,-47.51678000
0.01144409,-47.07996000
0.01182556,-50.99835000
0.01220703,-53.20155000
0.01258850,-66.00642000
0.01296997,-55.46284000
0.01335144,-72.14855000
0.01373291,-58.32693000
0.01411438,-61.85877000
0.01449585,-53.06183000
0.01487732,-55.45643000
0.01525879,-54.90520000
0.01564026,-57.16986000
0.01602173,-55.03902000
0.01640320,-53.42926000
0.01678467,-54.86411000
0.01716614,-54.38093000
0.01754761,-52.47061000
0.01792908,-52.80791000
0.01831055,-53.16294000
0.01869202,-54.89196000
0.01907349,-55.30798000
0.01945496,-53.22559000
0.01983643,-52.59577000
0.02021790,-53.16234000
0.02059937,-54.63710000
0.02098083,-56.90500000
0.02136230,-56.09837000
0.02174377,-55.56506000
0.02212524,-56.90157000
0.02250671,-58.56109000
0.02288818,-57.42115000
0.02326965,-59.95005000
0.02365112,-63.38910000
0.02403259,-61.37458000
0.02441406,-64.48316000
0.02479553,-64.82879000
0.02517700,-64.54697000
0.02555847,-84.03598000
0.02593994,-60.71713000
0.02632141,-57.00692000
0.02670288,-58.24500000
0.02708435,-58.78178000
0.02746582,-56.19350000
0.02784729,-56.62523000
0.02822876,-61.46587000
0.02861023,-64.71131000
0.02899170,-64.74297000
0.02937317,-58.49139000
0.02975464,-52.94416000
0.03013611,-51.43546000
0.03051758,-53.38470000
0.03089905,-59.27750000
0.03128052,-73.04797000
0.03166199,-64.92110000
0.03204346,-62.52802000
0.03242493,-63.52206000
0.03280640,-65.84668000
0.03318787,-80.61177000
0.03356934,-61.12276000
0.03395081,-55.59269000
0.03433228,-55.66758000
0.03471375,-59.19431000
0.03509521,-59.92432000
0.03547668,-59.01065000
0.03585815,-58.73508000
0.03623962,-59.46178000
0.03662109,-59.85227000
0.03700256,-60.99791000
0.03738403,-62.64140000
0.03776550,-59.58128000
0.03814697,-60.11291000
0.03852844,-57.32109000
0.03890991,-55.85900000
0.03929138,-56.79080000
0.03967285,-58.29149000
0.04005432,-58.86618000
0.04043579,-60.68901000
0.04081726,-71.77119000
0.04119873,-60.97187000
0.04158020,-53.74458000
0.04196167,-52.88527000
0.04234314,-57.01097000
0.04272461,-58.52527000
0.04310608,-58.98481000
0.04348755,-65.63139000
0.04386902,-60.90617000
0.04425049,-56.74395000
0.04463196,-55.77117000
0.04501343,-59.70855000
0.04539490,-67.88840000
0.04577637,-57.99924000
0.04615784,-57.46284000
0.04653931,-60.11810000
0.04692078,-56.83569000
0.04730225,-53.77901000
0.04768372,-52.08943000
0.04806519,-52.25434000
0.04844666,-55.09251000
0.04882813,-62.63385000
0.04920959,-64.63811000
0.04959106,-55.82999000
0.04997253,-55.42204000
0.05035400,-61.03874000
0.05073547,-61.58056000
0.05111694,-58.25097000
0.05149841,-57.34695000
0.05187988,-58.14411000
0.05226135,-60.11733000
0.05264282,-59.97063000
0.05302429,-55.02271000
0.05340576,-53.15627000
0.05378723,-52.95809000
0.05416870,-52.59323000
0.05455017,-53.04411000
0.05493164,-56.37882000
0.05531311,-59.68616000
0.05569458,-58.56715000
0.05607605,-56.46671000
0.05645752,-54.57392000
