Time,Channel A
(ms),(V)

-0.00015106,0.91921750
0.00016894,1.09897100
0.00048894,1.18869600
0.00080893,1.36845000
0.00112893,1.45817400
0.00144893,1.63792800
0.00176893,1.72795800
0.00208893,1.90740700
0.00240893,1.99743600
0.00272893,2.17719100
0.00304893,2.26691500
0.00336893,2.44666900
0.00368893,2.53639300
0.00400893,2.62611800
0.00432893,2.80587200
0.00464893,2.98562600
0.00496893,3.07535000
0.00528893,3.25510400
0.00560893,3.34513400
0.00592893,3.43485800
0.00624893,3.61461200
0.00656893,3.70433700
0.00688893,3.79436600
0.00720893,3.97381500
0.00752893,4.06384500
0.00784893,4.15356900
0.00816893,4.33332300
0.00848893,4.42304800
0.00880893,4.51307700
0.00912893,4.60280200
0.00944893,4.69252600
0.00976893,4.87228000
0.01008893,4.96231000
0.01040893,5.05203400
0.01072893,5.14175800
0.01104893,5.23178800
0.01136893,5.32151300
0.01168893,5.41154200
0.01200893,5.50126600
0.01232893,5.68102100
0.01264893,5.68102100
0.01296893,5.77074500
0.01328893,5.95049900
0.01360893,5.95049900
0.01392893,6.04022400
0.01424893,6.13025300
0.01456893,6.21997700
0.01488893,6.31000700
0.01520893,6.39973200
0.01552893,6.48945600
0.01584893,6.48945600
0.01616893,6.57948500
0.01648893,6.57948500
0.01680893,6.66921000
0.01712893,6.75893400
0.01744893,6.75893400
0.01776893,6.84896400
0.01808893,6.93868800
0.01840893,6.93868800
0.01872893,7.02871800
0.01904893,7.11844300
0.01936893,7.11844300
0.01968893,7.11844300
0.02000893,7.20816700
0.02032893,7.20816700
0.02064893,7.20816700
0.02096893,7.29819600
0.02128893,7.38792100
0.02160893,7.38792100
0.02192893,7.38792100
0.02224893,7.47795100
0.02256893,7.47795100
0.02288893,7.47795100
0.02320893,7.56767500
0.02352893,7.47795100
0.02384893,7.47795100
0.02416893,7.47795100
0.02448893,7.56767500
0.02480893,7.56767500
0.02512893,7.56767500
0.02544893,7.56767500
0.02576893,7.56767500
0.02608893,7.47795100
0.02640893,7.47795100
0.02672893,7.47795100
0.02704893,7.47795100
0.02736893,7.47795100
0.02768893,7.38792100
0.02800893,7.38792100
0.02832893,7.38792100
0.02864893,7.38792100
0.02896893,7.38792100
0.02928893,7.29819600
0.02960893,7.20816700
0.02992893,7.20816700
0.03024893,7.20816700
0.03056893,7.20816700
0.03088893,7.11844300
0.03120893,7.11844300
0.03152893,7.02871800
0.03184893,7.02871800
0.03216893,6.93868800
0.03248893,6.84896400
0.03280893,6.84896400
0.03312893,6.75893400
0.03344893,6.66921000
0.03376893,6.57948500
0.03408893,6.57948500
0.03440893,6.48945600
0.03472893,6.39973200
0.03504893,6.39973200
0.03536893,6.31000700
0.03568893,6.21997700
0.03600893,6.13025300
0.03632893,6.13025300
0.03664893,6.04022400
0.03696893,5.86077500
0.03728893,5.77074500
0.03760893,5.68102100
0.03792893,5.59099100
0.03824893,5.59099100
0.03856893,5.41154200
0.03888893,5.41154200
0.03920893,5.32151300
0.03952893,5.14175800
0.03984893,5.05203400
0.04016893,4.96231000
0.04048893,4.87228000
