Frequency,Channel A
(kHz),(dBu)

0.00000000,-37.47795000
0.19073486,-43.99369000
0.38146973,-53.47091000
0.57220459,-36.51746000
0.76293945,-25.97588000
0.95367432,-24.36665000
1.14440918,-31.14244000
1.33514404,-50.52550000
1.52587891,-66.19633000
1.71661377,-62.29399000
1.90734863,-61.24024000
2.09808350,-63.75634000
2.28881836,-63.61525000
2.47955322,-64.22388000
2.67028809,-69.90491000
2.86102295,-71.30330000
3.05175781,-74.78652000
3.24249268,-81.63615000
3.43322754,-70.32087000
3.62396240,-66.63436000
3.81469727,-71.45071000
4.00543213,-75.09910000
4.19616699,-81.76379000
4.38690186,-75.42654000
4.57763672,-70.23978000
4.76837158,-72.22285000
4.95910645,-68.68546000
5.14984131,-61.57270000
5.34057617,-60.83444000
5.53131104,-65.24899000
5.72204590,-74.82385000
5.91278076,-80.39128000
6.10351563,-66.28452000
6.29425049,-62.70150000
6.48498535,-65.54079000
6.67572021,-70.98354000
6.86645508,-66.87036000
7.05718994,-68.20730000
7.24792480,-72.70335000
7.43865967,-70.41219000
7.62939453,-72.08578000
7.82012939,-68.50318000
8.01086426,-69.83146000
8.20159912,-63.61210000
8.39233398,-67.68317000
8.58306885,-53.80941000
8.77380371,-45.27457000
8.96453857,-36.96807000
9.15527344,-34.19915000
9.34600830,-36.75517000
9.53674316,-44.91104000
9.72747803,-54.47955000
9.91821289,-68.73162000
10.10894775,-64.67816000
10.29968262,-75.22594000
10.49041748,-78.89938000
10.68115234,-74.23059000
10.87188721,-71.59255000
11.06262207,-77.99623000
11.25335693,-69.91061000
11.44409180,-66.62273000
11.63482666,-72.58083000
11.82556152,-70.24563000
12.01629639,-66.92221000
12.20703125,-72.33366000
12.39776611,-79.16071000
12.58850098,-72.69173000
12.77923584,-65.52880000
12.96997070,-68.00684000
13.16070557,-72.21597000
13.35144043,-67.51991000
13.54217529,-68.06332000
13.73291016,-66.22440000
13.92364502,-65.13940000
14.11437988,-68.22461000
14.30511475,-86.04933000
14.49584961,-72.55663000
14.68658447,-81.20513000
14.87731934,-70.74624000
15.06805420,-73.03193000
15.25878906,-73.16158000
15.44952393,-68.97819000
15.64025879,-72.66411000
15.83099365,-76.69727000
16.02172852,-87.07581000
16.21246338,-73.63219000
16.40319824,-71.05727000
16.59393311,-76.29498000
16.78466797,-74.06219000
16.97540283,-68.39127000
17.16613770,-65.44776000
17.35687256,-68.99558000
17.54760742,-75.95487000
17.73834229,-67.07969000
17.92907715,-67.47497000
18.11981201,-75.31326000
18.31054688,-73.88277000
18.50128174,-68.31387000
18.69201660,-67.21217000
18.88275146,-72.22055000
19.07348633,-78.52386000
19.26422119,-68.59400000
19.45495605,-70.00291000
19.64569092,-78.51760000
19.83642578,-70.07581000
20.02716064,-71.52613000
20.21789551,-80.03296000
20.40863037,-84.20493000
20.59936523,-76.98701000
20.79010010,-72.56958000
20.98083496,-72.29700000
21.17156982,-80.91055000
21.36230469,-73.43376000
21.55303955,-71.96686000
21.74377441,-71.19752000
21.93450928,-72.54586000
22.12524414,-73.14441000
22.31597900,-70.15083000
22.50671387,-68.95864000
22.69744873,-71.07929000
22.88818359,-74.16014000
23.07891846,-83.29497000
23.26965332,-72.77550000
23.46038818,-69.84003000
23.65112305,-72.32337000
23.84185791,-76.80453000
24.03259277,-81.99657000
24.22332764,-75.49120000
24.41406250,-68.84255000
24.60479736,-66.21962000
24.79553223,-66.69518000
24.98626709,-67.44002000
25.17700195,-68.82359000
