Time,Channel A
(ms),(V)

-0.00052800,0.94210640
0.00011200,0.99630730
0.00075200,1.03244100
0.00139200,1.06863600
0.00203200,1.10477000
0.00267200,1.15897100
0.00331200,1.21323300
0.00395200,1.24936700
0.00459200,1.28556200
0.00523200,1.32169600
0.00587200,1.37589600
0.00651200,1.39396300
0.00715200,1.44822500
0.00779200,1.46629200
0.00843200,1.50242600
0.00907200,1.53862100
0.00971200,1.57475500
0.01035200,1.59282200
0.01099200,1.62895600
0.01163200,1.66515100
0.01227200,1.68321800
0.01291200,1.70128500
0.01355200,1.73741900
0.01419200,1.75554700
0.01483200,1.79168100
0.01547200,1.80974800
0.01611200,1.80974800
0.01675200,1.84588200
0.01739200,1.86400900
0.01803200,1.88207700
0.01867200,1.90014300
0.01931200,1.90014300
0.01995200,1.91821000
0.02059200,1.93627700
0.02123200,1.93627700
0.02187200,1.95434400
0.02251200,1.97241100
0.02315200,1.97241100
0.02379200,1.97241100
0.02443200,1.97241100
0.02507200,1.99053900
0.02571200,1.97241100
0.02635200,1.99053900
0.02699200,1.99053900
0.02763200,1.99053900
0.02827200,1.97241100
0.02891200,1.97241100
0.02955200,1.97241100
0.03019200,1.97241100
0.03083200,1.95434400
0.03147200,1.95434400
0.03211200,1.95434400
0.03275200,1.93627700
0.03339200,1.91821000
0.03403200,1.91821000
0.03467200,1.90014300
0.03531200,1.88207700
0.03595200,1.88207700
0.03659200,1.86400900
0.03723200,1.84588200
0.03787200,1.82781500
0.03851200,1.80974800
0.03915200,1.79168100
0.03979200,1.77361400
0.04043200,1.75554700
0.04107200,1.73741900
0.04171200,1.71935200
0.04235200,1.70128500
0.04299200,1.68321800
0.04363200,1.64708400
0.04427200,1.62895600
0.04491200,1.61088900
0.04555200,1.59282200
0.04619200,1.55668800
0.04683200,1.53862100
0.04747200,1.52055400
0.04811200,1.50242600
0.04875200,1.46629200
0.04939200,1.44822500
0.05003200,1.43015800
0.05067200,1.39396300
0.05131200,1.37589600
0.05195200,1.33976300
0.05259200,1.32169600
0.05323200,1.30362900
0.05387200,1.26743400
0.05451200,1.24936700
0.05515200,1.21323300
0.05579200,1.19516600
0.05643200,1.17709900
0.05707200,1.15897100
0.05771200,1.12283700
0.05835200,1.10477000
0.05899200,1.08670300
0.05963200,1.05050800
0.06027200,1.03244100
0.06091200,1.01437400
0.06155200,0.99630730
0.06219200,0.96017340
0.06283200,0.94210640
0.06347200,0.92397840
0.06411200,0.90591140
0.06475200,0.88784450
0.06539200,0.86977750
0.06603200,0.85171060
0.06667200,0.83364360
0.06731200,0.81551560
0.06795200,0.79744860
0.06859200,0.77938170
0.06923200,0.76131470
0.06987200,0.74324780
0.07051200,0.74324780
0.07115200,0.72518080
0.07179200,0.70711390
0.07243200,0.68898590
0.07307200,0.67091890
0.07371200,0.67091890
0.07435200,0.65285190
0.07499200,0.63478500
0.07563200,0.63478500
0.07627200,0.63478500
0.07691200,0.61671810
0.07755200,0.59865110
0.07819200,0.58052310
0.07883200,0.58052310
0.07947200,0.58052310
0.08011200,0.58052310
0.08075200,0.56245610
