Time,Channel A
(ms),(V)

-0.00043600,0.02105777
0.00020400,1.45817400
0.00084400,1.18869600
0.00148400,1.36845000
0.00212400,1.54820400
0.00276400,1.45817400
0.00340400,1.27872600
0.00404400,1.27872600
0.00468400,1.36845000
0.00532400,1.36845000
0.00596400,1.18869600
0.00660400,1.09897100
0.00724400,1.18869600
0.00788400,1.09897100
0.00852400,1.09897100
0.00916400,1.00894200
0.00980400,1.00894200
0.01044400,0.91921750
0.01108400,0.82949310
0.01172400,0.73946350
0.01236400,0.73946350
0.01300400,0.64973910
0.01364400,0.64973910
0.01428400,0.56001470
0.01492400,0.38056580
0.01556400,0.38056580
0.01620400,0.29053620
0.01684400,0.29053620
0.01748400,0.20081180
0.01812400,0.02105777
0.01876400,-0.06866664
0.01940400,-0.06866664
0.02004400,-0.24842070
0.02068400,-0.24842070
0.02132400,-0.33814510
0.02196400,-0.42817470
0.02260400,-0.51789910
0.02324400,-0.60792870
0.02388400,-0.69765310
0.02452400,-0.78737750
0.02516400,-0.78737750
0.02580400,-0.87740710
0.02644400,-0.96713160
0.02708400,-1.05716100
0.02772400,-1.14688600
0.02836400,-1.14688600
0.02900400,-1.23661000
0.02964400,-1.41636400
0.03028400,-1.41636400
0.03092400,-1.50608800
0.03156400,-1.50608800
0.03220400,-1.59611800
0.03284400,-1.68584300
0.03348400,-1.77587200
0.03412400,-1.77587200
0.03476400,-1.86559700
0.03540400,-1.95532100
0.03604400,-1.95532100
0.03668400,-1.95532100
0.03732400,-2.04535100
0.03796400,-2.13507500
0.03860400,-2.13507500
0.03924400,-2.13507500
0.03988400,-2.22510500
0.04052400,-2.22510500
0.04116400,-2.22510500
0.04180400,-2.22510500
0.04244400,-2.22510500
0.04308400,-2.22510500
0.04372400,-2.22510500
0.04436400,-2.31482900
0.04500400,-2.31482900
0.04564400,-2.22510500
0.04628400,-2.22510500
0.04692400,-2.22510500
0.04756400,-2.22510500
0.04820400,-2.22510500
0.04884400,-2.22510500
0.04948400,-2.13507500
0.05012400,-2.13507500
0.05076400,-2.13507500
0.05140400,-2.04535100
0.05204400,-1.95532100
0.05268400,-1.95532100
0.05332400,-1.86559700
0.05396400,-1.86559700
0.05460400,-1.77587200
0.05524400,-1.68584300
0.05588400,-1.59611800
0.05652400,-1.59611800
0.05716400,-1.50608800
0.05780400,-1.41636400
0.05844400,-1.32664000
0.05908400,-1.23661000
0.05972400,-1.14688600
0.06036400,-1.05716100
0.06100400,-1.05716100
0.06164400,-0.87740710
0.06228400,-0.78737750
0.06292400,-0.69765310
0.06356400,-0.60792870
0.06420400,-0.42817470
0.06484400,-0.42817470
0.06548400,-0.33814510
0.06612400,-0.15869620
0.06676400,-0.06866664
0.06740400,0.02105777
0.06804400,0.20081180
0.06868400,0.29053620
0.06932400,0.38056580
0.06996400,0.56001470
0.07060400,0.64973910
0.07124400,0.73946350
0.07188400,0.82949310
0.07252400,1.00894200
0.07316400,1.09897100
0.07380400,1.18869600
0.07444400,1.36845000
0.07508400,1.45817400
0.07572400,1.63792800
0.07636400,1.72795800
0.07700400,1.81768200
