Frequency,Channel A
(kHz),(dBu)

0.00000000,-25.84005000
0.19073486,-32.34303000
0.38146973,-45.95974000
0.57220459,-58.63955000
0.76293945,-56.37280000
0.95367432,-59.52607000
1.14440918,-67.88625000
1.33514404,-63.16761000
1.52587891,-55.80862000
1.71661377,-55.48029000
1.90734863,-59.24056000
2.09808350,-67.51752000
2.28881836,-68.13367000
2.47955322,-57.70955000
2.67028809,-55.28511000
2.86102295,-57.10150000
3.05175781,-63.02925000
3.24249268,-63.21323000
3.43322754,-59.69830000
3.62396240,-59.83944000
3.81469727,-56.16090000
4.00543213,-51.33213000
4.19616699,-50.94479000
4.38690186,-57.35132000
4.57763672,-86.62747000
4.76837158,-66.39447000
4.95910645,-65.06728000
5.14984131,-57.76305000
5.34057617,-56.25971000
5.53131104,-62.62774000
5.72204590,-62.41839000
5.91278076,-63.54035000
6.10351563,-51.92308000
6.29425049,-56.34884000
6.48498535,-52.19750000
6.67572021,-48.02857000
6.86645508,-53.54359000
7.05718994,-27.97941000
7.24792480,-17.51620000
7.43865967,-13.16784000
7.62939453,-15.63814000
7.82012939,-24.28477000
8.01086426,-40.31055000
8.20159912,-43.33793000
8.39233398,-43.58754000
8.58306885,-40.29310000
8.77380371,-29.39790000
8.96453857,-20.98322000
9.15527344,-18.01864000
9.34600830,-20.56688000
9.53674316,-28.67605000
9.72747803,-40.09380000
9.91821289,-46.67827000
10.10894775,-50.83279000
10.29968262,-56.15057000
10.49041748,-54.67840000
10.68115234,-57.41719000
10.87188721,-54.77100000
11.06262207,-52.91352000
11.25335693,-51.32104000
11.44409180,-58.39821000
11.63482666,-65.93721000
11.82556152,-70.40569000
12.01629639,-59.83516000
12.20703125,-56.24072000
12.39776611,-58.85843000
12.58850098,-63.51795000
12.77923584,-80.63092000
12.96997070,-65.59019000
13.16070557,-65.43388000
13.35144043,-58.98289000
13.54217529,-58.68403000
13.73291016,-63.06444000
13.92364502,-59.34267000
14.11437988,-59.20843000
14.30511475,-61.55479000
14.49584961,-59.27675000
14.68658447,-56.55934000
14.87731934,-54.65098000
15.06805420,-54.74476000
15.25878906,-57.34716000
15.44952393,-60.29317000
15.64025879,-72.24854000
15.83099365,-67.26195000
16.02172852,-68.35029000
16.21246338,-68.48041000
16.40319824,-60.77021000
16.59393311,-55.76955000
16.78466797,-57.64389000
16.97540283,-88.95465000
17.16613770,-60.83801000
17.35687256,-62.26112000
17.54760742,-65.06631000
17.73834229,-65.63795000
17.92907715,-62.88565000
18.11981201,-59.46973000
18.31054688,-58.97606000
18.50128174,-58.30093000
18.69201660,-59.76557000
18.88275146,-55.04704000
19.07348633,-55.81335000
19.26422119,-55.30554000
19.45495605,-54.64480000
19.64569092,-54.53925000
19.83642578,-55.75863000
20.02716064,-56.41647000
20.21789551,-52.63908000
20.40863037,-50.47017000
20.59936523,-53.91890000
20.79010010,-64.13766000
20.98083496,-60.88100000
21.17156982,-58.63442000
21.36230469,-62.71976000
21.55303955,-62.14219000
21.74377441,-55.31052000
21.93450928,-50.05791000
22.12524414,-49.92427000
22.31597900,-54.34327000
22.50671387,-55.81129000
22.69744873,-51.80225000
22.88818359,-50.47329000
23.07891846,-52.35908000
23.26965332,-61.86829000
23.46038818,-58.16635000
23.65112305,-54.33009000
23.84185791,-61.73252000
24.03259277,-60.82392000
24.22332764,-57.24538000
24.41406250,-58.47702000
24.60479736,-56.25010000
24.79553223,-60.83192000
24.98626709,-62.34994000
25.17700195,-58.85997000
