Time,Channel A
(ms),(V)

-0.00001551,0.91921750
0.00030449,1.72795800
0.00062449,1.36845000
0.00094449,1.36845000
0.00126449,1.63792800
0.00158449,1.27872600
0.00190449,1.45817400
0.00222449,1.45817400
0.00254449,1.27872600
0.00286449,1.45817400
0.00318449,1.27872600
0.00350449,1.36845000
0.00382449,1.45817400
0.00414449,1.27872600
0.00446449,1.36845000
0.00478449,1.36845000
0.00510449,1.27872600
0.00542449,1.36845000
0.00574449,1.18869600
0.00606449,1.27872600
0.00638449,1.27872600
0.00670449,1.09897100
0.00702449,1.18869600
0.00734449,1.09897100
0.00766449,1.09897100
0.00798449,1.18869600
0.00830449,1.00894200
0.00862449,1.09897100
0.00894449,1.00894200
0.00926449,1.00894200
0.00958449,1.00894200
0.00990449,0.91921750
0.01022449,0.91921750
0.01054449,0.91921750
0.01086449,0.82949310
0.01118449,0.82949310
0.01150449,0.82949310
0.01182449,0.73946350
0.01214449,0.73946350
0.01246449,0.73946350
0.01278449,0.64973910
0.01310449,0.64973910
0.01342449,0.56001470
0.01374449,0.64973910
0.01406449,0.56001470
0.01438449,0.47029020
0.01470449,0.47029020
0.01502449,0.38056580
0.01534449,0.38056580
0.01566449,0.38056580
0.01598449,0.38056580
0.01630449,0.29053620
0.01662449,0.29053620
0.01694449,0.20081180
0.01726449,0.20081180
0.01758449,0.11108740
0.01790449,0.11108740
0.01822449,0.02105777
0.01854449,0.02105777
0.01886449,-0.06866664
0.01918449,-0.06866664
0.01950449,-0.06866664
0.01982449,-0.15869620
0.02014449,-0.15869620
0.02046449,-0.24842070
0.02078449,-0.33814510
0.02110449,-0.33814510
0.02142449,-0.33814510
0.02174449,-0.42817470
0.02206449,-0.42817470
0.02238449,-0.51789910
0.02270449,-0.51789910
0.02302449,-0.51789910
0.02334449,-0.51789910
0.02366449,-0.60792870
0.02398449,-0.69765310
0.02430449,-0.69765310
0.02462449,-0.78737750
0.02494449,-0.78737750
0.02526449,-0.87740710
0.02558449,-0.87740710
0.02590449,-0.96713160
0.02622449,-0.96713160
0.02654449,-0.96713160
0.02686449,-1.05716100
0.02718449,-1.05716100
0.02750449,-1.05716100
0.02782449,-1.14688600
0.02814449,-1.23661000
0.02846449,-1.23661000
0.02878449,-1.23661000
0.02910449,-1.32664000
0.02942449,-1.32664000
0.02974449,-1.41636400
0.03006449,-1.41636400
0.03038449,-1.41636400
0.03070449,-1.41636400
0.03102449,-1.50608800
0.03134449,-1.50608800
0.03166449,-1.50608800
0.03198449,-1.59611800
0.03230449,-1.68584300
0.03262449,-1.59611800
0.03294449,-1.68584300
0.03326449,-1.77587200
0.03358449,-1.77587200
0.03390449,-1.77587200
0.03422449,-1.77587200
0.03454449,-1.86559700
0.03486449,-1.86559700
0.03518449,-1.86559700
0.03550449,-1.86559700
0.03582449,-1.95532100
0.03614449,-1.95532100
0.03646449,-1.95532100
0.03678449,-2.04535100
0.03710449,-2.04535100
0.03742449,-2.04535100
0.03774449,-2.04535100
0.03806449,-2.13507500
0.03838449,-2.13507500
0.03870449,-2.13507500
0.03902449,-2.13507500
