Time,Channel A
(ms),(V)

-0.00108200,0.47029020
0.00019800,1.00894200
0.00147800,1.63792800
0.00275800,2.17719100
0.00403800,2.80587200
0.00531800,3.25510400
0.00659800,3.79436600
0.00787800,4.24359900
0.00915800,4.69252600
0.01043800,5.14175800
0.01171800,5.50126600
0.01299800,5.86077500
0.01427800,6.21997700
0.01555800,6.48945600
0.01683800,6.84896400
0.01811800,7.02871800
0.01939800,7.20816700
0.02067800,7.38792100
0.02195800,7.56767500
0.02323800,7.56767500
0.02451800,7.65739900
0.02579800,7.74742900
0.02707800,7.65739900
0.02835800,7.65739900
0.02963800,7.56767500
0.03091800,7.47795100
0.03219800,7.29819600
0.03347800,7.11844300
0.03475800,6.93868800
0.03603800,6.75893400
0.03731800,6.48945600
0.03859800,6.21997700
0.03987800,5.86077500
0.04115800,5.59099100
0.04243800,5.32151300
0.04371800,4.96231000
0.04499800,4.60280200
0.04627800,4.33332300
0.04755800,3.88409100
0.04883800,3.52458300
0.05011800,3.16538000
0.05139800,2.80587200
0.05267800,2.44666900
0.05395800,2.08716100
0.05523800,1.72795800
0.05651800,1.36845000
0.05779800,0.91921750
0.05907800,0.64973910
0.06035800,0.29053620
0.06163800,-0.06866664
0.06291800,-0.33814510
0.06419800,-0.60792870
0.06547800,-0.78737750
0.06675800,-1.14688600
0.06803800,-1.32664000
0.06931800,-1.50608800
0.07059800,-1.68584300
0.07187800,-1.86559700
0.07315800,-2.04535100
0.07443800,-2.13507500
0.07571800,-2.22510500
0.07699800,-2.31482900
0.07827800,-2.40455300
0.07955800,-2.40455300
0.08083800,-2.49458300
0.08211800,-2.49458300
0.08339800,-2.49458300
0.08467800,-2.49458300
0.08595800,-2.40455300
0.08723800,-2.31482900
0.08851800,-2.22510500
0.08979800,-2.13507500
0.09107800,-2.13507500
0.09235800,-1.95532100
0.09363800,-1.86559700
0.09491800,-1.77587200
0.09619800,-1.59611800
0.09747800,-1.50608800
0.09875800,-1.41636400
0.10003800,-1.23661000
0.10131800,-1.14688600
0.10259800,-1.05716100
0.10387800,-0.87740710
0.10515800,-0.78737750
0.10643800,-0.69765310
0.10771800,-0.60792870
0.10899800,-0.51789910
0.11027800,-0.42817470
0.11155800,-0.33814510
0.11283800,-0.33814510
0.11411800,-0.33814510
0.11539800,-0.24842070
0.11667800,-0.24842070
0.11795800,-0.24842070
0.11923800,-0.24842070
0.12051800,-0.33814510
0.12179800,-0.33814510
0.12307800,-0.42817470
0.12435800,-0.42817470
0.12563800,-0.60792870
0.12691800,-0.69765310
0.12819800,-0.78737750
0.12947800,-0.96713160
0.13075800,-1.05716100
0.13203800,-1.23661000
0.13331800,-1.41636400
0.13459800,-1.50608800
0.13587800,-1.68584300
0.13715800,-1.95532100
0.13843800,-2.13507500
0.13971800,-2.31482900
0.14099800,-2.40455300
0.14227800,-2.58430700
0.14355800,-2.76406100
0.14483800,-2.94381500
0.14611800,-3.21329400
0.14739800,-3.30301800
0.14867800,-3.48277200
0.14995800,-3.57249700
0.15123800,-3.66252600
0.15251800,-3.84228000
0.15379800,-3.93200500
