Frequency,Channel A
(kHz),(dBu)

0.00000000,-27.91198000
0.09536743,-34.63262000
0.19073486,-47.58442000
0.28610229,-53.95988000
0.38146973,-57.54834000
0.47683716,-56.52765000
0.57220459,-57.64312000
0.66757202,-73.68312000
0.76293945,-61.26075000
0.85830688,-58.72233000
0.95367432,-59.76066000
1.04904175,-74.19512000
1.14440918,-66.43286000
1.23977661,-66.39458000
1.33514404,-63.06007000
1.43051147,-56.88374000
1.52587891,-54.60978000
1.62124634,-55.58626000
1.71661377,-56.02793000
1.81198120,-57.36620000
1.90734863,-62.43920000
2.00271606,-69.27709000
2.09808350,-71.97206000
2.19345093,-60.45726000
2.28881836,-61.41161000
2.38418579,-67.26142000
2.47955322,-58.77271000
2.57492065,-56.90120000
2.67028809,-61.26999000
2.76565552,-77.86967000
2.86102295,-61.54432000
2.95639038,-60.01696000
3.05175781,-72.34914000
3.14712524,-61.13394000
3.24249268,-58.65965000
3.33786011,-56.36765000
3.43322754,-57.47513000
3.52859497,-61.41047000
3.62396240,-79.69444000
3.71932983,-58.58144000
3.81469727,-55.55960000
3.91006470,-57.34444000
4.00543213,-68.58521000
4.10079956,-75.55324000
4.19616699,-72.37075000
4.29153442,-79.66961000
4.38690186,-61.92358000
4.48226929,-56.02494000
4.57763672,-55.41622000
4.67300415,-57.66550000
4.76837158,-63.66131000
4.86373901,-58.97977000
4.95910645,-57.76824000
5.05447388,-59.34021000
5.14984131,-63.26741000
5.24520874,-64.52341000
5.34057617,-58.59286000
5.43594360,-65.54366000
5.53131104,-61.18606000
5.62667847,-63.90921000
5.72204590,-50.23218000
5.81741333,-56.05616000
5.91278076,-44.24553000
6.00814819,-24.81308000
6.10351563,-8.71826600
6.19888306,-2.14538600
6.29425049,-3.34758400
6.38961792,-12.64423000
6.48498535,-31.88980000
6.58035278,-44.97836000
6.67572021,-53.98804000
6.77108765,-50.27414000
6.86645508,-55.92061000
6.96182251,-52.63918000
7.05718994,-62.87342000
7.15255737,-65.03350000
7.24792480,-61.96584000
7.34329224,-63.42998000
7.43865967,-58.19227000
7.53402710,-65.63434000
7.62939453,-57.34296000
7.72476196,-60.49829000
7.82012939,-61.49501000
7.91549683,-61.05902000
8.01086426,-64.38129000
8.10623169,-69.26019000
8.20159912,-67.48396000
8.29696655,-60.32892000
8.39233398,-63.30953000
8.48770142,-65.11415000
8.58306885,-59.16917000
8.67843628,-63.82619000
8.77380371,-65.19952000
8.86917114,-57.08273000
8.96453857,-60.94249000
9.05990601,-52.65987000
9.15527344,-61.82165000
9.25064087,-48.16277000
9.34600830,-43.63264000
9.44137573,-34.13531000
9.53674316,-26.12162000
9.63211060,-22.41114000
9.72747803,-23.49169000
9.82284546,-29.15566000
9.91821289,-38.27779000
10.01358032,-47.02799000
10.10894775,-49.40606000
10.20431519,-61.76804000
10.29968262,-57.80170000
10.39505005,-72.87125000
10.49041748,-58.52205000
10.58578491,-69.12699000
10.68115234,-58.63988000
10.77651978,-59.68069000
10.87188721,-76.06468000
10.96725464,-63.86263000
11.06262207,-68.12466000
11.15798950,-63.91528000
11.25335693,-56.72409000
11.34872437,-56.21105000
11.44409180,-57.53821000
11.53945923,-59.37964000
11.63482666,-58.78563000
11.73019409,-62.36820000
11.82556152,-70.57522000
11.92092896,-67.30988000
12.01629639,-64.39465000
12.11166382,-61.44201000
12.20703125,-64.21228000
12.30239868,-66.11556000
12.39776611,-61.79424000
12.49313354,-63.96038000
12.58850098,-66.61023000
