Time,Channel A
(ms),(V)

-0.00044700,0.73946350
0.00083300,1.36845000
0.00211300,1.99743600
0.00339300,2.53639300
0.00467300,3.07535000
0.00595300,3.61461200
0.00723300,4.15356900
0.00851300,4.78255600
0.00979300,5.23178800
0.01107300,5.68102100
0.01235300,6.21997700
0.01363300,6.66921000
0.01491300,7.11844300
0.01619300,7.38792100
0.01747300,7.83715300
0.01875300,8.19666100
0.02003300,8.46614000
0.02131300,8.64589400
0.02259300,9.00509600
0.02387300,9.18485100
0.02515300,9.36460500
0.02643300,9.45432900
0.02771300,9.54435800
0.02899300,9.63408300
0.03027300,9.63408300
0.03155300,9.63408300
0.03283300,9.63408300
0.03411300,9.63408300
0.03539300,9.45432900
0.03667300,9.36460500
0.03795300,9.18485100
0.03923300,9.00509600
0.04051300,8.73561900
0.04179300,8.46614000
0.04307300,8.19666100
0.04435300,7.83715300
0.04563300,7.47795100
0.04691300,7.11844300
0.04819300,6.75893400
0.04947300,6.31000700
0.05075300,5.86077500
0.05203300,5.41154200
0.05331300,4.96231000
0.05459300,4.42304800
0.05587300,3.88409100
0.05715300,3.43485800
0.05843300,2.80587200
0.05971300,2.26691500
0.06099300,1.81768200
0.06227300,1.18869600
0.06355300,0.64973910
0.06483300,0.02105777
0.06611300,-0.42817470
0.06739300,-1.05716100
0.06867300,-1.59611800
0.06995300,-2.13507500
0.07123300,-2.67433700
0.07251300,-3.21329400
0.07379300,-3.66252600
0.07507300,-4.20148300
0.07635300,-4.65071600
0.07763300,-5.09994800
0.07891300,-5.54918100
0.08019300,-5.99841300
0.08147300,-6.35792100
0.08275300,-6.80715400
0.08403300,-7.07663200
0.08531300,-7.34611000
0.08659300,-7.70531300
0.08787300,-7.97509700
0.08915300,-8.15454600
0.09043300,-8.33430000
0.09171300,-8.51405300
0.09299300,-8.69380800
0.09427300,-8.78353200
0.09555300,-8.87356200
0.09683300,-8.96328600
0.09811300,-8.96328600
0.09939300,-8.87356200
0.10067300,-8.78353200
0.10195300,-8.69380800
0.10323300,-8.60377800
0.10451300,-8.42433000
0.10579300,-8.24457600
0.10707300,-8.06482100
0.10835300,-7.88506700
0.10963300,-7.61558900
0.11091300,-7.25608100
0.11219300,-6.98660200
0.11347300,-6.62739900
0.11475300,-6.35792100
0.11603300,-5.90868900
0.11731300,-5.45945600
0.11859300,-5.09994800
0.11987300,-4.65071600
0.12115300,-4.20148300
0.12243300,-3.75225100
0.12371300,-3.21329400
0.12499300,-2.76406100
0.12627300,-2.31482900
0.12755300,-1.77587200
0.12883300,-1.32664000
0.13011300,-0.78737750
0.13139300,-0.33814510
0.13267300,0.20081180
0.13395300,0.64973910
0.13523300,1.18869600
0.13651300,1.63792800
0.13779300,2.17719100
0.13907300,2.62611800
0.14035300,3.07535000
0.14163300,3.52458300
0.14291300,3.97381500
0.14419300,4.33332300
0.14547300,4.78255600
0.14675300,5.05203400
0.14803300,5.41154200
0.14931300,5.77074500
0.15059300,6.13025300
0.15187300,6.39973200
0.15315300,6.66921000
0.15443300,6.84896400
0.15571300,7.11844300
0.15699300,7.29819600
