Frequency,Channel A
(kHz),(dBu)

0.00000000,-26.39489000
0.09536743,-33.27133000
0.19073486,-48.88571000
0.28610229,-68.79138000
0.38146973,-64.18622000
0.47683716,-56.16895000
0.57220459,-51.39741000
0.66757202,-51.85606000
0.76293945,-56.16654000
0.85830688,-65.35289000
0.95367432,-74.08532000
1.04904175,-63.03864000
1.14440918,-58.96767000
1.23977661,-59.94879000
1.33514404,-59.29314000
1.43051147,-59.38467000
1.52587891,-61.30432000
1.62124634,-61.12763000
1.71661377,-59.96389000
1.81198120,-63.38875000
1.90734863,-76.74706000
2.00271606,-59.82056000
2.09808350,-60.84980000
2.19345093,-88.39279000
2.28881836,-67.11913000
2.38418579,-60.81701000
2.47955322,-58.99674000
2.57492065,-62.49489000
2.67028809,-63.68895000
2.76565552,-63.05691000
2.86102295,-64.92508000
2.95639038,-68.04175000
3.05175781,-60.87589000
3.14712524,-53.83829000
3.24249268,-51.85799000
3.33786011,-52.55602000
3.43322754,-55.19514000
3.52859497,-58.92899000
3.62396240,-57.03416000
3.71932983,-54.78216000
3.81469727,-55.33714000
3.91006470,-61.94460000
4.00543213,-61.66545000
4.10079956,-56.69190000
4.19616699,-56.42392000
4.29153442,-54.85638000
4.38690186,-51.99174000
4.48226929,-52.66935000
4.57763672,-57.55340000
4.67300415,-63.05347000
4.76837158,-60.74327000
4.86373901,-57.89819000
4.95910645,-56.08909000
5.05447388,-61.75014000
5.14984131,-66.02614000
5.24520874,-64.34869000
5.34057617,-55.30309000
5.43594360,-53.67894000
5.53131104,-57.60881000
5.62667847,-62.36382000
5.72204590,-56.55910000
5.81741333,-54.50952000
5.91278076,-56.23232000
6.00814819,-58.42476000
6.10351563,-59.95344000
6.19888306,-58.05389000
6.29425049,-60.37064000
6.38961792,-64.76393000
6.48498535,-58.05811000
6.58035278,-49.24001000
6.67572021,-53.53680000
6.77108765,-51.00050000
6.86645508,-40.16279000
6.96182251,-25.47246000
7.05718994,-11.61151000
7.15255737,-6.28393700
7.24792480,-8.11531600
7.34329224,-18.18317000
7.43865967,-32.46181000
7.53402710,-14.21702000
7.62939453,-8.19725100
7.72476196,-9.32939100
7.82012939,-17.61700000
7.91549683,-32.83664000
8.01086426,-42.30362000
8.10623169,-54.34979000
8.20159912,-48.66269000
8.29696655,-68.05638000
8.39233398,-52.41526000
8.48770142,-61.84744000
8.58306885,-82.54848000
8.67843628,-58.78282000
8.77380371,-65.12851000
8.86917114,-68.25835000
8.96453857,-60.96421000
9.05990601,-61.48183000
9.15527344,-74.39497000
9.25064087,-59.54665000
9.34600830,-58.82618000
9.44137573,-56.11328000
9.53674316,-59.91500000
9.63211060,-63.50204000
9.72747803,-60.88731000
9.82284546,-55.31197000
9.91821289,-56.03046000
10.01358032,-62.28519000
10.10894775,-66.15277000
10.20431519,-61.17247000
10.29968262,-55.96627000
10.39505005,-56.75642000
10.49041748,-58.41828000
10.58578491,-58.79074000
10.68115234,-60.84232000
10.77651978,-64.37383000
10.87188721,-62.26198000
10.96725464,-61.39228000
11.06262207,-61.92064000
11.15798950,-62.36629000
11.25335693,-59.57327000
11.34872437,-57.13459000
11.44409180,-56.68473000
11.53945923,-61.07378000
11.63482666,-68.09979000
11.73019409,-64.25208000
11.82556152,-67.06146000
11.92092896,-64.52724000
12.01629639,-63.25851000
12.11166382,-68.73272000
12.20703125,-63.71307000
12.30239868,-65.03496000
12.39776611,-65.40566000
12.49313354,-62.31757000
12.58850098,-65.84956000
