Frequency,Channel A
(kHz),(dBV)

0.00000000,-55.88429000
0.01097755,-55.02464000
0.02195509,-59.20534000
0.03293264,-66.88188000
0.04391019,-79.78983000
0.05488773,-89.88113000
0.06586528,-89.38476000
0.07684283,-88.05149000
0.08782037,-86.79381000
0.09879792,-86.89620000
0.10977547,-89.09451000
0.12075301,-94.02625000
0.13173056,-94.15343000
0.14270811,-91.45764000
0.15368565,-93.48206000
0.16466320,-103.14880000
0.17564075,-100.16090000
0.18661829,-98.38882000
0.19759584,-100.35340000
0.20857339,-100.68820000
0.21955093,-99.08385000
0.23052848,-99.43033000
0.24150603,-99.52225000
0.25248357,-95.49775000
0.26346112,-93.28564000
0.27443867,-94.32191000
0.28541621,-99.50490000
0.29639376,-102.99250000
0.30737131,-104.58090000
0.31834885,-117.97040000
0.32932640,-100.66330000
0.34030395,-96.54800000
0.35128149,-95.80469000
0.36225904,-95.41470000
0.37323659,-94.61422000
0.38421413,-94.82153000
0.39519168,-94.44932000
0.40616923,-93.98705000
0.41714677,-94.86472000
0.42812432,-96.28906000
0.43910187,-96.63136000
0.45007941,-97.22099000
0.46105696,-100.05950000
0.47203451,-103.76930000
0.48301205,-99.94338000
0.49398960,-96.77612000
0.50496715,-98.14729000
0.51594469,-99.92506000
0.52692224,-101.12510000
0.53789979,-109.46730000
0.54887733,-98.31834000
0.55985488,-97.35788000
0.57083243,-97.87117000
0.58180997,-95.70975000
0.59278752,-96.10590000
0.60376507,-110.13420000
0.61474261,-99.09924000
0.62572016,-101.53160000
0.63669771,-98.92036000
0.64767525,-94.43932000
0.65865280,-98.57458000
0.66963035,-100.27580000
0.68060789,-105.09920000
0.69158544,-99.88636000
0.70256299,-97.13445000
0.71354053,-92.42134000
0.72451808,-100.32360000
0.73549563,-94.59411000
0.74647318,-93.17789000
0.75745072,-100.02270000
0.76842827,-89.28423000
0.77940582,-96.81989000
0.79038336,-89.20132000
0.80136091,-98.46370000
0.81233846,-86.23902000
0.82331600,-88.91046000
0.83429355,-84.70726000
0.84527110,-80.92715000
0.85624864,-79.71567000
0.86722619,-77.85308000
0.87820374,-82.00854000
0.88918128,-72.42175000
0.90015883,-86.80748000
0.91113638,-68.22967000
0.92211392,-76.67105000
0.93309147,-69.49388000
0.94406902,-64.36436000
0.95504656,-36.42510000
0.96602411,-23.02205000
0.97700166,-15.05589000
0.98797920,-10.61760000
0.99895675,-9.03271600
1.00993430,-10.10403000
1.02091184,-13.96301000
1.03188939,-21.16619000
1.04286694,-33.25991000
1.05384448,-56.49506000
1.06482203,-74.12885000
1.07579958,-70.49426000
1.08677712,-69.67198000
1.09775467,-80.77320000
1.10873222,-72.12698000
1.11970976,-107.26720000
1.13068731,-75.82851000
1.14166486,-94.37062000
1.15264240,-82.28835000
1.16361995,-85.14581000
1.17459750,-85.20438000
1.18557504,-86.57413000
1.19655259,-89.85465000
1.20753014,-90.00007000
1.21850768,-103.17640000
1.22948523,-89.30397000
1.24046278,-100.58360000
1.25144032,-88.94003000
1.26241787,-95.49323000
1.27339542,-96.37798000
1.28437296,-91.31008000
1.29535051,-95.31456000
1.30632806,-96.57905000
1.31730560,-93.79872000
1.32828315,-96.63502000
1.33926070,-91.72459000
1.35023824,-90.21081000
1.36121579,-94.01337000
1.37219334,-92.52160000
1.38317088,-88.84326000
1.39414843,-88.15926000
1.40512598,-92.00716000
1.41610352,-98.78338000
1.42708107,-97.71641000
1.43805862,-95.63743000
1.44903616,-94.34982000
1.46001371,-96.20207000
1.47099126,-96.62289000
1.48196880,-100.96660000
1.49294635,-111.57410000
1.50392390,-97.96510000
1.51490144,-95.21069000
1.52587899,-99.20503000
1.53685654,-100.60250000
1.54783408,-90.43208000
1.55881163,-88.23250000
1.56978918,-88.88132000
1.58076672,-90.94056000
1.59174427,-95.88376000
1.60272182,-104.15530000
1.61369936,-96.47625000
1.62467691,-95.84870000
1.63565446,-97.34394000
1.64663200,-96.93048000
1.65760955,-93.61668000
1.66858710,-91.28754000
1.67956464,-91.60148000
1.69054219,-95.46924000
1.70151974,-106.45960000
1.71249728,-98.62370000
1.72347483,-94.07776000
1.73445238,-92.52998000
1.74542992,-93.40745000
1.75640747,-97.47955000
1.76738502,-101.47360000
1.77836256,-96.60683000
1.78934011,-95.71837000
1.80031766,-97.54468000
1.81129520,-94.99564000
1.82227275,-93.15660000
1.83325030,-93.74694000
1.84422784,-95.67052000
1.85520539,-99.23201000
1.86618294,-101.94550000
1.87716048,-97.74663000
1.88813803,-96.01856000
1.89911558,-98.80383000
1.91009312,-105.20430000
1.92107067,-95.37377000
1.93204822,-92.98415000
1.94302576,-94.87263000
1.95400331,-93.87585000
1.96498086,-92.26917000
1.97595840,-97.94580000
1.98693595,-98.04813000
1.99791350,-89.22131000
2.00889104,-87.95461000
2.01986859,-90.51212000
2.03084614,-95.31692000
2.04182368,-99.23118000
2.05280123,-96.76360000
2.06377878,-93.71700000
2.07475632,-93.63449000
2.08573387,-95.48776000
2.09671142,-97.41199000
2.10768896,-95.66395000
2.11866651,-91.14712000
2.12964406,-88.18646000
2.14062160,-87.03548000
2.15159915,-86.93748000
2.16257670,-86.92031000
2.17355424,-86.71176000
2.18453179,-86.73565000
2.19550934,-87.38338000
2.20648689,-88.93968000
2.21746443,-91.91987000
2.22844198,-98.73752000
2.23941953,-106.85130000
2.25039707,-94.51026000
2.26137462,-91.79619000
2.27235217,-92.97653000
2.28332971,-98.03379000
2.29430726,-105.59860000
2.30528481,-110.48560000
2.31626235,-98.83542000
2.32723990,-91.87997000
2.33821745,-89.06838000
2.34919499,-88.08035000
2.36017254,-87.31172000
2.37115009,-86.46246000
2.38212763,-86.07082000
2.39310518,-86.26146000
2.40408273,-87.12848000
2.41506027,-89.34863000
2.42603782,-94.25110000
2.43701537,-107.24090000
2.44799291,-101.83190000
2.45897046,-97.10281000
2.46994801,-97.57483000
2.48092555,-103.64470000
2.49190310,-106.64470000
2.50288065,-98.06212000
2.51385819,-96.39305000
2.52483574,-98.97346000
2.53581329,-108.26700000
2.54679083,-100.36320000
2.55776838,-94.31628000
2.56874593,-91.90215000
2.57972347,-91.94442000
2.59070102,-94.49402000
2.60167857,-100.68660000
2.61265611,-103.06490000
2.62363366,-95.75863000
2.63461121,-92.17892000
2.64558875,-90.83565000
2.65656630,-91.35734000
2.66754385,-93.46726000
2.67852139,-95.60297000
2.68949894,-96.14496000
2.70047649,-97.31315000
2.71145403,-100.49790000
2.72243158,-104.56350000
2.73340913,-110.19410000
2.74438667,-108.48420000
2.75536422,-101.53530000
2.76634177,-96.52592000
2.77731931,-92.74977000
2.78829686,-91.46986000
2.79927441,-93.51184000
2.81025195,-99.74297000
2.82122950,-96.98138000
2.83220705,-93.42523000
2.84318459,-94.07161000
2.85416214,-98.49184000
2.86513969,-99.31363000
2.87611723,-94.52432000
2.88709478,-92.88007000
2.89807233,-93.13121000
2.90904987,-93.21172000
2.92002742,-92.79620000
2.93100497,-93.25157000
2.94198251,-94.66008000
2.95296006,-95.71152000
2.96393761,-94.77625000
2.97491515,-91.33757000
2.98589270,-88.30862000
2.99687025,-87.53768000
3.00784779,-89.57595000
3.01882534,-92.61269000
3.02980289,-89.33789000
3.04078043,-86.26407000
3.05175798,-85.33545000
3.06273553,-86.10565000
3.07371307,-88.53119000
3.08469062,-92.88708000
3.09566817,-99.23584000
3.10664571,-107.08340000
3.11762326,-103.74370000
3.12860081,-97.29509000
3.13957835,-94.42796000
3.15055590,-93.25039000
3.16153345,-92.67307000
3.17251099,-92.47303000
3.18348854,-92.64124000
3.19446609,-92.61115000
3.20544363,-92.33588000
3.21642118,-93.12310000
3.22739873,-96.19907000
3.23837627,-97.46001000
3.24935382,-93.71117000
3.26033137,-92.48781000
3.27130891,-93.63427000
3.28228646,-94.20387000
3.29326401,-93.26295000
3.30424155,-93.50798000
3.31521910,-95.14639000
3.32619665,-95.60989000
3.33717419,-94.12327000
3.34815174,-93.51360000
3.35912929,-94.32393000
3.37010683,-95.16999000
3.38108438,-94.76052000
3.39206193,-94.47440000
3.40303947,-94.82262000
3.41401702,-92.98381000
3.42499457,-90.89321000
3.43597211,-91.41228000
3.44694966,-94.85722000
3.45792721,-98.60803000
3.46890475,-98.44032000
3.47988230,-97.27338000
3.49085985,-96.53731000
3.50183739,-98.42701000
3.51281494,-107.23300000
3.52379249,-106.11100000
3.53477003,-98.94288000
3.54574758,-96.51260000
3.55672513,-94.65819000
3.56770267,-92.81699000
3.57868022,-91.67566000
3.58965777,-90.92056000
3.60063531,-90.15144000
3.61161286,-89.81736000
3.62259041,-90.49160000
3.63356796,-92.99508000
3.64454550,-98.39540000
3.65552305,-100.82550000
3.66650060,-96.66527000
3.67747814,-93.31306000
3.68845569,-90.07107000
3.69943324,-87.67824000
3.71041078,-86.71319000
3.72138833,-87.07278000
3.73236588,-88.11626000
3.74334342,-88.94086000
3.75432097,-89.57986000
3.76529852,-91.36275000
3.77627606,-95.96021000
3.78725361,-101.72430000
3.79823116,-97.35940000
3.80920870,-95.79584000
3.82018625,-97.09712000
3.83116380,-99.23300000
3.84214134,-98.20659000
3.85311889,-95.29131000
3.86409644,-93.93501000
3.87507398,-94.81103000
3.88605153,-97.87750000
3.89702908,-100.61780000
3.90800662,-98.91567000
3.91898417,-96.71056000
3.92996172,-93.81867000
3.94093926,-90.85071000
3.95191681,-89.60541000
3.96289436,-90.68925000
3.97387190,-92.85348000
3.98484945,-91.16258000
3.99582700,-88.80486000
4.00680454,-88.50044000
4.01778209,-89.90736000
4.02875964,-92.56036000
4.03973718,-95.93118000
4.05071473,-98.03371000
4.06169228,-96.65744000
4.07266982,-94.72912000
4.08364737,-95.06935000
4.09462492,-96.99205000
4.10560246,-97.46483000
4.11658001,-94.96986000
4.12755756,-91.97249000
4.13853510,-90.96040000
4.14951265,-91.97021000
4.16049020,-92.11621000
4.17146774,-90.37027000
4.18244529,-89.91556000
4.19342284,-91.05980000
4.20440038,-91.68565000
4.21537793,-90.68963000
4.22635548,-90.30655000
4.23733302,-91.43037000
4.24831057,-93.23381000
4.25928812,-92.86584000
4.27026566,-90.27548000
4.28124321,-88.26336000
4.29222076,-87.41354000
4.30319830,-87.50240000
4.31417585,-88.50916000
4.32515340,-90.96526000
4.33613094,-96.01900000
4.34710849,-98.33791000
4.35808604,-92.34794000
4.36906358,-88.80141000
4.38004113,-87.00661000
4.39101868,-86.57979000
4.40199622,-87.67532000
4.41297377,-90.77420000
4.42395132,-97.32256000
4.43492886,-121.83610000
4.44590641,-99.18701000
4.45688396,-95.58109000
4.46786150,-96.12484000
4.47883905,-102.22090000
4.48981660,-105.41010000
4.50079414,-96.96873000
4.51177169,-95.01252000
4.52274924,-95.86227000
4.53372678,-99.96996000
4.54470433,-126.15580000
4.55568188,-96.90343000
4.56665942,-90.86838000
4.57763697,-87.98343000
4.58861452,-86.98494000
4.59959206,-87.60416000
4.61056961,-89.71116000
4.62154716,-92.78253000
4.63252470,-95.41423000
4.64350225,-96.00536000
4.65447980,-95.70166000
4.66545734,-97.34293000
4.67643489,-99.89363000
4.68741244,-94.84828000
4.69838998,-90.64485000
4.70936753,-88.96012000
4.72034508,-89.42649000
4.73132262,-92.28698000
4.74230017,-99.31760000
4.75327772,-111.11220000
4.76425526,-102.59500000
4.77523281,-99.37000000
4.78621036,-95.03594000
4.79718790,-92.62399000
4.80816545,-91.43208000
4.81914300,-90.54665000
4.83012054,-90.03159000
4.84109809,-90.27313000
4.85207564,-91.98657000
4.86305318,-96.00349000
4.87403073,-102.68140000
4.88500828,-105.69130000
4.89598582,-98.17337000
4.90696337,-91.46233000
4.91794092,-87.90508000
4.92891846,-87.46690000
4.93989601,-90.93632000
4.95087356,-104.64350000
4.96185110,-97.09937000
4.97282865,-94.82198000
4.98380620,-97.76603000
4.99478374,-96.69132000
5.00576129,-95.54642000
5.01673884,-98.76866000
5.02771638,-107.72080000
5.03869393,-103.75920000
5.04967148,-98.25576000
5.06064902,-95.26337000
5.07162657,-94.26048000
5.08260412,-95.27806000
5.09358167,-97.81270000
5.10455921,-100.10230000
5.11553676,-99.96311000
5.12651431,-97.20345000
5.13749185,-93.20963000
5.14846940,-90.16602000
5.15944695,-89.12996000
