Frequency,Channel A
(kHz),(V)

0.00000000,0.00160615
0.01097755,0.00177324
0.02195509,0.00109580
0.03293264,0.00045280
0.04391019,0.00010245
0.05488773,0.00003206
0.06586528,0.00003394
0.07684283,0.00003958
0.08782037,0.00004574
0.09879792,0.00004521
0.10977547,0.00003510
0.12075301,0.00001989
0.13173056,0.00001960
0.14270811,0.00002674
0.15368565,0.00002118
0.16466320,0.00000696
0.17564075,0.00000982
0.18661829,0.00001204
0.19759584,0.00000960
0.20857339,0.00000924
0.21955093,0.00001111
0.23052848,0.00001068
0.24150603,0.00001057
0.25248357,0.00001679
0.26346112,0.00002166
0.27443867,0.00001923
0.28541621,0.00001059
0.29639376,0.00000709
0.30737131,0.00000590
0.31834885,0.00000126
0.32932640,0.00000926
0.34030395,0.00001488
0.35128149,0.00001621
0.36225904,0.00001695
0.37323659,0.00001859
0.38421413,0.00001815
0.39519168,0.00001895
0.40616923,0.00001998
0.41714677,0.00001806
0.42812432,0.00001533
0.43910187,0.00001474
0.45007941,0.00001377
0.46105696,0.00000993
0.47203451,0.00000648
0.48301205,0.00001007
0.49398960,0.00001449
0.50496715,0.00001238
0.51594469,0.00001009
0.52692224,0.00000879
0.53789979,0.00000336
0.54887733,0.00001214
0.55985488,0.00001356
0.57083243,0.00001278
0.58180997,0.00001639
0.59278752,0.00001566
0.60376507,0.00000311
0.61474261,0.00001109
0.62572016,0.00000838
0.63669771,0.00001132
0.64767525,0.00001897
0.65865280,0.00001178
0.66963035,0.00000969
0.68060789,0.00000556
0.69158544,0.00001013
0.70256299,0.00001391
0.71354053,0.00002393
0.72451808,0.00000963
0.73549563,0.00001863
0.74647318,0.00002193
0.75745072,0.00000997
0.76842827,0.00003434
0.77940582,0.00001442
0.79038336,0.00003467
0.80136091,0.00001193
0.81233846,0.00004876
0.82331600,0.00003585
0.83429355,0.00005816
0.84527110,0.00008988
0.85624864,0.00010333
0.86722619,0.00012804
0.87820374,0.00007935
0.88918128,0.00023928
0.90015883,0.00004567
0.91113638,0.00038772
0.92211392,0.00014671
0.93309147,0.00033520
0.94406902,0.00060504
0.95504656,0.01509193
0.96602411,0.07061508
0.97700166,0.17668730
0.98797920,0.29452360
0.99895675,0.35347950
1.00993430,0.31246280
1.02091184,0.20037780
1.03188939,0.08743601
1.04286694,0.02172724
1.05384448,0.00149709
1.06482203,0.00019659
1.07579958,0.00029874
1.08677712,0.00032840
1.09775467,0.00009148
1.10873222,0.00024754
1.11970976,0.00000433
1.13068731,0.00016165
1.14166486,0.00001912
1.15264240,0.00007684
1.16361995,0.00005530
1.17459750,0.00005493
1.18557504,0.00004691
1.19655259,0.00003216
1.20753014,0.00003162
1.21850768,0.00000694
1.22948523,0.00003426
1.24046278,0.00000935
1.25144032,0.00003573
1.26241787,0.00001680
1.27339542,0.00001517
1.28437296,0.00002720
1.29535051,0.00001715
1.30632806,0.00001483
1.31730560,0.00002042
1.32828315,0.00001473
1.33926070,0.00002593
1.35023824,0.00003086
1.36121579,0.00001992
1.37219334,0.00002365
1.38317088,0.00003613
1.39414843,0.00003909
1.40512598,0.00002510
1.41610352,0.00001150
1.42708107,0.00001301
1.43805862,0.00001652
1.44903616,0.00001917
1.46001371,0.00001548
1.47099126,0.00001475
1.48196880,0.00000895
1.49294635,0.00000264
1.50392390,0.00001264
1.51490144,0.00001736
1.52587899,0.00001096
1.53685654,0.00000933
1.54783408,0.00003009
1.55881163,0.00003876
1.56978918,0.00003597
1.58076672,0.00002838
1.59174427,0.00001606
1.60272182,0.00000620
1.61369936,0.00001500
1.62467691,0.00001613
1.63565446,0.00001358
1.64663200,0.00001424
1.65760955,0.00002085
1.66858710,0.00002727
1.67956464,0.00002630
1.69054219,0.00001685
1.70151974,0.00000475
1.71249728,0.00001172
1.72347483,0.00001977
1.73445238,0.00002363
1.74542992,0.00002136
1.75640747,0.00001337
1.76738502,0.00000844
1.77836256,0.00001478
1.78934011,0.00001637
1.80031766,0.00001327
1.81129520,0.00001779
1.82227275,0.00002199
1.83325030,0.00002054
1.84422784,0.00001646
1.85520539,0.00001092
