Time,Channel A
(ms),(V)

-25.00592620,-0.01828059
-25.00036620,-0.00286874
-24.99480620,0.01440474
-24.98924620,0.03442488
-24.98368620,0.05044710
-24.97812620,0.06921598
-24.97256620,0.08539079
-24.96700620,0.10266430
-24.96144620,0.11893060
-24.95588620,0.13596000
-24.95032620,0.15274510
-24.94476620,0.16977450
-24.93920620,0.18619340
-24.93364620,0.20111700
-24.92808620,0.21936700
-24.92252620,0.23477890
-24.91696620,0.24970240
-24.91140620,0.26511430
-24.90584620,0.27866450
-24.90028620,0.29346600
-24.89472620,0.30701620
-24.88916620,0.32105470
-24.88360620,0.33359780
-24.87804620,0.34791100
-24.87248620,0.36021000
-24.86692620,0.37226480
-24.86136621,0.38258000
-24.85580621,0.39414660
-24.85024621,0.40583520
-24.84468621,0.41453290
-24.83912621,0.42573320
-24.83356621,0.43317970
-24.82800621,0.44410540
-24.82244621,0.44920190
-24.81688621,0.45741140
-24.81132621,0.46736050
-24.80576621,0.46934420
-24.80020621,0.47791980
-24.79464621,0.48240610
-24.78908621,0.48786890
-24.78352621,0.48786890
-24.77796621,0.49421670
-24.77240621,0.49519330
-24.76684621,0.49943540
-24.76128621,0.50053410
-24.75572621,0.50178530
-24.75016621,0.50227360
-24.74460621,0.50154120
-24.73904621,0.50279240
-24.73348621,0.50016780
-24.72792621,0.49879450
-24.72236621,0.49259920
-24.71680621,0.49061550
-24.71124621,0.48661760
-24.70568621,0.48191780
-24.70012621,0.48078860
-24.69456621,0.47294530
-24.68900621,0.46809290
-24.68344621,0.46076850
-24.67788621,0.45307780
-24.67232621,0.44672990
-24.66676621,0.43629260
-24.66120621,0.42658770
-24.65564621,0.41825620
-24.65008621,0.40757470
-24.64452621,0.39515370
-24.63896621,0.38670000
-24.63340621,0.37400430
-24.62784621,0.36506240
-24.62228621,0.34827720
-24.61672621,0.33634450
-24.61116621,0.32627340
-24.60560621,0.31186860
-24.60004621,0.29831840
-24.59448621,0.28302870
-24.58892621,0.26810510
-24.58336621,0.25180820
-24.57780621,0.23902100
-24.57224621,0.22434160
-24.56668621,0.20682390
-24.56112621,0.19241920
-24.55556621,0.17203280
-24.55000621,0.15536970
-24.54444621,0.13907290
-24.53888621,0.12442400
-24.53332621,0.10849330
-24.52776621,0.09146398
-24.52220621,0.07208472
-24.51664621,0.05493332
-24.51108621,0.03726310
-24.50552621,0.02209540
-24.49996621,0.00186163
-24.49440621,-0.01467940
-24.48884621,-0.03195288
-24.48328621,-0.04849391
-24.47772621,-0.06576739
-24.47216621,-0.08429212
-24.46660621,-0.09982605
-24.46104621,-0.11871700
-24.45548622,-0.13412890
-24.44992622,-0.15103610
-24.44436622,-0.16882840
-24.43880622,-0.18485060
-24.43324622,-0.20163580
-24.42768622,-0.21765800
-24.42212622,-0.23346660
-24.41656622,-0.24674210
-24.41100622,-0.26081120
-24.40544622,-0.27808470
-24.39988622,-0.29200110
-24.39432622,-0.30555130
-24.38876622,-0.31897950
-24.38320622,-0.33164470
-24.37764622,-0.34421830
-24.37208622,-0.35874510
-24.36652622,-0.36719870
