Mode;ramp
Ua;Ie
0,14;81,12
0,29;81,04
0,43;81,28
0,57;81,44
0,71;82,00
0,86;82,48
1,00;82,80
1,14;83,04
1,29;83,20
1,43;83,20
1,57;83,12
1,71;82,88
1,86;82,56
2,00;82,32
2,14;82,16
2,29;82,08
2,43;82,16
2,57;82,32
2,71;82,72
2,86;83,12
3,00;83,60
3,14;84,08
3,29;84,57
3,43;85,13
3,57;85,69
3,71;86,17
3,86;86,81
4,00;87,45
4,14;88,25
4,29;89,05
4,43;89,86
4,57;90,82
4,71;91,70
4,86;92,58
5,00;93,62
5,14;94,66
5,29;95,55
5,43;96,43
5,57;97,15
5,71;97,79
5,86;98,43
6,00;98,83
6,14;98,99
6,29;98,99
6,43;98,67
6,57;98,35
6,71;97,63
6,86;96,59
7,00;95,15
7,14;93,22
7,29;91,30
7,43;89,53
7,57;88,09
7,71;86,89
7,86;86,01
8,00;85,37
8,14;84,81
8,29;84,40
8,43;84,08
8,57;83,92
8,71;83,84
8,86;83,84
9,00;83,76
9,14;83,92
9,29;84,08
9,43;84,24
9,57;84,48
9,71;84,73
9,86;84,97
10,00;85,29
10,14;85,61
10,29;86,01
10,43;86,49
10,57;86,97
10,71;87,45
10,86;88,09
11,00;88,73
11,14;89,53
11,29;90,26
11,43;91,06
11,57;91,70
11,71;92,18
11,86;91,86
12,00;91,06
12,14;89,78
12,29;88,49
12,43;87,37
12,57;86,41
12,71;85,77
12,86;85,29
13,00;85,05
13,14;84,89
13,29;84,97
13,43;85,05
13,57;85,21
13,71;85,53
13,86;85,85
14,00;86,17
14,14;86,57
14,29;87,05
14,43;87,61
14,57;88,09
14,71;88,81
14,86;89,53
15,00;90,26
15,14;91,14
15,29;92,10
15,43;93,06
15,57;94,18
15,71;95,31
15,86;96,59
16,00;98,03
16,14;99,47
16,29;101,08
16,43;102,52
16,57;103,56
16,71;103,64
16,86;102,68
17,00;100,76
17,14;98,59
17,29;96,43
17,43;94,18
17,57;92,26
17,71;90,58
17,86;89,37
18,00;88,57
18,14;88,09
18,29;87,77
18,43;87,69
18,57;87,93
18,71;88,25
18,86;88,65
19,00;89,13
19,14;89,78
19,29;90,58
19,43;91,38
19,57;92,18
19,71;93,30
19,86;94,34
20,00;95,55
20,14;96,83
20,29;98,35
20,43;99,87
20,57;101,40
20,71;103,32
20,86;105,17
21,00;107,25
21,14;109,41
21,29;111,50
21,43;113,26
21,57;114,14
21,71;113,90
21,86;112,54
22,00;110,62
22,14;108,29
22,29;105,65
22,43;102,84
22,57;100,12
22,71;97,87
22,86;96,11
23,00;94,50
23,14;93,38
23,29;92,58
23,43;92,18
23,57;92,10
23,71;92,18
23,86;92,50
24,00;93,06
24,14;93,70
24,29;94,66
24,43;95,63
24,57;96,75
24,71;98,03
24,86;99,47
25,00;101,00
25,14;102,68
25,29;104,52
25,43;106,61
25,57;108,85
25,71;111,18
25,86;113,74
26,00;116,47
26,14;119,19
26,29;121,68
26,43;123,52
26,57;124,64
26,71;124,72
26,86;124,00
27,00;122,64
27,14;120,72
27,29;118,15
27,43;115,18
27,57;112,14
27,71;109,41
27,86;106,93
28,00;104,60
28,14;102,52
28,29;101,08
28,43;99,96
28,57;99,31
28,71;98,83
28,86;98,83
29,00;99,15
29,14;99,63
29,29;100,36
29,43;101,24
29,57;102,36
29,71;103,64
29,86;105,25
30,00;107,01
30,14;108,93
30,29;111,10
30,43;113,34
30,57;115,83
30,71;118,55
30,86;121,44
31,00;124,48
31,14;127,53
31,29;130,33
31,43;132,42
31,57;134,02
31,71;134,98
31,86;135,38
32,00;134,90
32,14;133,70
32,29;131,70
32,43;129,37
32,57;126,89
32,71;124,40
32,86;121,68
33,00;118,95
33,14;116,63
33,29;114,62
33,43;112,94
33,57;111,42
33,71;110,22
33,86;109,57
34,00;109,17
34,14;109,01
34,29;109,17
34,43;109,57
34,57;110,22
34,71;111,18
34,86;112,38
35,00;113,82
35,14;115,51
35,29;117,43
35,43;119,59
35,57;122,00
35,71;124,72
35,86;127,69
36,00;130,74
36,14;133,86
36,29;136,83
36,43;139,47
36,57;142,04
36,71;144,04
36,86;145,72
37,00;146,61
37,14;146,93
37,29;146,61
37,43;145,96
37,57;144,92
37,71;143,56
37,86;141,88
38,00;140,27
38,14;138,83
38,29;137,55
38,43;136,43
38,57;135,46
38,71;134,98
38,86;135,06
39,00;136,03
39,14;140,51
39,29;158,63
39,43;164,00
39,57;164,00
39,71;164,00
39,86;164,00
40,00;164,00
40,14;164,00
40,29;164,00
40,43;164,00
40,57;164,00
40,71;164,00
40,86;164,00
41,00;164,00
41,14;164,00
41,29;164,00
41,43;164,00
41,57;164,00
41,71;164,00
41,86;164,00
42,00;164,00
42,14;164,00
42,29;164,00
42,43;164,00
42,57;164,00
42,71;164,00
42,86;164,00
43,00;164,00
43,14;164,00
43,29;164,00
43,43;164,00
43,57;164,00
43,71;164,00
43,86;164,00
44,00;164,00
44,14;164,00
44,29;164,00
44,43;164,00
44,57;164,00
44,71;164,00
44,86;164,00
45,00;164,00
45,14;164,00
45,29;164,00
45,43;164,00
45,57;164,00
45,71;164,00
45,86;164,00
46,00;164,00
46,14;164,00
46,29;164,00
46,43;164,00
46,57;164,00
46,71;164,00
46,86;164,00
47,00;164,00
47,14;164,00
47,29;164,00
47,43;164,00
47,57;164,00
47,71;164,00
47,86;164,00
48,00;164,00
48,14;164,00
48,29;164,00
48,43;164,00
48,57;164,00
48,71;164,00
48,86;164,00
49,00;164,00
49,14;164,00
49,29;164,00
49,43;164,00
49,57;164,00
49,71;164,00
49,86;164,00
50,00;164,00
50,14;164,00
50,29;164,00
50,43;164,00
50,57;164,00
50,71;164,00
50,86;164,00
51,00;164,00
51,14;164,00
51,29;164,00
51,43;164,00
51,57;164,00
51,71;164,00
51,86;164,00
52,00;164,00
52,14;164,00
52,29;164,00
52,43;164,00
52,57;164,00
52,71;164,00
52,86;164,00
53,00;164,00
53,14;164,00
53,29;164,00
53,43;164,00
53,57;164,00
53,71;164,00
53,86;164,00
54,00;164,00
54,14;164,00
54,29;164,00
54,43;164,00
54,57;164,00
54,71;164,00
54,86;164,00
55,00;164,00
55,14;164,00
55,29;164,00
55,43;164,00
55,57;164,00
55,71;164,00
55,86;164,00
56,00;164,00
56,14;164,00
56,29;164,00
56,43;164,00
56,57;164,00
56,71;164,00
56,86;164,00
57,00;164,00
57,14;164,00
57,29;164,00
57,43;164,00
57,57;164,00
57,71;164,00
57,86;164,00
58,00;164,00
58,14;164,00
58,29;164,00
58,43;164,00
58,57;164,00
58,71;164,00
58,86;164,00
59,00;164,00
59,14;164,00
59,29;164,00
59,43;164,00
59,57;164,00
59,71;164,00
59,86;164,00
60,00;164,00
60,14;164,00
60,29;164,00
60,43;164,00
60,57;164,00
60,71;164,00
60,86;164,00
61,00;164,00
61,14;164,00
61,29;164,00
61,43;164,00
61,57;164,00
61,71;164,00
61,86;164,00
62,00;164,00
62,14;164,00
62,29;164,00
62,43;164,00
62,57;164,00
62,71;164,00
62,86;164,00
63,00;164,00
63,14;164,00
63,29;164,00
63,43;164,00
63,57;164,00
63,71;164,00
63,86;164,00
64,00;164,00
64,14;164,00
64,29;164,00
64,43;164,00
64,57;164,00
64,71;164,00
64,86;164,00
65,00;164,00
65,14;164,00
65,29;164,00
65,43;164,00
65,57;164,00
65,71;164,00
65,86;164,00
66,00;164,00
66,14;164,00
66,29;164,00
66,43;164,00
66,57;164,00
66,71;164,00
66,86;164,00
67,00;164,00
67,14;164,00
67,29;164,00
67,43;164,00
67,57;164,00
67,71;164,00
67,86;164,00
68,00;164,00
68,14;164,00
68,29;164,00
68,43;164,00
68,57;164,00
68,71;164,00
68,86;164,00
69,00;164,00
69,14;164,00
69,29;164,00
69,43;164,00
69,57;164,00
69,71;164,00
69,86;164,00
70,00;164,00
70,14;164,00
70,29;164,00
70,43;164,00
70,57;164,00
70,71;164,00
70,86;164,00
71,00;164,00
71,14;164,00
71,29;164,00
71,43;164,00
71,57;164,00
71,71;164,00
71,86;164,00
72,00;164,00
72,14;164,00
72,29;164,00
72,43;164,00
