x	y_6	y_9	y_12
0.3	4.47	7.22	10.01
0.6	4.28	6.98	9.82
0.9	4.05	6.75	9.63
1.2	3.63	6.49	9.43
1.5	3.61	6.26	9.23
1.8	3.38	6.02	9.02
2.1	3.15	5.8	8.82
2.4	2.89	5.6	8.61
2.7	2.62	5.38	8.4
3	2.37	5.17	8.2
3.3	2.08	4.96	7.99
3.6	1.8	4.74	7.77
3.9	1.54	4.51	7.56
4.2	1.26	4.26	7.34
4.5	1.01	4.01	7.12
4.8	0.78	3.74	6.9
5.1	0.53	3.47	6.68
5.4	0.33	3.17	6.45
5.7	0.16	2.88	6.22
6	0.06	2.56	5.98
6.3		2.24	5.73
6.6		1.91	5.46
6.9		1.62	5.18
7.2		1.31	4.89
7.5		1.03	4.6
7.8		0.75	4.27
8.1		0.51	3.94
8.4		0.3	3.59
8.7		0.14	3.22
9		0.05	2.88
9.3			2.51
9.6			2.12
