Mode;ramp
Ua;Ie
0,14;81,60
0,29;81,60
0,43;81,76
0,57;81,76
0,71;81,92
0,86;82,00
1,00;82,08
1,14;82,08
1,29;82,08
1,43;82,08
1,57;82,08
1,71;82,08
1,86;82,08
2,00;82,08
2,14;82,08
2,29;82,08
2,43;82,08
2,57;82,08
2,71;82,08
2,86;82,08
3,00;82,08
3,14;82,08
3,29;82,08
3,43;82,08
3,57;82,08
3,71;82,08
3,86;82,16
4,00;82,08
4,14;82,08
4,29;82,08
4,43;82,00
4,57;82,16
4,71;82,08
4,86;82,08
5,00;82,08
5,14;82,08
5,29;82,08
5,43;82,08
5,57;82,08
5,71;82,08
5,86;82,16
6,00;82,16
6,14;82,16
6,29;82,16
6,43;82,16
6,57;82,16
6,71;82,16
6,86;82,16
7,00;82,24
7,14;82,24
7,29;82,40
7,43;82,56
7,57;82,72
7,71;82,96
7,86;83,28
8,00;83,76
8,14;84,32
8,29;84,89
8,43;85,53
8,57;86,17
8,71;86,81
8,86;87,37
9,00;88,01
9,14;88,49
9,29;89,13
9,43;89,45
9,57;89,94
9,71;90,42
9,86;90,74
10,00;91,14
10,14;91,54
10,29;91,86
10,43;92,18
10,57;92,50
10,71;92,82
10,86;93,06
11,00;93,38
11,14;93,54
11,29;93,86
11,43;94,10
11,57;94,26
11,71;94,50
11,86;94,74
12,00;94,91
12,14;95,07
12,29;95,23
12,43;95,39
12,57;95,63
12,71;95,87
12,86;95,95
13,00;96,11
13,14;96,19
13,29;96,35
13,43;96,51
13,57;96,67
13,71;96,83
13,86;96,99
14,00;97,15
14,14;97,23
14,29;97,39
14,43;97,47
14,57;97,63
14,71;97,71
14,86;97,95
15,00;98,03
15,14;98,11
15,29;98,19
15,43;98,43
15,57;98,51
15,71;98,67
15,86;98,75
16,00;98,83
16,14;98,99
16,29;99,23
16,43;99,31
16,57;99,39
16,71;99,47
16,86;99,63
17,00;99,79
17,14;99,79
17,29;99,87
17,43;100,04
17,57;100,04
17,71;100,20
17,86;100,20
18,00;100,20
18,14;100,20
18,29;100,20
18,43;100,04
18,57;100,04
18,71;99,87
18,86;99,71
19,00;99,55
19,14;99,39
19,29;99,23
19,43;98,91
19,57;98,67
19,71;98,43
19,86;98,11
20,00;97,71
20,14;97,47
20,29;97,15
20,43;96,75
20,57;96,35
20,71;96,03
20,86;95,55
21,00;95,15
21,14;94,74
21,29;94,34
21,43;93,94
21,57;93,46
21,71;93,14
21,86;92,66
22,00;92,26
22,14;91,86
22,29;91,38
22,43;91,06
22,57;90,58
22,71;90,26
22,86;89,78
23,00;89,37
23,14;88,97
23,29;88,49
23,43;88,17
23,57;87,69
23,71;87,29
23,86;86,89
24,00;86,57
24,14;86,17
24,29;85,85
24,43;85,61
24,57;85,37
24,71;85,29
24,86;85,29
25,00;85,29
25,14;85,53
25,29;85,77
25,43;86,09
25,57;86,41
25,71;86,73
25,86;87,05
26,00;87,21
26,14;87,53
26,29;87,85
26,43;88,09
26,57;88,33
26,71;88,65
26,86;88,97
27,00;89,21
27,14;89,61
27,29;89,94
27,43;90,42
27,57;90,82
27,71;91,22
27,86;91,54
28,00;91,94
28,14;92,34
28,29;92,74
28,43;93,14
28,57;93,46
28,71;93,94
28,86;94,42
29,00;94,74
29,14;95,15
29,29;95,55
29,43;96,03
29,57;96,35
29,71;96,83
29,86;97,31
30,00;97,63
30,14;98,11
30,29;98,59
30,43;99,07
30,57;99,55
30,71;100,04
30,86;100,44
31,00;101,00
31,14;101,48
31,29;101,96
31,43;102,44
31,57;102,92
31,71;103,40
31,86;103,88
32,00;104,36
32,14;104,84
32,29;105,33
32,43;105,97
32,57;106,45
32,71;106,93
32,86;107,41
33,00;107,89
33,14;108,45
33,29;108,93
33,43;109,49
33,57;110,05
33,71;110,54
33,86;111,02
34,00;111,66
34,14;112,14
34,29;112,62
34,43;113,18
34,57;113,74
34,71;114,22
34,86;114,70
35,00;115,10
35,14;115,51
35,29;115,91
35,43;116,31
35,57;116,71
35,71;117,11
35,86;117,43
36,00;117,75
36,14;117,99
36,29;118,31
36,43;118,55
36,57;118,79
36,71;119,11
36,86;119,11
37,00;119,35
37,14;119,51
37,29;119,59
37,43;119,75
37,57;119,75
37,71;119,83
37,86;119,83
38,00;119,83
38,14;119,75
38,29;119,75
38,43;119,75
38,57;119,75
38,71;119,59
38,86;119,43
39,00;119,27
39,14;119,19
39,29;119,03
39,43;118,87
39,57;118,55
39,71;118,39
39,86;118,15
40,00;117,91
40,14;117,59
40,29;117,35
40,43;116,95
40,57;116,63
40,71;116,31
40,86;115,83
41,00;115,43
41,14;115,02
41,29;114,62
41,43;114,14
41,57;113,82
41,71;113,34
41,86;113,02
42,00;112,70
42,14;112,54
42,29;112,30
42,43;112,22
42,57;112,06
42,71;111,82
42,86;111,74
43,00;111,50
43,14;111,26
43,29;111,10
43,43;110,78
43,57;110,62
43,71;110,38
43,86;110,05
44,00;109,89
44,14;109,73
44,29;109,73
44,43;109,65
44,57;109,65
44,71;109,57
44,86;109,57
45,00;109,57
45,14;109,41
45,29;109,41
45,43;109,41
45,57;109,41
45,71;109,25
45,86;109,25
46,00;109,25
46,14;109,33
46,29;109,41
46,43;109,41
46,57;109,57
46,71;109,57
46,86;109,73
47,00;109,73
47,14;109,89
47,29;110,05
47,43;110,22
47,57;110,38
47,71;110,54
47,86;110,78
48,00;111,02
48,14;111,26
48,29;111,50
48,43;111,82
48,57;112,14
48,71;112,46
48,86;112,70
49,00;112,94
49,14;113,26
49,29;113,58
49,43;114,06
49,57;114,38
49,71;114,86
49,86;115,35
50,00;115,67
50,14;116,15
50,29;116,63
50,43;117,11
50,57;117,59
50,71;118,07
50,86;118,55
51,00;119,11
51,14;119,67
51,29;120,23
51,43;120,80
51,57;121,44
51,71;122,00
51,86;122,64
52,00;123,20
52,14;123,84
52,29;124,40
52,43;125,04
52,57;125,69
52,71;126,25
52,86;126,89
53,00;127,45
53,14;128,09
53,29;128,73
53,43;129,37
53,57;129,85
53,71;130,49
53,86;131,14
54,00;131,62
54,14;132,26
54,29;132,82
54,43;133,30
54,57;133,86
54,71;134,42
54,86;134,90
55,00;135,38
55,14;135,95
55,29;136,43
55,43;136,91
55,57;137,39
55,71;137,87
55,86;138,35
56,00;138,83
56,14;139,15
56,29;139,63
56,43;139,95
56,57;140,43
56,71;140,75
56,86;141,00
57,00;141,32
57,14;141,64
57,29;142,12
57,43;142,28
57,57;142,52
57,71;142,76
57,86;143,00
58,00;143,24
58,14;143,32
58,29;143,48
58,43;143,64
58,57;143,72
58,71;143,80
58,86;143,96
59,00;144,12
59,14;144,12
59,29;144,20
59,43;144,36
59,57;144,52
59,71;144,68
59,86;144,76
60,00;144,84
60,14;144,92
60,29;145,00
60,43;144,92
60,57;144,92
60,71;144,92
60,86;144,92
61,00;144,92
61,14;144,76
61,29;144,76
61,43;144,76
61,57;144,68
61,71;144,76
61,86;144,76
62,00;144,76
62,14;144,76
62,29;144,60
62,43;144,52
62,57;144,36
62,71;144,28
62,86;144,20
63,00;144,12
63,14;144,04
63,29;143,88
63,43;143,80
63,57;143,80
63,71;143,64
63,86;143,64
64,00;143,56
64,14;143,40
64,29;143,32
64,43;143,24
64,57;143,08
64,71;143,00
64,86;142,92
65,00;142,76
65,14;142,68
65,29;142,60
65,43;142,52
65,57;142,52
65,71;142,36
65,86;142,36
66,00;142,20
66,14;142,20
66,29;142,20
66,43;142,04
66,57;142,12
66,71;142,12
66,86;142,04
67,00;141,96
67,14;141,96
67,29;141,88
67,43;141,88
67,57;141,88
67,71;141,96
67,86;141,88
68,00;141,96
68,14;142,04
68,29;142,04
68,43;142,12
68,57;142,20
68,71;142,28
68,86;142,36
69,00;142,52
69,14;142,60
69,29;142,76
69,43;142,84
69,57;143,00
69,71;143,08
69,86;143,24
70,00;143,40
70,14;143,56
70,29;143,80
70,43;143,96
70,57;144,12
70,71;144,28
70,86;144,52
71,00;144,76
71,14;144,92
71,29;145,16
71,43;145,40
71,57;145,56
71,71;145,88
71,86;146,04
72,00;146,37
72,14;146,61
72,29;146,85
72,43;147,17
72,57;147,41
72,71;147,73
72,86;148,05
73,00;148,21
73,14;148,61
73,29;148,85
73,43;149,09
73,57;149,41
73,71;149,73
73,86;150,05
74,00;150,29
74,14;150,61
74,29;150,93
74,43;151,26
74,57;151,58
74,71;151,90
74,86;152,14
75,00;152,46
75,14;152,70
75,29;153,02
75,43;153,34
75,57;153,66
75,71;153,98
75,86;154,30
76,00;154,54
76,14;154,94
76,29;155,10
76,43;155,50
76,57;155,82
76,71;156,06
76,86;156,39
77,00;156,71
77,14;157,03
77,29;157,35
77,43;157,67
77,57;157,99
77,71;158,31
77,86;158,55
78,00;158,79
78,14;159,03
78,29;159,27
78,43;159,59
78,57;159,91
78,71;160,23
78,86;160,55
79,00;160,79
79,14;161,11
79,29;161,43
79,43;161,68
79,57;161,92
79,71;162,16
79,86;162,48
80,00;162,64
