Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [cm];Y position [cm];Distance [cm];Distance in x-direction [cm];Distance in y-direction [cm];Length [cm];Length in x-Direction [cm];Length in y-Direction [cm];Velocity [cm/s];Velocity in x-direction [cm/s];Velocity in y-direction [cm/s];Acceleration [cm/s²];Acceleration in x-Direction [cm/s²];Acceleration in y-Direction [cm/s²];
1;0;344;613;-1.72;9.35;38.58;-1.92;38.54;38.58;-1.92;38.54;1157.52;-57.49;1156.1;-34661.83;1724.56;-34618.98;
2;0.0333;317;1156;-3.64;47.89;0.07;0;0.07;38.66;-1.92;38.61;2.13;0;2.13;-63.87;0;-63.87;
3;0.0667;317;1157;-3.64;47.96;0;0;0;38.66;-1.92;38.61;0;0;0;325.69;319.36;-63.87;
4;0.1;317;1157;-3.64;47.96;0.36;0.35;-0.07;39.02;-1.56;38.54;10.86;10.65;-2.13;-6.32;-638.73;63.87;
5;0.1333;322;1156;-3.29;47.89;0.35;-0.35;0;39.37;-1.92;38.54;10.65;-10.65;0;0;638.73;0;
6;0.1667;317;1156;-3.64;47.89;0.35;0.35;0;39.73;-1.56;38.54;10.65;10.65;0;-63.87;-574.85;0;
7;0.2;322;1156;-3.29;47.89;0.28;-0.28;0;40.01;-1.85;38.54;8.52;-8.52;0;-255.49;255.49;0;
8;0.2333;318;1156;-3.57;47.89;0;0;0;40.01;-1.85;38.54;0;0;0;0;0;0;
9;0.2667;318;1156;-3.57;47.89;0;0;0;40.01;-1.85;38.54;0;0;0;0;0;0;
10;0.3;318;1156;-3.57;47.89;0;0;0;40.01;-1.85;38.54;0;0;0;0;0;0;
11;0.3333;318;1156;-3.57;47.89;0;0;0;40.01;-1.85;38.54;0;0;0;0;0;0;
12;0.3667;318;1156;-3.57;47.89;0;0;0;40.01;-1.85;38.54;0;0;0;63.87;0;-63.87;
13;0.4;318;1156;-3.57;47.89;0.07;0;-0.07;40.08;-1.85;38.47;2.13;0;-2.13;-63.87;0;63.87;
14;0.4333;318;1155;-3.57;47.82;0;0;0;40.08;-1.85;38.47;0;0;0;63.87;0;-63.87;
15;0.4667;318;1155;-3.57;47.82;0.07;0;-0.07;40.15;-1.85;38.39;2.13;0;-2.13;0;0;127.75;
16;0.5;318;1154;-3.57;47.75;0.07;0;0.07;40.22;-1.85;38.47;2.13;0;2.13;-63.87;0;-63.87;
17;0.5333;318;1155;-3.57;47.82;0;0;0;40.22;-1.85;38.47;0;0;0;63.87;0;63.87;
18;0.5667;318;1155;-3.57;47.82;0.07;0;0.07;40.29;-1.85;38.54;2.13;0;2.13;78.95;63.87;-191.62;
19;0.6;318;1156;-3.57;47.89;0.16;0.07;-0.14;40.45;-1.77;38.39;4.76;2.13;-4.26;1159.93;191.62;-1149.71;
20;0.6333;319;1154;-3.5;47.75;1.45;0.28;-1.42;41.9;-1.49;36.98;43.43;8.52;-42.58;1507.65;-255.49;-1532.94;
21;0.6667;323;1134;-3.21;46.33;3.12;0;-3.12;45.02;-1.49;33.85;93.68;0;-93.68;1086.36;-63.87;-1085.84;
22;0.7;323;1090;-3.21;43.21;4.33;-0.07;-4.33;49.35;-1.56;29.52;129.89;-2.13;-129.87;1150.8;-63.87;-1149.71;
23;0.7333;322;1029;-3.29;38.88;5.61;-0.14;-5.61;54.96;-1.7;23.92;168.25;-4.26;-168.2;1212.29;63.87;-1213.58;
24;0.7667;320;950;-3.43;33.27;6.96;-0.07;-6.96;61.92;-1.77;16.96;208.66;-2.13;-208.65;1085.79;0;-1085.84;
25;0.8;319;852;-3.5;26.32;8.16;-0.07;-8.16;70.08;-1.85;8.8;244.85;-2.13;-244.85;958.06;0;-958.09;
26;0.8333;318;737;-3.57;18.16;9.23;-0.07;-9.23;79.3;-1.92;-0.43;276.79;-2.13;-276.78;-383.48;63.87;383.24;
27;0.8667;317;607;-3.64;8.93;8.8;0;-8.8;88.11;-1.92;-9.23;264.01;0;-264.01;-829.19;127.75;15010.08;
28;0.9;317;483;-3.64;0.13;7.88;0.14;7.88;95.98;-1.77;-1.35;236.37;4.26;236.33;1.44;63.87;0;
29;0.9333;319;594;-3.5;8.01;7.88;0.21;7.88;103.86;-1.56;6.53;236.42;6.39;236.33;-1023.21;-63.87;-1021.96;
30;0.9667;322;705;-3.29;15.88;6.74;0.14;6.74;110.61;-1.42;13.27;202.31;4.26;202.26;-1208.21;127.75;-1213.58;
31;1;324;800;-3.14;22.63;5.4;0.28;5.39;116.01;-1.14;18.67;162.03;8.52;161.81;-1154.22;-127.75;-1149.71;
32;1.0333;328;876;-2.86;28.02;4.12;0.14;4.12;120.13;-0.99;22.78;123.56;4.26;123.49;-1148.72;0;-1149.71;
33;1.0667;330;934;-2.72;32.14;2.84;0.14;2.84;122.97;-0.85;25.62;85.27;4.26;85.16;-1279.05;-63.87;-1277.45;
34;1.1;332;974;-2.58;34.97;1.42;0.07;1.42;124.39;-0.78;27.04;42.63;2.13;42.58;-1136.23;63.87;-1213.58;
35;1.1333;333;994;-2.5;36.39;0.16;0.14;0.07;124.55;-0.64;27.11;4.76;4.26;2.13;1141;0;-1341.33;
36;1.1667;335;995;-2.36;36.47;1.43;0.14;-1.42;125.98;-0.5;25.69;42.79;4.26;-42.58;1208.03;-63.87;-1213.58;
37;1.2;337;975;-2.22;35.05;2.77;0.07;-2.77;128.75;-0.43;22.92;83.06;2.13;-83.03;1340.51;-63.87;-1341.33;
38;1.2333;338;936;-2.15;32.28;4.26;0;-4.26;133;-0.43;18.67;127.75;0;-127.75;1022.38;63.87;-1021.96;
39;1.2667;338;876;-2.15;28.02;5.39;0.07;-5.39;138.4;-0.35;13.27;161.82;2.13;-161.81;1277.37;0;-1277.45;
40;1.3;339;800;-2.08;22.63;6.81;0.07;-6.81;145.21;-0.28;6.46;204.4;2.13;-204.39;957.76;-63.87;-958.09;
41;1.3333;340;704;-2.01;15.81;7.88;0;-7.88;153.09;-0.28;-1.42;236.33;0;-236.33;191.62;0;-191.62;
42;1.3667;340;593;-2.01;7.94;8.09;0;-8.09;161.18;-0.28;-9.51;242.72;0;-242.72;-1467.67;127.75;13093.9;
43;1.4;340;479;-2.01;-0.16;6.46;0.14;6.46;167.64;-0.14;-3.05;193.79;4.26;193.75;446.03;-191.62;447.11;
44;1.4333;342;570;-1.87;6.3;6.96;-0.07;6.96;174.59;-0.21;3.9;208.66;-2.13;208.65;-1213.5;0;-1213.58;
45;1.4667;341;668;-1.94;13.26;5.61;-0.07;5.61;180.2;-0.28;9.51;168.21;-2.13;168.2;-1084.18;-63.87;-1085.84;
46;1.5;340;747;-2.01;18.86;4.4;-0.14;4.4;184.6;-0.43;13.91;132.07;-4.26;132;-1278.75;191.62;-1277.45;
47;1.5333;338;809;-2.15;23.26;2.98;0.07;2.98;187.59;-0.35;16.89;89.45;2.13;89.42;-1208.8;-191.62;-1213.58;
48;1.5667;339;851;-2.08;26.25;1.64;-0.14;1.63;189.22;-0.5;18.52;49.15;-4.26;48.97;-1203.63;-63.87;-1277.45;
49;1.6;337;874;-2.22;27.88;0.3;-0.21;0.21;189.53;-0.71;18.74;9.03;-6.39;6.39;758.93;63.87;-1213.58;
50;1.6333;334;877;-2.43;28.09;1.14;-0.14;-1.14;190.67;-0.85;17.6;34.33;-4.26;-34.07;1336.82;0;-1341.33;
51;1.6667;332;861;-2.58;26.96;2.63;-0.14;-2.63;193.3;-0.99;14.97;78.89;-4.26;-78.78;1148.58;0;-1149.71;
52;1.7;330;824;-2.72;24.33;3.91;-0.14;-3.9;197.21;-1.14;11.07;117.18;-4.26;-117.1;1598.09;-63.87;-1596.82;
53;1.7333;328;769;-2.86;20.43;5.68;-0.21;-5.68;202.89;-1.35;5.39;170.45;-6.39;-170.33;957.52;0;-958.09;
54;1.7667;325;689;-3.07;14.75;6.75;-0.21;-6.74;209.63;-1.56;-1.35;202.36;-6.39;-202.26;-191.52;0;191.62;
55;1.8;322;594;-3.29;8.01;6.53;-0.21;-6.53;216.16;-1.77;-7.88;195.98;-6.39;-195.88;-4150.12;319.36;7600.85;
56;1.8333;319;502;-3.5;1.48;1.92;0.14;1.92;218.09;-1.63;-5.96;57.64;4.26;57.49;4148.39;0;4151.72;
57;1.8667;321;529;-3.36;3.39;6.53;0.14;6.53;224.62;-1.49;0.57;195.92;4.26;195.88;-1530.11;63.87;-1532.94;
58;1.9;323;621;-3.21;9.92;4.83;0.21;4.83;229.45;-1.28;5.39;144.92;6.39;144.78;-896.08;-63.87;-894.22;
59;1.9333;326;689;-3;14.75;3.83;0.14;3.83;233.28;-1.14;9.23;115.05;4.26;114.97;-1212.3;0;-1213.58;
60;1.9667;328;743;-2.86;18.58;2.49;0.14;2.48;235.77;-0.99;11.71;74.64;4.26;74.52;-1399.08;0;-1405.2;
61;2;330;778;-2.72;21.06;0.93;0.14;0.92;236.7;-0.85;12.63;28;4.26;27.68;-325.16;-63.87;-1341.33;
62;2.0333;332;791;-2.58;21.99;0.57;0.07;-0.57;237.28;-0.78;12.06;17.17;2.13;-17.03;1341.75;63.87;-1341.33;
