Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [cm];Y position [cm];Distance [cm];Distance in x-direction [cm];Distance in y-direction [cm];Length [cm];Length in x-Direction [cm];Length in y-Direction [cm];Velocity [cm/s];Velocity in x-direction [cm/s];Velocity in y-direction [cm/s];Acceleration [cm/s²];Acceleration in x-Direction [cm/s²];Acceleration in y-Direction [cm/s²];
1;0.04;933;367;19.64;1.07;0.1;0.02;0.1;0.1;0.02;0.1;2.45;0.6;2.38;-46.18;-17.86;-74.4;
2;0.08;934;371;19.67;1.17;0.12;-0.02;-0.12;0.22;0;-0.02;0.61;-0.12;-0.6;-3.04;0.6;2.98;
8;0.28;933;366;19.64;1.05;0;0;0;0.22;0;-0.02;0;0;0;0;0;0;
13;0.48;933;366;19.64;1.05;0;0;0;0.22;0;-0.02;0;0;0;0;0;0;
18;0.68;933;366;19.64;1.05;0;0;0;0.22;0;-0.02;0;0;0;3.58;1.98;2.98;
23;0.88;933;366;19.64;1.05;0.09;0.05;0.07;0.31;0.05;0.05;0.72;0.4;0.6;5.13;-8.27;-14.88;
26;1;935;369;19.69;1.12;0.11;-0.05;-0.1;0.41;0;-0.05;1.33;-0.6;-1.19;-5.55;12.4;24.8;
28;1.08;933;365;19.64;1.02;0.11;0.05;0.1;0.52;0.05;0.05;0.89;0.4;0.79;2.83;-5.79;-16.53;
31;1.2;935;369;19.69;1.12;0.1;-0.02;-0.1;0.62;0.02;-0.05;1.23;-0.3;-1.19;-13.85;3.72;16.37;
33;1.28;934;365;19.67;1.02;0.02;0;0.02;0.64;0.02;-0.02;0.12;0;0.12;2.54;0.99;2.38;
38;1.48;934;366;19.67;1.05;0.08;0.02;0.07;0.72;0.05;0.05;0.63;0.2;0.6;4.69;-1.65;-14.88;
41;1.6;935;369;19.69;1.12;0.1;0;-0.1;0.81;0.05;-0.05;1.19;0;-1.19;-9.34;-2.48;19.84;
43;1.68;935;365;19.69;1.02;0.05;-0.02;0.05;0.86;0.02;0;0.44;-0.2;0.4;1.26;1.65;-8.27;
46;1.8;934;367;19.67;1.07;0.05;0;-0.05;0.91;0.02;-0.05;0.6;0;-0.6;2.79;2.48;17.36;
48;1.88;934;365;19.67;1.02;0.1;0.02;0.1;1.01;0.05;0.05;0.82;0.2;0.79;4.27;-6.61;-16.53;
51;2;935;369;19.69;1.12;0.11;-0.05;-0.1;1.12;0;-0.05;1.33;-0.6;-1.19;-9.62;12.4;19.84;
53;2.08;933;365;19.64;1.02;0.07;0.05;0.05;1.18;0.05;0;0.56;0.4;0.4;0.87;-5.79;-8.27;
56;2.2;935;367;19.69;1.07;0.05;-0.02;-0.05;1.24;0.02;-0.05;0.67;-0.3;-0.6;-8.32;3.72;7.44;
58;2.28;934;365;19.67;1.02;0;0;0;1.24;0.02;-0.05;0;0;0;20.87;20.83;-1.19;
63;2.48;934;365;19.67;1.02;0.83;0.83;-0.05;2.07;0.86;-0.1;4.17;4.17;-0.24;4.73;4.76;1.79;
68;2.68;969;363;20.5;0.98;1.02;1.02;0.02;3.1;1.88;-0.07;5.12;5.12;0.12;-0.62;-0.79;2.38;
73;2.88;1012;364;21.52;1;0.6;0.6;0.07;3.7;2.48;0;5;4.96;0.6;-6.12;-6.61;-12.4;
76;3;1037;367;22.12;1.07;0.34;0.33;-0.07;4.04;2.81;-0.07;4.26;4.17;-0.89;0.33;1.49;9.67;
78;3.08;1051;364;22.45;1;0.86;0.86;-0.02;4.89;3.67;-0.1;4.29;4.29;-0.12;-2.39;-2.38;0.6;
83;3.28;1087;363;23.31;0.98;0.76;0.76;0;5.66;4.43;-0.1;3.81;3.81;0;-0.75;-1.19;3.97;
88;3.48;1119;363;24.07;0.98;0.44;0.43;0.1;6.09;4.86;0;3.66;3.57;0.79;-0.52;-2.48;-19.01;
91;3.6;1137;367;24.5;1.07;0.29;0.26;-0.12;6.38;5.12;-0.12;3.6;3.27;-1.49;2.75;6.2;26.04;
93;3.68;1148;362;24.76;0.95;0.46;0.45;0.07;6.84;5.57;-0.05;3.82;3.77;0.6;-5.91;-6.61;-12.4;
