Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [cm];Y position [cm];Distance [cm];Distance in x-direction [cm];Distance in y-direction [cm];Length [cm];Length in x-Direction [cm];Length in y-Direction [cm];Velocity [cm/s];Velocity in x-direction [cm/s];Velocity in y-direction [cm/s];Acceleration [cm/s²];Acceleration in x-Direction [cm/s²];Acceleration in y-Direction [cm/s²];
1;0.04;214;377;2.52;1.31;0.2;0.19;0.07;0.2;0.19;0.07;5.09;4.76;1.79;-8.1;0;-44.64;
2;0.08;222;380;2.71;1.38;0.57;0.57;0;0.77;0.76;0.07;4.76;4.76;0;6.65;4.96;-12.4;
6;0.2;246;380;3.29;1.38;0.44;0.43;-0.12;1.22;1.19;-0.05;5.56;5.36;-1.49;9.9;12.4;21.08;
8;0.28;264;375;3.71;1.26;0.76;0.76;0.02;1.98;1.95;-0.02;6.35;6.35;0.2;-5.55;-5.79;-6.61;
11;0.4;296;376;4.48;1.29;0.45;0.45;-0.05;2.44;2.4;-0.07;5.69;5.65;-0.6;0.89;1.24;9.92;
13;0.48;315;374;4.93;1.24;0.69;0.69;0.02;3.13;3.1;-0.05;5.76;5.75;0.2;-0.27;-0.83;-9.09;
16;0.6;344;375;5.62;1.26;0.46;0.45;-0.07;3.59;3.55;-0.12;5.72;5.65;-0.89;3.01;3.72;16.12;
18;0.68;363;372;6.07;1.19;0.72;0.71;0.05;4.3;4.26;-0.07;5.97;5.95;0.4;-2.33;-2.48;-8.27;
21;0.8;393;374;6.79;1.24;0.45;0.45;-0.05;4.76;4.71;-0.12;5.69;5.65;-0.6;3.33;3.72;7.44;
23;0.88;412;372;7.24;1.19;0.71;0.71;0;5.47;5.43;-0.12;5.95;5.95;0;0.25;0;-4.96;
26;1;442;372;7.95;1.19;0.48;0.48;-0.05;5.95;5.9;-0.17;5.98;5.95;-0.6;-0.21;0;12.4;
28;1.08;462;370;8.43;1.14;0.72;0.71;0.05;6.67;6.62;-0.12;5.97;5.95;0.4;-2.53;-2.48;-5.79;
31;1.2;492;372;9.14;1.19;0.45;0.45;-0.02;7.12;7.07;-0.14;5.66;5.65;-0.3;6.14;6.2;6.2;
33;1.28;511;371;9.6;1.17;0.74;0.74;0.02;7.86;7.81;-0.12;6.15;6.15;0.2;-6.37;-6.61;-6.61;
36;1.4;542;372;10.33;1.19;0.43;0.43;-0.05;8.29;8.24;-0.17;5.39;5.36;-0.6;5.6;5.95;4.46;
38;1.48;560;370;10.76;1.14;1.17;1.17;-0.05;9.46;9.4;-0.21;5.84;5.83;-0.24;0.59;0.6;2.18;
43;1.68;609;368;11.93;1.1;0.71;0.71;0.02;10.17;10.12;-0.19;5.96;5.95;0.2;-2.44;-2.48;-4.13;
46;1.8;639;369;12.64;1.12;0.45;0.45;-0.02;10.62;10.57;-0.21;5.66;5.65;-0.3;3.66;3.72;1.24;
48;1.88;658;368;13.1;1.1;0.71;0.71;-0.02;11.34;11.29;-0.24;5.96;5.95;-0.2;-2.51;-2.48;1.65;
51;2;688;367;13.81;1.07;0.45;0.45;0;11.79;11.74;-0.24;5.65;5.65;0;3.72;3.72;0;
53;2.08;707;367;14.26;1.07;0.71;0.71;0;12.5;12.45;-0.24;5.95;5.95;0;0.25;0;-4.96;
56;2.2;737;367;14.98;1.07;0.48;0.48;-0.05;12.98;12.93;-0.29;5.98;5.95;-0.6;-1.84;-1.49;8.93;
