Apr 15, 2025  10:39:19 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   5.73E-008, 
 30.10,   4.86E-008, 
 30.20,   2.66E-008, 
 30.30,   4.65E-009, 
 30.40,   1.52E-009, 
 30.50,   7.31E-010, 
 30.60,   4.96E-010, 
 30.70,   5.48E-010, 
 30.80,   6.81E-010, 
 30.90,   8.57E-010, 
 31.00,   9.83E-010, 
 31.10,   1.06E-009, 
 31.20,   1.10E-009, 
 31.30,   1.05E-009, 
 31.40,   1.53E-009, 
 31.50,   3.17E-009, 
 31.60,   1.67E-008, 
 31.70,   4.68E-008, 
 31.80,   6.17E-008, 
 31.90,   6.44E-008, 
 32.00,   6.35E-008, 
 32.10,   5.21E-008, 
 32.20,   2.62E-008, 
 32.30,   4.40E-009, 
 32.40,   1.49E-009, 
 32.50,   7.44E-010, 
 32.60,   4.34E-010, 
 32.70,   2.44E-010, 
 32.80,   1.18E-010, 
 32.90,   9.45E-011, 
 33.00,   6.62E-011, 
 33.10,   8.35E-011, 
 33.20,   5.21E-011, 
 33.30,   5.91E-011, 
 33.40,  -1.80E-011, 
 33.50,  -1.22E-011, 
 33.60,   6.43E-012, 
 33.70,   5.59E-011, 
 33.80,   1.32E-010, 
 33.90,   2.04E-010, 
 34.00,   2.80E-010, 
 34.10,   2.31E-010, 
 34.20,   1.60E-010, 
 34.30,   9.06E-011, 
 34.40,   2.25E-011, 
 34.50,   3.08E-011, 
 34.60,   5.53E-011, 
 34.70,   2.83E-011, 
 34.80,   3.60E-011, 
 34.90,   7.97E-011, 
 35.00,   5.08E-011, 
 35.10,   3.60E-011, 
 35.20,   2.31E-011, 
 35.30,  -2.51E-011, 
 35.40,  -7.71E-012, 
 35.50,  -3.92E-011, 
 35.60,   2.89E-011, 
 35.70,   1.87E-010, 
 35.80,   4.06E-010, 
 35.90,   5.18E-010, 
 36.00,   5.93E-010, 
 36.10,   5.99E-010, 
 36.20,   4.63E-010, 
 36.30,   2.11E-010, 
 36.40,   7.20E-011, 
 36.50,   3.98E-011, 
 36.60,   2.70E-011, 
 36.70,   5.14E-011, 
 36.80,   5.53E-011, 
 36.90,   9.51E-011, 
 37.00,   1.21E-010, 
 37.10,   9.51E-011, 
 37.20,   8.87E-011, 
 37.30,   7.52E-011, 
 37.40,   2.83E-011, 
 37.50,   1.03E-011, 
 37.60,   8.16E-011, 
 37.70,   1.99E-010, 
 37.80,   3.10E-010, 
 37.90,   3.90E-010, 
 38.00,   4.43E-010, 
 38.10,   4.73E-010, 
 38.20,   3.84E-010, 
 38.30,   1.66E-010, 
 38.40,   9.25E-011, 
 38.50,   6.68E-011, 
 38.60,   9.70E-011, 
 38.70,   3.23E-010, 
 38.80,   6.31E-010, 
 38.90,   8.61E-010, 
 39.00,   1.08E-009, 
 39.10,   1.20E-009, 
 39.20,   1.03E-009, 
 39.30,   6.69E-010, 
 39.40,   5.04E-010, 
 39.50,   5.80E-010, 
 39.60,   1.63E-009, 
 39.70,   4.62E-009, 
 39.80,   7.55E-009, 
 39.90,   8.66E-009, 
 40.00,   9.03E-009, 
 40.10,   7.66E-009, 
 40.20,   3.99E-009, 
 40.30,   1.52E-009, 
 40.40,   7.63E-010, 
 40.50,   4.57E-010, 
 40.60,   4.37E-010, 
 40.70,   9.51E-010, 
 40.80,   1.76E-009, 
 40.90,   2.45E-009, 
 41.00,   2.87E-009, 
 41.10,   3.01E-009, 
