Apr 15, 2025  09:25:53 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.40E-009, 
  1.10,   1.95E-009, 
  1.20,   5.46E-009, 
  1.30,   1.06E-007, 
  1.40,   8.37E-008, 
  1.50,   2.14E-008, 
  1.60,   2.43E-008, 
  1.70,   4.46E-008, 
  1.80,   1.27E-007, 
  1.90,   1.82E-007, 
  2.00,   2.25E-007, 
  2.10,   2.22E-007, 
  2.20,   2.08E-007, 
  2.30,   1.66E-007, 
  2.40,   6.29E-008, 
  2.50,   5.21E-009, 
  2.60,   1.74E-009, 
  2.70,   7.98E-010, 
  2.80,   5.08E-010, 
  2.90,   4.64E-010, 
  3.00,   4.92E-010, 
  3.10,   4.84E-010, 
  3.20,   4.45E-010, 
  3.30,   4.25E-010, 
  3.40,   3.11E-010, 
  3.50,   1.28E-010, 
  3.60,   6.23E-011, 
  3.70,  -1.29E-011, 
  3.80,   5.14E-012, 
  3.90,  -9.00E-012, 
  4.00,  -1.35E-011, 
  4.10,   7.07E-012, 
  4.20,  -3.28E-011, 
  4.30,  -2.57E-011, 
  4.40,  -1.16E-011, 
  4.50,  -8.35E-012, 
  4.60,  -3.28E-011, 
  4.70,  -1.93E-011, 
  4.80,  -2.25E-011, 
  4.90,  -3.21E-011, 
  5.00,  -2.19E-011, 
  5.10,  -2.38E-011, 
  5.20,  -3.73E-011, 
  5.30,  -8.35E-012, 
  5.40,  -2.70E-011, 
  5.50,  -2.25E-011, 
  5.60,  -1.61E-011, 
  5.70,  -1.16E-011, 
  5.80,  -3.02E-011, 
  5.90,  -2.83E-011, 
  6.00,  -6.17E-011, 
  6.10,  -4.88E-011, 
  6.20,  -2.25E-011, 
  6.30,  -1.29E-011, 
  6.40,  -1.74E-011, 
  6.50,  -2.06E-011, 
  6.60,  -1.74E-011, 
  6.70,  -7.07E-012, 
  6.80,  -8.35E-012, 
  6.90,  -2.06E-011, 
  7.00,  -3.41E-011, 
  7.10,  -2.70E-011, 
  7.20,  -3.86E-011, 
  7.30,  -5.85E-011, 
  7.40,  -5.21E-011, 
  7.50,  -2.89E-011, 
  7.60,  -2.12E-011, 
  7.70,  -2.19E-011, 
  7.80,  -6.43E-012, 
  7.90,   3.86E-012, 
  8.00,   7.71E-012, 
  8.10,   3.08E-011, 
  8.20,   4.82E-011, 
  8.30,   4.05E-011, 
  8.40,   5.14E-011, 
  8.50,   5.27E-011, 
  8.60,   5.01E-011, 
  8.70,   5.21E-011, 
  8.80,   2.51E-011, 
  8.90,   2.19E-011, 
  9.00,   2.57E-012, 
  9.10,  -3.66E-011, 
  9.20,  -1.93E-011, 
  9.30,  -1.48E-011, 
  9.40,  -2.89E-011, 
  9.50,  -6.11E-011, 
  9.60,  -2.76E-011, 
  9.70,  -1.03E-011, 
  9.80,   5.78E-012, 
  9.90,   0.00E+000, 
 10.00,  -2.12E-011, 
 10.10,  -1.80E-011, 
 10.20,  -1.16E-011, 
 10.30,  -1.93E-012, 
 10.40,  -1.80E-011, 
 10.50,  -1.35E-011, 
 10.60,  -2.83E-011, 
 10.70,  -2.70E-011, 
 10.80,  -6.30E-011, 
 10.90,  -2.51E-011, 
 11.00,  -9.64E-012, 
 11.10,   2.06E-011, 
 11.20,   3.15E-011, 
 11.30,   6.23E-011, 
 11.40,   1.31E-010, 
 11.50,   3.46E-010, 
 11.60,   9.04E-010, 
 11.70,   5.16E-009, 
 11.80,   1.38E-008, 
 11.90,   1.86E-008, 
 12.00,   2.06E-008, 
 12.10,   2.16E-008, 
 12.20,   1.92E-008, 
 12.30,   1.23E-008, 
 12.40,   2.97E-009, 
 12.50,   1.21E-009, 
 12.60,   8.75E-010, 
 12.70,   1.86E-009, 
 12.80,   4.47E-009, 
 12.90,   6.86E-009, 
 13.00,   8.10E-009, 
 13.10,   8.82E-009, 
 13.20,   8.17E-009, 
 13.30,   6.14E-009, 
 13.40,   2.52E-009, 
 13.50,   1.83E-009, 
 13.60,   3.60E-009, 
 13.70,   2.26E-008, 
 13.80,   4.25E-008, 
 13.90,   5.18E-008, 
 14.00,   5.54E-008, 
 14.10,   5.80E-008, 
 14.20,   5.07E-008, 
 14.30,   3.07E-008, 
 14.40,   4.97E-009, 
 14.50,   2.47E-009, 
 14.60,   3.55E-009, 
 14.70,   1.87E-008, 
 14.80,   4.19E-008, 
 14.90,   5.24E-008, 
 15.00,   5.59E-008, 
 15.10,   6.01E-008, 
 15.20,   5.28E-008, 
 15.30,   3.81E-008, 
 15.40,   7.02E-009, 
 15.50,   3.58E-009, 
 15.60,   8.03E-009, 
 15.70,   4.57E-008, 
 15.80,   8.15E-008, 
 15.90,   1.02E-007, 
 16.00,   1.05E-007, 
 16.10,   1.10E-007, 
 16.20,   9.78E-008, 
 16.30,   5.67E-008, 
 16.40,   9.41E-009, 
 16.50,   9.76E-009, 
 16.60,   3.66E-008, 
 16.70,   1.75E-007, 
 16.80,   2.57E-007, 
 16.90,   3.10E-007, 
 17.00,   3.07E-007, 
 17.10,   3.19E-007, 
 17.20,   2.87E-007, 
 17.30,   1.44E-007, 
 17.40,   2.09E-008, 
 17.50,   3.76E-008, 
 17.60,   1.41E-007, 
 17.70,   6.24E-007, 
 17.80,   9.23E-007, 
 17.90,   1.15E-006, 
 18.00,   1.13E-006, 
 18.10,   1.19E-006, 
 18.20,   1.07E-006, 
 18.30,   4.99E-007, 
 18.40,   1.63E-008, 
 18.50,   3.76E-009, 
 18.60,   2.18E-009, 
 18.70,   3.48E-009, 
 18.80,   6.78E-009, 
 18.90,   9.62E-009, 
 19.00,   1.03E-008, 
 19.10,   1.08E-008, 
 19.20,   9.97E-009, 
