Apr 15, 2025  11:04:00 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   3.41E-011, 
  1.10,   1.13E-010, 
  1.20,   1.07E-009, 
  1.30,   1.49E-008, 
  1.40,   5.25E-009, 
  1.50,   2.78E-009, 
  1.60,   3.42E-009, 
  1.70,   8.72E-009, 
  1.80,   2.44E-008, 
  1.90,   3.51E-008, 
  2.00,   4.23E-008, 
  2.10,   3.87E-008, 
  2.20,   3.37E-008, 
  2.30,   2.07E-008, 
  2.40,   4.26E-009, 
  2.50,   1.42E-009, 
  2.60,   7.00E-010, 
  2.70,   3.99E-010, 
  2.80,   1.70E-010, 
  2.90,   1.21E-010, 
  3.00,   1.25E-010, 
  3.10,   1.05E-010, 
  3.20,   1.00E-010, 
  3.30,   6.04E-011, 
  3.40,   2.83E-011, 
  3.50,  -2.19E-011, 
  3.60,  -2.31E-011, 
  3.70,  -5.66E-011, 
  3.80,  -4.43E-011, 
  3.90,  -3.28E-011, 
  4.00,  -2.96E-011, 
  4.10,  -5.21E-011, 
  4.20,  -5.72E-011, 
  4.30,  -6.30E-011, 
  4.40,  -6.49E-011, 
  4.50,  -3.98E-011, 
  4.60,  -1.16E-011, 
  4.70,   9.64E-012, 
  4.80,   7.71E-012, 
  4.90,   3.86E-012, 
  5.00,  -1.48E-011, 
  5.10,  -3.66E-011, 
  5.20,  -4.31E-011, 
  5.30,  -4.82E-011, 
  5.40,  -2.89E-011, 
  5.50,  -1.99E-011, 
  5.60,  -2.19E-011, 
  5.70,   4.50E-012, 
  5.80,   3.53E-011, 
  5.90,   4.24E-011, 
  6.00,   2.25E-011, 
  6.10,  -6.43E-013, 
  6.20,   1.09E-011, 
  6.30,  -2.57E-012, 
  6.40,  -1.67E-011, 
  6.50,  -5.14E-011, 
  6.60,  -3.28E-011, 
  6.70,   1.29E-012, 
  6.80,   2.19E-011, 
  6.90,   1.54E-011, 
  7.00,   1.03E-011, 
  7.10,  -2.38E-011, 
  7.20,  -2.96E-011, 
  7.30,  -3.79E-011, 
  7.40,  -2.06E-011, 
  7.50,  -3.15E-011, 
  7.60,  -4.43E-011, 
  7.70,  -4.37E-011, 
  7.80,  -1.99E-011, 
  7.90,  -3.92E-011, 
  8.00,  -3.66E-011, 
  8.10,   1.74E-011, 
  8.20,  -7.07E-012, 
  8.30,   5.78E-012, 
  8.40,   1.86E-011, 
  8.50,  -1.93E-012, 
  8.60,   8.35E-012, 
  8.70,   2.51E-011, 
  8.80,   7.71E-012, 
  8.90,   3.86E-012, 
  9.00,  -1.22E-011, 
  9.10,   1.93E-012, 
  9.20,   2.57E-011, 
  9.30,   5.78E-012, 
  9.40,   1.54E-011, 
  9.50,   1.61E-011, 
  9.60,   7.07E-012, 
  9.70,   7.71E-012, 
  9.80,  -1.93E-011, 
  9.90,  -5.14E-012, 
 10.00,   1.67E-011, 
 10.10,  -1.16E-011, 
 10.20,  -1.61E-011, 
 10.30,   1.41E-011, 
 10.40,   3.86E-012, 
 10.50,  -1.48E-011, 
 10.60,   1.86E-011, 
 10.70,   6.43E-012, 
 10.80,  -2.31E-011, 
 10.90,  -1.09E-011, 
 11.00,   2.06E-011, 
 11.10,   3.47E-011, 
 11.20,  -5.78E-012, 
 11.30,  -2.76E-011, 
 11.40,   3.86E-012, 
 11.50,   4.37E-011, 
 11.60,   3.88E-010, 
 11.70,   1.47E-009, 
 11.80,   2.52E-009, 
 11.90,   3.37E-009, 
 12.00,   3.91E-009, 
 12.10,   3.81E-009, 
 12.20,   3.08E-009, 
 12.30,   1.49E-009, 
 12.40,   7.15E-010, 
 12.50,   3.84E-010, 
 12.60,   1.81E-010, 
 12.70,   3.11E-010, 
 12.80,   4.17E-010, 
 12.90,   4.43E-010, 
 13.00,   4.96E-010, 
 13.10,   5.22E-010, 
 13.20,   5.08E-010, 
 13.30,   4.35E-010, 
 13.40,   4.64E-010, 
 13.50,   8.41E-010, 
 13.60,   4.09E-009, 
 13.70,   1.80E-008, 
 13.80,   2.38E-008, 
 13.90,   2.60E-008, 
 14.00,   2.70E-008, 
 14.10,   2.40E-008, 
 14.20,   1.58E-008, 
 14.30,   3.74E-009, 
 14.40,   1.32E-009, 
 14.50,   7.53E-010, 
 14.60,   7.72E-010, 
 14.70,   1.92E-009, 
 14.80,   3.62E-009, 
 14.90,   4.62E-009, 
 15.00,   4.99E-009, 
 15.10,   4.91E-009, 
 15.20,   4.03E-009, 
 15.30,   2.01E-009, 
 15.40,   1.17E-009, 
 15.50,   1.47E-009, 
 15.60,   6.57E-009, 
 15.70,   2.39E-008, 
 15.80,   3.03E-008, 
 15.90,   3.22E-008, 
 16.00,   3.28E-008, 
 16.10,   2.91E-008, 
 16.20,   1.95E-008, 
 16.30,   4.79E-009, 
 16.40,   2.75E-009, 
 16.50,   5.60E-009, 
 16.60,   3.90E-008, 
 16.70,   9.26E-008, 
 16.80,   1.09E-007, 
 16.90,   1.12E-007, 
 17.00,   1.13E-007, 
 17.10,   9.78E-008, 
 17.20,   5.34E-008, 
 17.30,   8.42E-009, 
 17.40,   8.08E-009, 
 17.50,   2.52E-008, 
 17.60,   1.53E-007, 
 17.70,   3.18E-007, 
 17.80,   3.68E-007, 
 17.90,   3.71E-007, 
 18.00,   3.72E-007, 
 18.10,   3.30E-007, 
 18.20,   1.72E-007, 
 18.30,   1.02E-008, 
 18.40,   2.50E-009, 
 18.50,   1.23E-009, 
 18.60,   9.22E-010, 
 18.70,   1.35E-009, 
 18.80,   1.96E-009, 
 18.90,   2.32E-009, 
 19.00,   2.41E-009, 
 19.10,   2.35E-009, 
 19.20,   1.87E-009, 
 19.30,   9.68E-010, 
