Apr 15, 2025  12:27:13 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 20, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   4.94E-009, 
 20.10,   5.03E-009, 
 20.20,   4.22E-009, 
 20.30,   2.08E-009, 
 20.40,   1.23E-009, 
 20.50,   9.34E-010, 
 20.60,   8.68E-010, 
 20.70,   7.83E-010, 
 20.80,   4.88E-010, 
 20.90,   2.93E-010, 
 21.00,   2.15E-010, 
 21.10,   9.83E-011, 
 21.20,   7.46E-011, 
 21.30,  -4.50E-012, 
 21.40,  -3.08E-011, 
 21.50,  -4.95E-011, 
 21.60,  -1.29E-012, 
 21.70,   4.11E-011, 
 21.80,   1.50E-010, 
 21.90,   2.17E-010, 
 22.00,   5.31E-010, 
 22.10,   5.76E-010, 
 22.20,   5.93E-010, 
 22.30,   4.12E-010, 
 22.40,   1.91E-010, 
 22.50,   1.29E-010, 
 22.60,   8.10E-011, 
 22.70,   6.56E-011, 
 22.80,   2.76E-011, 
 22.90,  -1.54E-011, 
 23.00,  -9.00E-012, 
 23.10,  -1.74E-011, 
 23.20,   1.29E-011, 
 23.30,   2.57E-011, 
 23.40,   5.14E-011, 
 23.50,   1.63E-010, 
 23.60,   9.27E-010, 
 23.70,   4.13E-009, 
 23.80,   8.05E-009, 
 23.90,   9.81E-009, 
 24.00,   1.05E-008, 
 24.10,   1.06E-008, 
 24.20,   9.79E-009, 
 24.30,   4.34E-009, 
 24.40,   1.95E-009, 
 24.50,   1.88E-009, 
 24.60,   6.04E-009, 
 24.70,   2.70E-008, 
 24.80,   3.92E-008, 
 24.90,   4.33E-008, 
 25.00,   4.57E-008, 
 25.10,   4.62E-008, 
 25.20,   4.31E-008, 
 25.30,   1.75E-008, 
 25.40,   1.66E-008, 
 25.50,   3.69E-008, 
 25.60,   1.63E-007, 
 25.70,   4.39E-007, 
 25.80,   5.91E-007, 
 25.90,   6.57E-007, 
 26.00,   6.97E-007, 
 26.10,   6.85E-007, 
 26.20,   6.17E-007, 
 26.30,   1.52E-007, 
 26.40,   1.02E-007, 
 26.50,   2.40E-007, 
 26.60,   8.68E-007, 
 26.70,   2.99E-006, 
 26.80,   4.35E-006, 
 26.90,   4.98E-006, 
 27.00,   5.23E-006, 
 27.10,   5.09E-006, 
 27.20,   4.55E-006, 
 27.30,   8.65E-007, 
 27.40,   9.28E-008, 
 27.50,   1.98E-007, 
 27.60,   8.42E-007, 
 27.70,   2.64E-006, 
 27.80,   3.71E-006, 
 27.90,   4.20E-006, 
 28.00,   4.37E-006, 
 28.10,   4.26E-006, 
 28.20,   3.64E-006, 
 28.30,   5.82E-007, 
 28.40,   5.57E-008, 
 28.50,   1.10E-007, 
 28.60,   3.93E-007, 
 28.70,   1.46E-006, 
 28.80,   2.27E-006, 
 28.90,   2.69E-006, 
 29.00,   2.88E-006, 
 29.10,   2.79E-006, 
 29.20,   2.53E-006, 
 29.30,   5.50E-007, 
 29.40,   1.70E-008, 
 29.50,   6.04E-009, 
