Apr 15, 2025  12:12:44 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   8.48E-011, 
  1.10,   1.48E-010, 
  1.20,   5.99E-010, 
  1.30,   1.92E-008, 
  1.40,   1.53E-008, 
  1.50,   3.95E-009, 
  1.60,   2.81E-009, 
  1.70,   4.20E-009, 
  1.80,   1.31E-008, 
  1.90,   2.83E-008, 
  2.00,   3.54E-008, 
  2.10,   3.80E-008, 
  2.20,   3.52E-008, 
  2.30,   2.57E-008, 
  2.40,   8.62E-009, 
  2.50,   2.06E-009, 
  2.60,   8.80E-010, 
  2.70,   4.85E-010, 
  2.80,   2.11E-010, 
  2.90,   1.11E-010, 
  3.00,   1.17E-010, 
  3.10,   1.05E-010, 
  3.20,   9.83E-011, 
  3.30,   7.65E-011, 
  3.40,   1.35E-011, 
  3.50,   1.03E-011, 
  3.60,   9.00E-012, 
  3.70,   2.12E-011, 
  3.80,   1.61E-011, 
  3.90,   1.93E-011, 
  4.00,  -9.00E-012, 
  4.10,  -9.00E-012, 
  4.20,   1.41E-011, 
  4.30,   1.86E-011, 
  4.40,   6.43E-012, 
  4.50,  -1.41E-011, 
  4.60,  -2.12E-011, 
  4.70,  -3.47E-011, 
  4.80,  -3.73E-011, 
  4.90,  -8.35E-012, 
  5.00,   1.09E-011, 
  5.10,   2.44E-011, 
  5.20,   1.41E-011, 
  5.30,   1.41E-011, 
  5.40,  -3.86E-012, 
  5.50,  -7.71E-012, 
  5.60,  -1.35E-011, 
  5.70,   1.09E-011, 
  5.80,   1.86E-011, 
  5.90,   1.22E-011, 
  6.00,  -2.19E-011, 
  6.10,  -1.16E-011, 
  6.20,  -2.06E-011, 
  6.30,  -2.96E-011, 
  6.40,  -3.73E-011, 
  6.50,  -1.29E-012, 
  6.60,   7.07E-012, 
  6.70,  -1.09E-011, 
  6.80,  -1.61E-011, 
  6.90,  -1.29E-012, 
  7.00,  -4.50E-012, 
  7.10,   5.14E-012, 
  7.20,  -1.29E-012, 
  7.30,   3.21E-012, 
  7.40,   7.07E-012, 
  7.50,  -1.61E-011, 
  7.60,  -4.43E-011, 
  7.70,  -4.05E-011, 
  7.80,  -3.08E-011, 
  7.90,  -1.67E-011, 
  8.00,   2.12E-011, 
  8.10,   8.23E-011, 
  8.20,   7.07E-011, 
  8.30,   1.54E-011, 
  8.40,   3.41E-011, 
  8.50,   9.64E-012, 
  8.60,   8.35E-012, 
  8.70,  -1.86E-011, 
  8.80,  -2.89E-011, 
  8.90,  -1.22E-011, 
  9.00,  -3.73E-011, 
  9.10,  -5.78E-012, 
  9.20,  -3.86E-012, 
  9.30,   6.43E-013, 
  9.40,   6.43E-013, 
  9.50,  -1.86E-011, 
  9.60,   1.93E-012, 
  9.70,   2.57E-012, 
  9.80,  -1.80E-011, 
  9.90,  -3.28E-011, 
 10.00,  -1.41E-011, 
 10.10,  -3.41E-011, 
 10.20,  -5.21E-011, 
 10.30,  -5.40E-011, 
 10.40,  -4.95E-011, 
 10.50,  -2.96E-011, 
 10.60,  -4.05E-011, 
 10.70,  -3.21E-011, 
 10.80,  -4.69E-011, 
 10.90,  -5.85E-011, 
 11.00,  -5.01E-011, 
 11.10,  -9.64E-012, 
 11.20,   1.61E-011, 
 11.30,   3.41E-011, 
 11.40,   3.02E-011, 
 11.50,   4.50E-011, 
 11.60,   1.35E-010, 
 11.70,   8.13E-010, 
 11.80,   1.85E-009, 
 11.90,   2.64E-009, 
 12.00,   3.17E-009, 
 12.10,   3.40E-009, 
 12.20,   3.03E-009, 
 12.30,   1.81E-009, 
 12.40,   8.14E-010, 
 12.50,   4.13E-010, 
 12.60,   1.81E-010, 
 12.70,   1.80E-010, 
 12.80,   3.50E-010, 
 12.90,   4.04E-010, 
 13.00,   4.55E-010, 
 13.10,   5.03E-010, 
 13.20,   4.48E-010, 
 13.30,   3.53E-010, 
 13.40,   3.04E-010, 
 13.50,   5.25E-010, 
 13.60,   1.75E-009, 
 13.70,   1.14E-008, 
 13.80,   2.15E-008, 
 13.90,   2.41E-008, 
 14.00,   2.54E-008, 
 14.10,   2.43E-008, 
 14.20,   1.87E-008, 
 14.30,   5.93E-009, 
 14.40,   1.73E-009, 
 14.50,   8.75E-010, 
 14.60,   6.43E-010, 
 14.70,   1.16E-009, 
 14.80,   2.50E-009, 
 14.90,   3.51E-009, 
 15.00,   4.01E-009, 
 15.10,   4.21E-009, 
 15.20,   3.73E-009, 
 15.30,   2.35E-009, 
 15.40,   1.17E-009, 
 15.50,   1.03E-009, 
 15.60,   2.35E-009, 
 15.70,   1.42E-008, 
 15.80,   2.58E-008, 
 15.90,   2.84E-008, 
 16.00,   2.92E-008, 
 16.10,   2.76E-008, 
 16.20,   2.16E-008, 
 16.30,   6.64E-009, 
 16.40,   2.50E-009, 
 16.50,   2.93E-009, 
 16.60,   1.21E-008, 
 16.70,   5.95E-008, 
 16.80,   8.38E-008, 
 16.90,   8.91E-008, 
 17.00,   8.97E-008, 
 17.10,   8.35E-008, 
 17.20,   5.98E-008, 
 17.30,   1.14E-008, 
 17.40,   5.03E-009, 
 17.50,   1.04E-008, 
 17.60,   5.56E-008, 
 17.70,   2.19E-007, 
 17.80,   2.87E-007, 
 17.90,   2.99E-007, 
 18.00,   2.97E-007, 
 18.10,   2.73E-007, 
 18.20,   1.93E-007, 
 18.30,   1.86E-008, 
 18.40,   2.88E-009, 
 18.50,   1.31E-009, 
 18.60,   8.50E-010, 
 18.70,   1.07E-009, 
 18.80,   1.59E-009, 
 18.90,   2.07E-009, 
 19.00,   2.23E-009, 
 19.10,   2.28E-009, 
 19.20,   1.92E-009, 
 19.30,   1.08E-009, 
