Apr 15, 2025  02:54:06 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   6.49E-009, 
  1.10,   9.86E-009, 
  1.20,   2.07E-008, 
  1.30,   1.57E-007, 
  1.40,   1.41E-007, 
  1.50,   5.18E-008, 
  1.60,   4.67E-008, 
  1.70,   7.48E-008, 
  1.80,   2.07E-007, 
  1.90,   4.10E-007, 
  2.00,   5.67E-007, 
  2.10,   6.90E-007, 
  2.20,   7.04E-007, 
  2.30,   5.84E-007, 
  2.40,   1.97E-007, 
  2.50,   1.10E-008, 
  2.60,   4.26E-009, 
  2.70,   8.57E-009, 
  2.80,   4.40E-008, 
  2.90,   9.59E-008, 
  3.00,   1.36E-007, 
  3.10,   1.64E-007, 
  3.20,   1.59E-007, 
  3.30,   1.38E-007, 
  3.40,   4.70E-008, 
  3.50,   4.73E-009, 
  3.60,   1.95E-009, 
  3.70,   2.98E-009, 
  3.80,   1.65E-008, 
  3.90,   3.89E-008, 
  4.00,   5.82E-008, 
  4.10,   7.16E-008, 
  4.20,   7.39E-008, 
  4.30,   6.21E-008, 
  4.40,   1.91E-008, 
  4.50,   2.85E-009, 
  4.60,   9.07E-010, 
  4.70,   2.59E-010, 
  4.80,  -2.89E-011, 
  4.90,  -1.13E-010, 
  5.00,  -1.50E-010, 
  5.10,  -1.43E-010, 
  5.20,  -1.48E-010, 
  5.30,  -1.33E-010, 
  5.40,  -1.53E-010, 
  5.50,  -1.81E-010, 
  5.60,  -1.95E-010, 
  5.70,  -1.86E-010, 
  5.80,  -1.19E-010, 
  5.90,  -7.71E-011, 
  6.00,   3.21E-012, 
  6.10,   5.78E-011, 
  6.20,   1.07E-010, 
  6.30,   1.20E-010, 
  6.40,   3.66E-011, 
  6.50,  -6.11E-011, 
  6.60,  -1.23E-010, 
  6.70,  -1.54E-010, 
  6.80,  -1.54E-010, 
  6.90,  -1.75E-010, 
  7.00,  -1.52E-010, 
  7.10,  -1.15E-010, 
  7.20,  -1.08E-010, 
  7.30,  -9.77E-011, 
  7.40,  -9.45E-011, 
  7.50,  -9.96E-011, 
  7.60,  -1.19E-010, 
  7.70,  -1.04E-010, 
  7.80,  -7.84E-011, 
  7.90,  -8.48E-011, 
  8.00,  -9.13E-011, 
  8.10,  -5.40E-011, 
  8.20,  -3.47E-011, 
  8.30,  -5.40E-011, 
  8.40,  -5.85E-011, 
  8.50,  -3.86E-011, 
  8.60,  -3.34E-011, 
  8.70,  -2.25E-011, 
  8.80,  -1.93E-012, 
  8.90,  -2.19E-011, 
  9.00,  -6.56E-011, 
  9.10,  -6.23E-011, 
  9.20,  -7.13E-011, 
  9.30,  -5.91E-011, 
  9.40,  -7.65E-011, 
  9.50,  -6.30E-011, 
  9.60,  -5.01E-011, 
  9.70,  -3.41E-011, 
  9.80,  -3.86E-011, 
  9.90,  -3.98E-011, 
 10.00,  -4.50E-011, 
 10.10,  -6.04E-011, 
 10.20,  -4.95E-011, 
 10.30,  -2.89E-011, 
 10.40,   1.93E-012, 
 10.50,   4.11E-011, 
 10.60,   3.34E-011, 
 10.70,   2.57E-011, 
 10.80,   5.14E-011, 
 10.90,   8.61E-011, 
 11.00,   2.11E-010, 
 11.10,   2.54E-010, 
 11.20,   3.08E-010, 
 11.30,   4.49E-010, 
 11.40,   8.23E-010, 
 11.50,   1.94E-009, 
 11.60,   8.37E-009, 
 11.70,   4.88E-008, 
 11.80,   7.37E-008, 
 11.90,   8.70E-008, 
 12.00,   9.91E-008, 
 12.10,   9.49E-008, 
 12.20,   7.60E-008, 
 12.30,   1.92E-008, 
 12.40,   3.84E-009, 
 12.50,   3.05E-009, 
 12.60,   8.05E-009, 
 12.70,   4.52E-008, 
 12.80,   6.88E-008, 
 12.90,   8.00E-008, 
 13.00,   9.18E-008, 
 13.10,   8.93E-008, 
 13.20,   7.72E-008, 
 13.30,   2.46E-008, 
 13.40,   1.26E-008, 
 13.50,   2.70E-008, 
 13.60,   1.16E-007, 
 13.70,   3.99E-007, 
 13.80,   5.35E-007, 
 13.90,   6.10E-007, 
 14.00,   6.87E-007, 
 14.10,   6.59E-007, 
 14.20,   5.26E-007, 
 14.30,   8.58E-008, 
 14.40,   2.99E-008, 
 14.50,   7.46E-008, 
 14.60,   2.84E-007, 
 14.70,   1.24E-006, 
 14.80,   1.85E-006, 
 14.90,   2.08E-006, 
 15.00,   2.30E-006, 
 15.10,   2.23E-006, 
 15.20,   1.92E-006, 
 15.30,   3.91E-007, 
 15.40,   1.74E-008, 
 15.50,   1.50E-008, 
 15.60,   5.51E-008, 
 15.70,   2.14E-007, 
 15.80,   2.97E-007, 
 15.90,   3.28E-007, 
 16.00,   3.67E-007, 
 16.10,   3.67E-007, 
 16.20,   3.10E-007, 
 16.30,   6.23E-008, 
 16.40,   1.61E-008, 
 16.50,   3.70E-008, 
 16.60,   1.91E-007, 
 16.70,   5.34E-007, 
 16.80,   7.12E-007, 
 16.90,   7.67E-007, 
 17.00,   8.42E-007, 
 17.10,   8.07E-007, 
 17.20,   5.95E-007, 
 17.30,   6.44E-008, 
 17.40,   5.55E-008, 
 17.50,   1.68E-007, 
 17.60,   8.22E-007, 
 17.70,   2.47E-006, 
 17.80,   3.30E-006, 
 17.90,   3.55E-006, 
 18.00,   3.87E-006, 
 18.10,   3.67E-006, 
 18.20,   2.77E-006, 
 18.30,   1.87E-007, 
 18.40,   2.37E-008, 
 18.50,   4.52E-008, 
 18.60,   2.37E-007, 
 18.70,   6.87E-007, 
 18.80,   9.02E-007, 
 18.90,   9.43E-007, 
 19.00,   1.02E-006, 
 19.10,   9.86E-007, 
 19.20,   7.26E-007, 
