Apr 15, 2025  02:24:25 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.23E-008, 
  1.10,   1.63E-008, 
  1.20,   2.38E-008, 
  1.30,   9.46E-008, 
  1.40,   1.02E-007, 
  1.50,   4.87E-008, 
  1.60,   3.99E-008, 
  1.70,   4.58E-008, 
  1.80,   1.06E-007, 
  1.90,   2.36E-007, 
  2.00,   3.08E-007, 
  2.10,   3.59E-007, 
  2.20,   3.77E-007, 
  2.30,   3.25E-007, 
  2.40,   1.29E-007, 
  2.50,   8.61E-009, 
  2.60,   2.78E-009, 
  2.70,   2.85E-009, 
  2.80,   1.20E-008, 
  2.90,   3.49E-008, 
  3.00,   5.06E-008, 
  3.10,   6.36E-008, 
  3.20,   6.46E-008, 
  3.30,   5.76E-008, 
  3.40,   2.51E-008, 
  3.50,   3.78E-009, 
  3.60,   1.64E-009, 
  3.70,   1.79E-009, 
  3.80,   6.75E-009, 
  3.90,   2.24E-008, 
  4.00,   3.54E-008, 
  4.10,   4.34E-008, 
  4.20,   4.22E-008, 
  4.30,   3.64E-008, 
  4.40,   1.41E-008, 
  4.50,   2.71E-009, 
  4.60,   9.81E-010, 
  4.70,   3.93E-010, 
  4.80,   6.56E-011, 
  4.90,  -4.43E-011, 
  5.00,  -5.78E-011, 
  5.10,  -8.93E-011, 
  5.20,  -9.83E-011, 
  5.30,  -5.53E-011, 
  5.40,  -6.23E-011, 
  5.50,  -8.74E-011, 
  5.60,  -1.21E-010, 
  5.70,  -1.33E-010, 
  5.80,  -9.83E-011, 
  5.90,  -4.31E-011, 
  6.00,   1.03E-011, 
  6.10,   6.30E-011, 
  6.20,   1.01E-010, 
  6.30,   7.39E-011, 
  6.40,   4.95E-011, 
  6.50,  -5.14E-012, 
  6.60,  -6.75E-011, 
  6.70,  -6.36E-011, 
  6.80,  -7.20E-011, 
  6.90,  -7.84E-011, 
  7.00,  -6.36E-011, 
  7.10,  -1.86E-011, 
  7.20,  -9.00E-012, 
  7.30,  -2.25E-011, 
  7.40,  -5.98E-011, 
  7.50,  -2.96E-011, 
  7.60,  -2.70E-011, 
  7.70,  -1.80E-011, 
  7.80,   9.00E-012, 
  7.90,   3.86E-011, 
  8.00,   6.11E-011, 
  8.10,   6.88E-011, 
  8.20,   6.56E-011, 
  8.30,   9.13E-011, 
  8.40,   8.61E-011, 
  8.50,   8.42E-011, 
  8.60,   1.30E-010, 
  8.70,   1.26E-010, 
  8.80,   9.13E-011, 
  8.90,   1.80E-011, 
  9.00,   1.48E-011, 
  9.10,   7.07E-012, 
  9.20,  -1.29E-012, 
  9.30,  -2.31E-011, 
  9.40,  -3.92E-011, 
  9.50,  -4.43E-011, 
  9.60,  -5.21E-011, 
  9.70,  -5.66E-011, 
  9.80,  -3.02E-011, 
  9.90,  -1.61E-011, 
 10.00,  -3.66E-011, 
 10.10,  -5.33E-011, 
 10.20,  -2.31E-011, 
 10.30,   3.53E-011, 
 10.40,   5.53E-011, 
 10.50,   1.99E-011, 
 10.60,   3.86E-012, 
 10.70,  -4.18E-011, 
 10.80,   6.43E-012, 
 10.90,   2.06E-011, 
 11.00,   1.29E-011, 
 11.10,   7.46E-011, 
 11.20,   1.74E-010, 
 11.30,   3.25E-010, 
 11.40,   5.72E-010, 
 11.50,   1.29E-009, 
 11.60,   4.70E-009, 
 11.70,   3.29E-008, 
 11.80,   5.69E-008, 
 11.90,   6.54E-008, 
 12.00,   7.74E-008, 
 12.10,   7.23E-008, 
 12.20,   5.90E-008, 
 12.30,   1.83E-008, 
 12.40,   3.36E-009, 
 12.50,   2.18E-009, 
 12.60,   3.80E-009, 
 12.70,   2.18E-008, 
 12.80,   4.24E-008, 
 12.90,   4.77E-008, 
 13.00,   5.63E-008, 
 13.10,   5.25E-008, 
 13.20,   4.84E-008, 
 13.30,   2.27E-008, 
 13.40,   2.08E-008, 
 13.50,   5.82E-008, 
 13.60,   2.35E-007, 
 13.70,   9.03E-007, 
 13.80,   1.27E-006, 
 13.90,   1.37E-006, 
 14.00,   1.56E-006, 
 14.10,   1.43E-006, 
 14.20,   1.17E-006, 
 14.30,   1.49E-007, 
 14.40,   1.67E-008, 
 14.50,   2.19E-008, 
 14.60,   6.04E-008, 
 14.70,   2.71E-007, 
 14.80,   4.40E-007, 
 14.90,   4.81E-007, 
 15.00,   5.65E-007, 
 15.10,   5.28E-007, 
 15.20,   4.73E-007, 
 15.30,   1.29E-007, 
 15.40,   1.29E-008, 
 15.50,   2.18E-008, 
 15.60,   8.97E-008, 
 15.70,   3.25E-007, 
 15.80,   4.49E-007, 
 15.90,   4.85E-007, 
 16.00,   5.47E-007, 
 16.10,   5.03E-007, 
 16.20,   3.93E-007, 
 16.30,   6.25E-008, 
 16.40,   1.29E-008, 
 16.50,   2.62E-008, 
 16.60,   1.08E-007, 
 16.70,   3.61E-007, 
 16.80,   4.90E-007, 
 16.90,   5.17E-007, 
 17.00,   5.81E-007, 
 17.10,   5.33E-007, 
 17.20,   4.24E-007, 
 17.30,   5.88E-008, 
 17.40,   3.69E-008, 
 17.50,   1.09E-007, 
 17.60,   4.39E-007, 
 17.70,   1.53E-006, 
 17.80,   2.09E-006, 
 17.90,   2.21E-006, 
 18.00,   2.46E-006, 
 18.10,   2.29E-006, 
 18.20,   1.80E-006, 
 18.30,   1.61E-007, 
 18.40,   1.37E-008, 
 18.50,   1.46E-008, 
 18.60,   5.82E-008, 
 18.70,   2.16E-007, 
 18.80,   2.92E-007, 
 18.90,   3.13E-007, 
 19.00,   3.41E-007, 
 19.10,   3.18E-007, 
 19.20,   2.54E-007, 
 19.30,   2.93E-008, 
