Apr 15, 2025  01:19:57 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 401 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 10, amu 
Scan Stop Mass, 50, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 10.00,   3.02E-011, 
 10.10,   1.22E-011, 
 10.20,  -3.21E-012, 
 10.30,   3.66E-011, 
 10.40,   4.11E-011, 
 10.50,   4.95E-011, 
 10.60,   4.05E-011, 
 10.70,   4.24E-011, 
 10.80,   4.11E-011, 
 10.90,   8.48E-011, 
 11.00,   9.13E-011, 
 11.10,   1.09E-010, 
 11.20,   1.79E-010, 
 11.30,   3.20E-010, 
 11.40,   5.15E-010, 
 11.50,   1.26E-009, 
 11.60,   5.31E-009, 
 11.70,   2.98E-008, 
 11.80,   4.11E-008, 
 11.90,   4.79E-008, 
 12.00,   5.53E-008, 
 12.10,   5.16E-008, 
 12.20,   3.90E-008, 
 12.30,   9.05E-009, 
 12.40,   2.74E-009, 
 12.50,   2.17E-009, 
 12.60,   4.90E-009, 
 12.70,   2.49E-008, 
 12.80,   3.66E-008, 
 12.90,   4.14E-008, 
 13.00,   4.84E-008, 
 13.10,   4.63E-008, 
 13.20,   3.99E-008, 
 13.30,   1.60E-008, 
 13.40,   2.09E-008, 
 13.50,   6.09E-008, 
 13.60,   2.91E-007, 
 13.70,   8.51E-007, 
 13.80,   1.01E-006, 
 13.90,   1.14E-006, 
 14.00,   1.26E-006, 
 14.10,   1.15E-006, 
 14.20,   7.49E-007, 
 14.30,   4.84E-008, 
 14.40,   1.45E-008, 
 14.50,   2.41E-008, 
 14.60,   8.71E-008, 
 14.70,   3.26E-007, 
 14.80,   4.31E-007, 
 14.90,   4.73E-007, 
 15.00,   5.42E-007, 
 15.10,   5.01E-007, 
 15.20,   4.00E-007, 
 15.30,   5.62E-008, 
 15.40,   1.12E-008, 
 15.50,   2.26E-008, 
 15.60,   1.17E-007, 
 15.70,   3.24E-007, 
 15.80,   3.88E-007, 
 15.90,   4.22E-007, 
 16.00,   4.53E-007, 
 16.10,   4.22E-007, 
 16.20,   2.80E-007, 
 16.30,   2.65E-008, 
 16.40,   1.04E-008, 
 16.50,   2.57E-008, 
 16.60,   1.36E-007, 
 16.70,   3.62E-007, 
 16.80,   4.30E-007, 
 16.90,   4.70E-007, 
 17.00,   5.03E-007, 
 17.10,   4.68E-007, 
 17.20,   2.97E-007, 
 17.30,   2.98E-008, 
 17.40,   3.35E-008, 
 17.50,   1.02E-007, 
 17.60,   4.96E-007, 
 17.70,   1.34E-006, 
 17.80,   1.59E-006, 
 17.90,   1.71E-006, 
 18.00,   1.75E-006, 
 18.10,   1.66E-006, 
 18.20,   9.83E-007, 
 18.30,   3.75E-008, 
 18.40,   6.50E-009, 
 18.50,   3.86E-009, 
 18.60,   9.06E-009, 
 18.70,   3.21E-008, 
 18.80,   4.17E-008, 
 18.90,   4.45E-008, 
 19.00,   4.70E-008, 
 19.10,   4.54E-008, 
 19.20,   3.29E-008, 
 19.30,   7.15E-009, 
 19.40,   4.21E-009, 
 19.50,   6.09E-009, 
 19.60,   2.41E-008, 
 19.70,   4.87E-008, 
 19.80,   5.26E-008, 
 19.90,   6.00E-008, 
 20.00,   5.63E-008, 
 20.10,   5.44E-008, 
 20.20,   2.71E-008, 
 20.30,   4.48E-009, 
 20.40,   2.08E-009, 
 20.50,   1.46E-009, 
 20.60,   1.32E-009, 
 20.70,   1.31E-009, 
 20.80,   1.12E-009, 
 20.90,   1.01E-009, 
