Apr 15, 2025  01:43:21 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 401 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 10, amu 
Scan Stop Mass, 50, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.59E-008, 
  1.10,   2.34E-008, 
  1.20,   4.59E-008, 
  1.30,   3.47E-007, 
  1.40,   3.92E-007, 
  1.50,   1.07E-007, 
  1.60,   7.74E-008, 
  1.70,   1.02E-007, 
  1.80,   2.45E-007, 
  1.90,   5.04E-007, 
  2.00,   7.39E-007, 
  2.10,   8.92E-007, 
  2.20,   1.02E-006, 
  2.30,   8.76E-007, 
  2.40,   3.44E-007, 
  2.50,   1.53E-008, 
  2.60,   2.94E-009, 
  2.70,   8.91E-010, 
  2.80,   4.72E-010, 
  2.90,   9.93E-010, 
  3.00,   2.01E-009, 
  3.10,   2.98E-009, 
  3.20,   3.63E-009, 
  3.30,   3.47E-009, 
  3.40,   2.11E-009, 
  3.50,   4.79E-010, 
  3.60,  -2.22E-010, 
  3.70,  -4.87E-010, 
  3.80,  -6.39E-010, 
  3.90,  -7.05E-010, 
  4.00,  -7.41E-010, 
  4.10,  -7.16E-010, 
  4.20,  -6.79E-010, 
  4.30,  -6.74E-010, 
  4.40,  -6.72E-010, 
  4.50,  -6.27E-010, 
  4.60,  -6.09E-010, 
  4.70,  -5.68E-010, 
  4.80,  -5.17E-010, 
  4.90,  -4.76E-010, 
  5.00,  -4.47E-010, 
  5.10,  -3.92E-010, 
  5.20,  -3.58E-010, 
  5.30,  -3.13E-010, 
  5.40,  -3.04E-010, 
  5.50,  -2.89E-010, 
  5.60,  -2.60E-010, 
  5.70,  -2.33E-010, 
  5.80,  -2.21E-010, 
  5.90,  -1.38E-010, 
  6.00,  -1.38E-010, 
  6.10,  -1.15E-010, 
  6.20,  -1.26E-010, 
  6.30,  -1.25E-010, 
  6.40,  -1.54E-010, 
  6.50,  -1.49E-010, 
  6.60,  -1.48E-010, 
  6.70,  -1.38E-010, 
  6.80,  -1.11E-010, 
  6.90,  -7.90E-011, 
  7.00,   6.43E-012, 
  7.10,   2.06E-011, 
  7.20,   1.29E-012, 
  7.30,  -7.07E-012, 
  7.40,  -2.31E-011, 
  7.50,  -2.70E-011, 
  7.60,  -1.35E-011, 
  7.70,  -8.48E-011, 
  7.80,  -1.11E-010, 
  7.90,  -9.45E-011, 
  8.00,  -9.83E-011, 
  8.10,  -2.31E-011, 
  8.20,   3.08E-011, 
  8.30,   2.38E-011, 
  8.40,   5.78E-012, 
  8.50,   3.53E-011, 
  8.60,   7.84E-011, 
  8.70,   5.72E-011, 
  8.80,   4.05E-011, 
  8.90,   8.35E-012, 
  9.00,  -7.65E-011, 
  9.10,  -2.57E-012, 
  9.20,  -4.63E-011, 
  9.30,  -1.93E-011, 
  9.40,  -2.19E-011, 
  9.50,  -9.64E-011, 
  9.60,  -1.61E-011, 
  9.70,  -5.33E-011, 
  9.80,   1.61E-011, 
  9.90,   3.21E-011, 
 10.00,   2.57E-012, 
 10.10,  -7.26E-011, 
 10.20,   3.53E-011, 
 10.30,   4.43E-011, 
 10.40,   7.71E-012, 
 10.50,   7.20E-011, 
 10.60,   1.29E-010, 
 10.70,   1.38E-010, 
 10.80,   2.16E-010, 
 10.90,   2.61E-010, 
 11.00,   2.89E-010, 
 11.10,   4.24E-010, 
 11.20,   6.34E-010, 
 11.30,   1.02E-009, 
 11.40,   1.95E-009, 
 11.50,   5.30E-009, 
 11.60,   2.01E-008, 
