May 21, 2024  12:33:35 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.45E-010, 
  1.10,   2.74E-010, 
  1.20,   7.92E-010, 
  1.30,   3.41E-008, 
  1.40,   2.99E-008, 
  1.50,   5.68E-009, 
  1.60,   3.23E-009, 
  1.70,   3.19E-009, 
  1.80,   7.87E-009, 
  1.90,   2.66E-008, 
  2.00,   3.95E-008, 
  2.10,   4.56E-008, 
  2.20,   4.41E-008, 
  2.30,   3.30E-008, 
  2.40,   1.10E-008, 
  2.50,   2.38E-009, 
  2.60,   1.02E-009, 
  2.70,   5.05E-010, 
  2.80,   2.75E-010, 
  2.90,   1.15E-010, 
  3.00,   7.97E-011, 
  3.10,   9.96E-011, 
  3.20,   1.05E-010, 
  3.30,   1.39E-010, 
  3.40,   8.03E-011, 
  3.50,  -6.43E-012, 
  3.60,  -3.73E-011, 
  3.70,  -5.78E-012, 
  3.80,  -2.19E-011, 
  3.90,  -3.08E-011, 
  4.00,  -3.53E-011, 
  4.10,  -2.76E-011, 
  4.20,  -2.25E-011, 
  4.30,   1.41E-011, 
  4.40,  -1.03E-011, 
  4.50,  -4.82E-011, 
  4.60,  -4.88E-011, 
  4.70,  -2.38E-011, 
  4.80,  -3.60E-011, 
  4.90,  -4.95E-011, 
  5.00,  -1.99E-011, 
  5.10,  -2.51E-011, 
  5.20,   3.21E-012, 
  5.30,  -1.29E-012, 
  5.40,  -3.92E-011, 
  5.50,  -4.11E-011, 
  5.60,  -6.17E-011, 
  5.70,  -8.16E-011, 
  5.80,  -7.90E-011, 
  5.90,  -2.70E-011, 
  6.00,  -3.53E-011, 
  6.10,  -6.43E-011, 
  6.20,  -1.27E-010, 
  6.30,  -6.68E-011, 
  6.40,  -4.18E-011, 
  6.50,  -4.56E-011, 
  6.60,  -8.16E-011, 
  6.70,  -8.48E-011, 
  6.80,  -7.97E-011, 
  6.90,  -9.06E-011, 
  7.00,  -9.77E-011, 
  7.10,  -9.90E-011, 
  7.20,  -8.61E-011, 
  7.30,  -9.83E-011, 
  7.40,  -8.61E-011, 
  7.50,  -4.82E-011, 
  7.60,  -5.72E-011, 
  7.70,  -6.68E-011, 
  7.80,  -5.98E-011, 
  7.90,  -4.88E-011, 
  8.00,  -9.64E-011, 
  8.10,  -1.10E-010, 
  8.20,  -8.87E-011, 
  8.30,  -4.11E-011, 
  8.40,  -6.17E-011, 
  8.50,  -7.20E-011, 
  8.60,  -4.56E-011, 
  8.70,  -2.12E-011, 
  8.80,   2.57E-012, 
  8.90,  -3.02E-011, 
  9.00,  -3.53E-011, 
  9.10,  -3.79E-011, 
  9.20,  -6.81E-011, 
  9.30,  -4.37E-011, 
  9.40,  -2.06E-011, 
  9.50,  -2.12E-011, 
  9.60,  -3.21E-011, 
  9.70,  -7.65E-011, 
  9.80,  -5.27E-011, 
  9.90,  -4.37E-011, 
 10.00,  -6.23E-011, 
 10.10,  -4.63E-011, 
 10.20,  -3.15E-011, 
 10.30,  -3.21E-012, 
 10.40,   2.12E-011, 
 10.50,  -1.80E-011, 
 10.60,  -3.34E-011, 
 10.70,  -4.11E-011, 
 10.80,  -5.78E-011, 
 10.90,  -6.81E-011, 
 11.00,  -5.72E-011, 
 11.10,  -5.08E-011, 
 11.20,  -4.43E-011, 
 11.30,  -1.74E-011, 
 11.40,   2.63E-011, 
 11.50,   3.21E-011, 
 11.60,   1.23E-010, 
 11.70,   6.43E-010, 
 11.80,   1.60E-009, 
 11.90,   2.37E-009, 
 12.00,   2.93E-009, 
 12.10,   3.16E-009, 
 12.20,   2.71E-009, 
 12.30,   1.41E-009, 
 12.40,   6.21E-010, 
 12.50,   3.55E-010, 
 12.60,   2.53E-010, 
 12.70,   2.69E-010, 
 12.80,   3.72E-010, 
 12.90,   4.68E-010, 
 13.00,   5.63E-010, 
 13.10,   6.05E-010, 
 13.20,   5.71E-010, 
 13.30,   4.74E-010, 
 13.40,   4.24E-010, 
 13.50,   6.26E-010, 
 13.60,   2.02E-009, 
 13.70,   1.40E-008, 
 13.80,   2.55E-008, 
 13.90,   2.82E-008, 
 14.00,   3.05E-008, 
 14.10,   2.75E-008, 
 14.20,   1.75E-008, 
 14.30,   4.05E-009, 
 14.40,   1.48E-009, 
 14.50,   8.11E-010, 
 14.60,   6.59E-010, 
 14.70,   1.48E-009, 
 14.80,   3.17E-009, 
 14.90,   4.41E-009, 
 15.00,   5.06E-009, 
 15.10,   5.18E-009, 
 15.20,   4.31E-009, 
 15.30,   2.18E-009, 
 15.40,   1.22E-009, 
 15.50,   1.26E-009, 
 15.60,   3.53E-009, 
 15.70,   2.07E-008, 
 15.80,   3.29E-008, 
 15.90,   3.50E-008, 
 16.00,   3.62E-008, 
 16.10,   3.20E-008, 
 16.20,   1.89E-008, 
 16.30,   4.55E-009, 
 16.40,   3.11E-009, 
 16.50,   5.78E-009, 
 16.60,   3.41E-008, 
 16.70,   1.33E-007, 
 16.80,   1.70E-007, 
 16.90,   1.72E-007, 
 17.00,   1.74E-007, 
 17.10,   1.48E-007, 
 17.20,   6.26E-008, 
 17.30,   8.87E-009, 
 17.40,   1.02E-008, 
 17.50,   2.95E-008, 
 17.60,   1.63E-007, 
 17.70,   4.93E-007, 
 17.80,   6.40E-007, 
 17.90,   6.42E-007, 
 18.00,   6.32E-007, 
 18.10,   5.36E-007, 
 18.20,   1.92E-007, 
 18.30,   8.50E-009, 
 18.40,   2.47E-009, 
 18.50,   1.31E-009, 
 18.60,   1.12E-009, 
 18.70,   2.40E-009, 
 18.80,   4.24E-009, 
 18.90,   5.33E-009, 
 19.00,   5.50E-009, 
 19.10,   5.14E-009, 
