Pixel index,Intensity
1.00000000,0.00018060
2.00000000,0.00016553
3.00000000,0.00049288
4.00000000,0.00173361
5.00000000,0.00209904
6.00000000,0.00200067
7.00000000,0.00195359
8.00000000,0.00194249
9.00000000,0.00201970
10.00000000,0.00199009
11.00000000,0.00201176
12.00000000,0.00210643
13.00000000,0.00219688
14.00000000,0.00210115
15.00000000,0.00192768
16.00000000,0.00191606
17.00000000,0.00196682
18.00000000,0.00203239
19.00000000,0.00206731
20.00000000,0.00202976
21.00000000,0.00204350
22.00000000,0.00191339
23.00000000,0.00198266
24.00000000,0.00202446
25.00000000,0.00194037
26.00000000,0.00192928
27.00000000,0.00200384
28.00000000,0.00203503
29.00000000,0.00206201
30.00000000,0.00194514
31.00000000,0.00192451
32.00000000,0.00193719
33.00000000,0.00205937
34.00000000,0.00207207
35.00000000,0.00209373
36.00000000,0.00202446
37.00000000,0.00195626
38.00000000,0.00192928
39.00000000,0.00198534
40.00000000,0.00198744
41.00000000,0.00205673
42.00000000,0.00204299
43.00000000,0.00198030
44.00000000,0.00195571
45.00000000,0.00203028
46.00000000,0.00202711
47.00000000,0.00209638
48.00000000,0.00202974
49.00000000,0.00203556
50.00000000,0.00206679
51.00000000,0.00199592
52.00000000,0.00194251
53.00000000,0.00199063
54.00000000,0.00192664
55.00000000,0.00196419
56.00000000,0.00205093
57.00000000,0.00206467
58.00000000,0.00197687
59.00000000,0.00199591
60.00000000,0.00197158
61.00000000,0.00205408
62.00000000,0.00202446
63.00000000,0.00205409
64.00000000,0.00196895
65.00000000,0.00196154
66.00000000,0.00201390
67.00000000,0.00203294
68.00000000,0.00192399
69.00000000,0.00204615
70.00000000,0.00206149
71.00000000,0.00199326
72.00000000,0.00197686
73.00000000,0.00200913
74.00000000,0.00200067
75.00000000,0.00206995
76.00000000,0.00212495
77.00000000,0.00202765
78.00000000,0.00187373
79.00000000,0.00195623
80.00000000,0.00202976
81.00000000,0.00205144
82.00000000,0.00199010
83.00000000,0.00206467
84.00000000,0.00199804
85.00000000,0.00200915
86.00000000,0.00207737
87.00000000,0.00214135
88.00000000,0.00203769
89.00000000,0.00205671
90.00000000,0.00207205
91.00000000,0.00202235
92.00000000,0.00193986
93.00000000,0.00200914
94.00000000,0.00207736
95.00000000,0.00213872
96.00000000,0.00214083
97.00000000,0.00197212
98.00000000,0.00194515
99.00000000,0.00204616
100.00000000,0.00199009
101.00000000,0.00199592
102.00000000,0.00197422
103.00000000,0.00201441
104.00000000,0.00199273
105.00000000,0.00204087
106.00000000,0.00203243
107.00000000,0.00203030
108.00000000,0.00202712
109.00000000,0.00201469
110.00000000,0.00201391
111.00000000,0.00210169
112.00000000,0.00206413
113.00000000,0.00199591
114.00000000,0.00192662
115.00000000,0.00194301
116.00000000,0.00195306
117.00000000,0.00200912
118.00000000,0.00210909
119.00000000,0.00208845
120.00000000,0.00199008
121.00000000,0.00197210
122.00000000,0.00191606
123.00000000,0.00197476
124.00000000,0.00199536
125.00000000,0.00194566
126.00000000,0.00189491
127.00000000,0.00195889
128.00000000,0.00198743
129.00000000,0.00200912
130.00000000,0.00195308
131.00000000,0.00190338
132.00000000,0.00191342
133.00000000,0.00198269
134.00000000,0.00196629
135.00000000,0.00199592
136.00000000,0.00192929
137.00000000,0.00192717
138.00000000,0.00197422
139.00000000,0.00198003
140.00000000,0.00190547
141.00000000,0.00198797
142.00000000,0.00201389
143.00000000,0.00205409
144.00000000,0.00203770
145.00000000,0.00202236
146.00000000,0.00189491
147.00000000,0.00183118
148.00000000,0.00191341
149.00000000,0.00200386
150.00000000,0.00197425
151.00000000,0.00200386
152.00000000,0.00201389
153.00000000,0.00203027
154.00000000,0.00189754
155.00000000,0.00196682
156.00000000,0.00203239
157.00000000,0.00208316
158.00000000,0.00207999
159.00000000,0.00209640
160.00000000,0.00194780
161.00000000,0.00196419
162.00000000,0.00197687
163.00000000,0.00200648
164.00000000,0.00201652
165.00000000,0.00199324
166.00000000,0.00204825
167.00000000,0.00213077
168.00000000,0.00214081
169.00000000,0.00209374
170.00000000,0.00196101
171.00000000,0.00201442
172.00000000,0.00195307
173.00000000,0.00202763
174.00000000,0.00199273
175.00000000,0.00192846
176.00000000,0.00193190
177.00000000,0.00202764
178.00000000,0.00201918
179.00000000,0.00200385
180.00000000,0.00200331
181.00000000,0.00195095
182.00000000,0.00189226
183.00000000,0.00195625
184.00000000,0.00197160
185.00000000,0.00195360
186.00000000,0.00192952
187.00000000,0.00201706
188.00000000,0.00194249
189.00000000,0.00192557
190.00000000,0.00191603
191.00000000,0.00200384
192.00000000,0.00206149
193.00000000,0.00200385
194.00000000,0.00201391
195.00000000,0.00208582
196.00000000,0.00205090
197.00000000,0.00206201
198.00000000,0.00202711
199.00000000,0.00198534
200.00000000,0.00201653
201.00000000,0.00201442
202.00000000,0.00197423
203.00000000,0.00205408
204.00000000,0.00196363
205.00000000,0.00199854
206.00000000,0.00204563
207.00000000,0.00201707
208.00000000,0.00205621
209.00000000,0.00211225
210.00000000,0.00200594
211.00000000,0.00196523
212.00000000,0.00194514
213.00000000,0.00198269
214.00000000,0.00200332
215.00000000,0.00207788
216.00000000,0.00206361
217.00000000,0.00200650
218.00000000,0.00199540
219.00000000,0.00202791
220.00000000,0.00193192
221.00000000,0.00195095
222.00000000,0.00196101
223.00000000,0.00202765
224.00000000,0.00199273
225.00000000,0.00197212
226.00000000,0.00195835
227.00000000,0.00202233
228.00000000,0.00205090
229.00000000,0.00212548
230.00000000,0.00206149
231.00000000,0.00204615
232.00000000,0.00204561
233.00000000,0.00208053
234.00000000,0.00198216
235.00000000,0.00196945
236.00000000,0.00205356
237.00000000,0.00214663
238.00000000,0.00213024
239.00000000,0.00212020
240.00000000,0.00205092
241.00000000,0.00207525
242.00000000,0.00208794
243.00000000,0.00216515
244.00000000,0.00210646
245.00000000,0.00201205
246.00000000,0.00199804
247.00000000,0.00208846
248.00000000,0.00203505
249.00000000,0.00200120
250.00000000,0.00202975
251.00000000,0.00209639
252.00000000,0.00197158
253.00000000,0.00202765
254.00000000,0.00208001
255.00000000,0.00208052
256.00000000,0.00199011
257.00000000,0.00198269
258.00000000,0.00192662
259.00000000,0.00196945
260.00000000,0.00200596
261.00000000,0.00204615
262.00000000,0.00192663
263.00000000,0.00191393
264.00000000,0.00190019
265.00000000,0.00193244
266.00000000,0.00196100
267.00000000,0.00202763
268.00000000,0.00204032
269.00000000,0.00208052
270.00000000,0.00203504
271.00000000,0.00200384
272.00000000,0.00199008
273.00000000,0.00200382
274.00000000,0.00200594
275.00000000,0.00219951
276.00000000,0.00214347
277.00000000,0.00211756
278.00000000,0.00208530
279.00000000,0.00202237
280.00000000,0.00200597
281.00000000,0.00213076
282.00000000,0.00213288
283.00000000,0.00215457
284.00000000,0.00212496
285.00000000,0.00219953
286.00000000,0.00217255
287.00000000,0.00218366
288.00000000,0.00214877
289.00000000,0.00215986
290.00000000,0.00215934
291.00000000,0.00223125
292.00000000,0.00209058
293.00000000,0.00199854
294.00000000,0.00200594
295.00000000,0.00200647
296.00000000,0.00200330
297.00000000,0.00213340
298.00000000,0.00199539
299.00000000,0.00200649
300.00000000,0.00208000
301.00000000,0.00210538
302.00000000,0.00201389
303.00000000,0.00203028
304.00000000,0.00201389
305.00000000,0.00199591
306.00000000,0.00191605
307.00000000,0.00194302
308.00000000,0.00193721
309.00000000,0.00191921
310.00000000,0.00186316
311.00000000,0.00195359
312.00000000,0.00201124
313.00000000,0.00202765
314.00000000,0.00199541
315.00000000,0.00196948
316.00000000,0.00193457
317.00000000,0.00198534
318.00000000,0.00192398
319.00000000,0.00199063
320.00000000,0.00200862
321.00000000,0.00202500
322.00000000,0.00205090
323.00000000,0.00205961
324.00000000,0.00209321
325.00000000,0.00217307
326.00000000,0.00220165
327.00000000,0.00228945
328.00000000,0.00226248
329.00000000,0.00214663
330.00000000,0.00205620
331.00000000,0.00211492
332.00000000,0.00210381
333.00000000,0.00216780
334.00000000,0.00210909
335.00000000,0.00216514
336.00000000,0.00222544
337.00000000,0.00221009
338.00000000,0.00214610
339.00000000,0.00211225
340.00000000,0.00206148
341.00000000,0.00209110
342.00000000,0.00205619
343.00000000,0.00209639
344.00000000,0.00209321
345.00000000,0.00208316
346.00000000,0.00209057
347.00000000,0.00209110
348.00000000,0.00199802
349.00000000,0.00204087
350.00000000,0.00200728
351.00000000,0.00197738
352.00000000,0.00193985
353.00000000,0.00199592
354.00000000,0.00205091
355.00000000,0.00195357
356.00000000,0.00196100
357.00000000,0.00202765
358.00000000,0.00199274
359.00000000,0.00197739
360.00000000,0.00192927
361.00000000,0.00204880
362.00000000,0.00202950
363.00000000,0.00190336
364.00000000,0.00193721
365.00000000,0.00204615
366.00000000,0.00205833
367.00000000,0.00204616
368.00000000,0.00201123
369.00000000,0.00211225
370.00000000,0.00210116
371.00000000,0.00212813
372.00000000,0.00210380
373.00000000,0.00208846
374.00000000,0.00210645
375.00000000,0.00215193
376.00000000,0.00201919
377.00000000,0.00204351
378.00000000,0.00211171
379.00000000,0.00213869
380.00000000,0.00209323
381.00000000,0.00209375
382.00000000,0.00206413
383.00000000,0.00210961
384.00000000,0.00214611
385.00000000,0.00217572
386.00000000,0.00207735
387.00000000,0.00205143
388.00000000,0.00204562
389.00000000,0.00199062
390.00000000,0.00203240
391.00000000,0.00214663
392.00000000,0.00207734
393.00000000,0.00205935
394.00000000,0.00206413
395.00000000,0.00202500
396.00000000,0.00192663
397.00000000,0.00194301
398.00000000,0.00200331
399.00000000,0.00209375
400.00000000,0.00204854
401.00000000,0.00203029
402.00000000,0.00201390
403.00000000,0.00208581
404.00000000,0.00200858
405.00000000,0.00197210
406.00000000,0.00190546
407.00000000,0.00203292
408.00000000,0.00213288
409.00000000,0.00202763
410.00000000,0.00196894
411.00000000,0.00198004
412.00000000,0.00203769
413.00000000,0.00202764
414.00000000,0.00201654
415.00000000,0.00209110
416.00000000,0.00202712
417.00000000,0.00203292
418.00000000,0.00199272
419.00000000,0.00207523
420.00000000,0.00213024
421.00000000,0.00207523
422.00000000,0.00202711
423.00000000,0.00203294
424.00000000,0.00201654
425.00000000,0.00212813
426.00000000,0.00208530
427.00000000,0.00201707
428.00000000,0.00199538
429.00000000,0.00192717
430.00000000,0.00194514
431.00000000,0.00203821
432.00000000,0.00205355
433.00000000,0.00208052
434.00000000,0.00205356
435.00000000,0.00203030
436.00000000,0.00193985
437.00000000,0.00197475
438.00000000,0.00199010
439.00000000,0.00192715
440.00000000,0.00186316
441.00000000,0.00181081
442.00000000,0.00180499
443.00000000,0.00200120
444.00000000,0.00202976
445.00000000,0.00209111
446.00000000,0.00204827
447.00000000,0.00200912
448.00000000,0.00197422
449.00000000,0.00206995
450.00000000,0.00213023
451.00000000,0.00212547
452.00000000,0.00206678
453.00000000,0.00205673
454.00000000,0.00208529
455.00000000,0.00213077
456.00000000,0.00205620
457.00000000,0.00202766
458.00000000,0.00205095
459.00000000,0.00218369
460.00000000,0.00215140
461.00000000,0.00205671
462.00000000,0.00202448
463.00000000,0.00213871
464.00000000,0.00209851
465.00000000,0.00211227
466.00000000,0.00218049
467.00000000,0.00222331
468.00000000,0.00218311
469.00000000,0.00217835
470.00000000,0.00209058
471.00000000,0.00217308
472.00000000,0.00213818
473.00000000,0.00206995
474.00000000,0.00211701
475.00000000,0.00216251
476.00000000,0.00206679
477.00000000,0.00208055
478.00000000,0.00211703
479.00000000,0.00217043
480.00000000,0.00213024
481.00000000,0.00212548
482.00000000,0.00210380
483.00000000,0.00205673
484.00000000,0.00204297
485.00000000,0.00212812
486.00000000,0.00206150
487.00000000,0.00208317
488.00000000,0.00216462
489.00000000,0.00222598
490.00000000,0.00212761
491.00000000,0.00218630
492.00000000,0.00215139
493.00000000,0.00209638
494.00000000,0.00207735
495.00000000,0.00213342
496.00000000,0.00215669
497.00000000,0.00217573
498.00000000,0.00207206
499.00000000,0.00213605
500.00000000,0.00223865
501.00000000,0.00230530
502.00000000,0.00215141
503.00000000,0.00217307
504.00000000,0.00220692
505.00000000,0.00213076
506.00000000,0.00211437
507.00000000,0.00219158
508.00000000,0.00225981
509.00000000,0.00227621
510.00000000,0.00225189
511.00000000,0.00229738
512.00000000,0.00223602
513.00000000,0.00228679
514.00000000,0.00225454
515.00000000,0.00222334
516.00000000,0.00217784
517.00000000,0.00215720
518.00000000,0.00205619
519.00000000,0.00211490
520.00000000,0.00219370
521.00000000,0.00224448
522.00000000,0.00223338
523.00000000,0.00228678
524.00000000,0.00230742
525.00000000,0.00225769
526.00000000,0.00214082
527.00000000,0.00220667
528.00000000,0.00222808
529.00000000,0.00220746
530.00000000,0.00209323
531.00000000,0.00205144
532.00000000,0.00217255
533.00000000,0.00234497
534.00000000,0.00228362
535.00000000,0.00225241
536.00000000,0.00229155
537.00000000,0.00238196
538.00000000,0.00235500
539.00000000,0.00233174
540.00000000,0.00233649
541.00000000,0.00233964
542.00000000,0.00234972
543.00000000,0.00231321
544.00000000,0.00215403
545.00000000,0.00224976
546.00000000,0.00226246
547.00000000,0.00227358
548.00000000,0.00220693
549.00000000,0.00225769
550.00000000,0.00227832
551.00000000,0.00220747
552.00000000,0.00219108
553.00000000,0.00218895
554.00000000,0.00211966
555.00000000,0.00216249
556.00000000,0.00206677
557.00000000,0.00202765
558.00000000,0.00204827
559.00000000,0.00217838
560.00000000,0.00211439
561.00000000,0.00202764
562.00000000,0.00208527
563.00000000,0.00215985
564.00000000,0.00212230
565.00000000,0.00214926
566.00000000,0.00206678
567.00000000,0.00205672
568.00000000,0.00216197
569.00000000,0.00223919
570.00000000,0.00220613
571.00000000,0.00214399
572.00000000,0.00206150
573.00000000,0.00208317
574.00000000,0.00214082
575.00000000,0.00224977
576.00000000,0.00230213
577.00000000,0.00238198
578.00000000,0.00238939
579.00000000,0.00233967
580.00000000,0.00227303
581.00000000,0.00232645
582.00000000,0.00236559
583.00000000,0.00233438
584.00000000,0.00231535
585.00000000,0.00236612
586.00000000,0.00232065
587.00000000,0.00241637
588.00000000,0.00233916
589.00000000,0.00234232
590.00000000,0.00229948
591.00000000,0.00232909
592.00000000,0.00232856
593.00000000,0.00228414
594.00000000,0.00216992
595.00000000,0.00218102
596.00000000,0.00217782
597.00000000,0.00223125
598.00000000,0.00218313
599.00000000,0.00217308
600.00000000,0.00207207
601.00000000,0.00203293
602.00000000,0.00200333
603.00000000,0.00198270
604.00000000,0.00196895
605.00000000,0.00204879
606.00000000,0.00203504
607.00000000,0.00209111
608.00000000,0.00204563
609.00000000,0.00204615
610.00000000,0.00195308
611.00000000,0.00199063
612.00000000,0.00199538
613.00000000,0.00207789
614.00000000,0.00215405
615.00000000,0.00214663
616.00000000,0.00207469
617.00000000,0.00212812
618.00000000,0.00216727
619.00000000,0.00223655
620.00000000,0.00226246
621.00000000,0.00218629
622.00000000,0.00215668
623.00000000,0.00221803
624.00000000,0.00223601
625.00000000,0.00233436
626.00000000,0.00228625
627.00000000,0.00224976
628.00000000,0.00215139
629.00000000,0.00212283
630.00000000,0.00210963
631.00000000,0.00220747
632.00000000,0.00225981
633.00000000,0.00225239
634.00000000,0.00221222
635.00000000,0.00223919
636.00000000,0.00223074
637.00000000,0.00219424
638.00000000,0.00215932
639.00000000,0.00227092
640.00000000,0.00220694
641.00000000,0.00217308
642.00000000,0.00215404
643.00000000,0.00221539
644.00000000,0.00219900
645.00000000,0.00216780
646.00000000,0.00212231
647.00000000,0.00218366
648.00000000,0.00217785
649.00000000,0.00218632
650.00000000,0.00225454
651.00000000,0.00234761
652.00000000,0.00225983
653.00000000,0.00229473
654.00000000,0.00233387
655.00000000,0.00227619
656.00000000,0.00220956
657.00000000,0.00230793
658.00000000,0.00229420
659.00000000,0.00232909
660.00000000,0.00235766
661.00000000,0.00237935
662.00000000,0.00230212
663.00000000,0.00238198
664.00000000,0.00236032
665.00000000,0.00237935
666.00000000,0.00244492
667.00000000,0.00246924
668.00000000,0.00239202
669.00000000,0.00244807
670.00000000,0.00250837
671.00000000,0.00252477
672.00000000,0.00239466
673.00000000,0.00244542
674.00000000,0.00251100
675.00000000,0.00255651
676.00000000,0.00260095
677.00000000,0.00263055
678.00000000,0.00262209
679.00000000,0.00264377
680.00000000,0.00247400
681.00000000,0.00244544
682.00000000,0.00241319
683.00000000,0.00240842
684.00000000,0.00245548
685.00000000,0.00254591
686.00000000,0.00239465
687.00000000,0.00241106
688.00000000,0.00250573
689.00000000,0.00257765
690.00000000,0.00250047
691.00000000,0.00251421
692.00000000,0.00253482
693.00000000,0.00258295
694.00000000,0.00260094
695.00000000,0.00276013
696.00000000,0.00276754
697.00000000,0.00281565
698.00000000,0.00294469
699.00000000,0.00303248
700.00000000,0.00300287
701.00000000,0.00302720
702.00000000,0.00303461
703.00000000,0.00311975
704.00000000,0.00308749
705.00000000,0.00308274
706.00000000,0.00310599
707.00000000,0.00311710
708.00000000,0.00309279
709.00000000,0.00311710
710.00000000,0.00314564
711.00000000,0.00318848
712.00000000,0.00318533
713.00000000,0.00322552
714.00000000,0.00313244
715.00000000,0.00310916
716.00000000,0.00305575
717.00000000,0.00315413
718.00000000,0.00309278
719.00000000,0.00301398
720.00000000,0.00303462
721.00000000,0.00301399
722.00000000,0.00294205
723.00000000,0.00296903
724.00000000,0.00290504
725.00000000,0.00292407
726.00000000,0.00284686
727.00000000,0.00281829
728.00000000,0.00279661
729.00000000,0.00280506
730.00000000,0.00271992
731.00000000,0.00277863
732.00000000,0.00280190
733.00000000,0.00281566
734.00000000,0.00290240
735.00000000,0.00293730
736.00000000,0.00280721
737.00000000,0.00286853
738.00000000,0.00286536
739.00000000,0.00299282
740.00000000,0.00308220
741.00000000,0.00309329
742.00000000,0.00302931
743.00000000,0.00312768
744.00000000,0.00318004
745.00000000,0.00332071
746.00000000,0.00342597
747.00000000,0.00342120
748.00000000,0.00343391
749.00000000,0.00358780
750.00000000,0.00363222
751.00000000,0.00363010
752.00000000,0.00366659
753.00000000,0.00382312
754.00000000,0.00380146
755.00000000,0.00377554
756.00000000,0.00370363
757.00000000,0.00370945
758.00000000,0.00363223
759.00000000,0.00361425
760.00000000,0.00360049
761.00000000,0.00357985
762.00000000,0.00343390
763.00000000,0.00348732
764.00000000,0.00347621
765.00000000,0.00343707
766.00000000,0.00330433
767.00000000,0.00324933
768.00000000,0.00315625
769.00000000,0.00310389
770.00000000,0.00305047
771.00000000,0.00309860
772.00000000,0.00308749
773.00000000,0.00300867
774.00000000,0.00291296
775.00000000,0.00295316
776.00000000,0.00276488
777.00000000,0.00266757
778.00000000,0.00267499
779.00000000,0.00274955
780.00000000,0.00272257
781.00000000,0.00277865
782.00000000,0.00279134
783.00000000,0.00287119
784.00000000,0.00289974
785.00000000,0.00295315
786.00000000,0.00290241
787.00000000,0.00292938
788.00000000,0.00290504
789.00000000,0.00292407
790.00000000,0.00303990
791.00000000,0.00309596
792.00000000,0.00309015
793.00000000,0.00319644
794.00000000,0.00318798
795.00000000,0.00327843
796.00000000,0.00318535
797.00000000,0.00318587
798.00000000,0.00325145
799.00000000,0.00332336
800.00000000,0.00329108
801.00000000,0.00334449
802.00000000,0.00330166
803.00000000,0.00331013
804.00000000,0.00321178
805.00000000,0.00317793
806.00000000,0.00316153
807.00000000,0.00315412
808.00000000,0.00314567
809.00000000,0.00314886
810.00000000,0.00304255
811.00000000,0.00302191
812.00000000,0.00289710
813.00000000,0.00280771
814.00000000,0.00279132
815.00000000,0.00280770
816.00000000,0.00270934
817.00000000,0.00264378
818.00000000,0.00255599
819.00000000,0.00265170
820.00000000,0.00259565
821.00000000,0.00253801
822.00000000,0.00248988
823.00000000,0.00250098
824.00000000,0.00249516
825.00000000,0.00248245
826.00000000,0.00243962
827.00000000,0.00236877
828.00000000,0.00233121
829.00000000,0.00233966
830.00000000,0.00222543
831.00000000,0.00225768
832.00000000,0.00225980
833.00000000,0.00231851
834.00000000,0.00237617
835.00000000,0.00242695
836.00000000,0.00233385
837.00000000,0.00235023
838.00000000,0.00231004
839.00000000,0.00233173
840.00000000,0.00238145
841.00000000,0.00239256
842.00000000,0.00237881
843.00000000,0.00251419
844.00000000,0.00248194
845.00000000,0.00248246
846.00000000,0.00248724
847.00000000,0.00247190
848.00000000,0.00243433
849.00000000,0.00246394
850.00000000,0.00240260
851.00000000,0.00243487
852.00000000,0.00240789
853.00000000,0.00247455
854.00000000,0.00251104
855.00000000,0.00261731
856.00000000,0.00268818
857.00000000,0.00270193
858.00000000,0.00277810
859.00000000,0.00285796
860.00000000,0.00292618
861.00000000,0.00297696
862.00000000,0.00289181
863.00000000,0.00295051
864.00000000,0.00305577
865.00000000,0.00308537
