Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 11:37:44.572,-15000.000,639.000,-15000.000,21.282
16-10-2025 11:37:44.667,-15000.000,617.000,-15000.000,21.282
16-10-2025 11:37:44.746,-15000.000,612.000,-15000.000,21.282
16-10-2025 11:37:44.826,-15000.000,608.000,-15000.000,21.282
16-10-2025 11:37:44.905,-15000.000,619.000,-15000.000,21.282
16-10-2025 11:37:45.001,-15000.000,690.000,-15000.000,21.282
16-10-2025 11:37:45.096,-15000.000,738.000,-15000.000,21.282
16-10-2025 11:37:45.179,-15000.000,732.000,-15000.000,21.282
16-10-2025 11:37:45.256,-15000.000,730.000,-15000.000,21.282
16-10-2025 11:37:45.337,-15000.000,730.000,-15000.000,21.282
16-10-2025 11:37:45.420,-15000.000,727.000,-15000.000,21.282
16-10-2025 11:37:45.495,-15000.000,729.000,-15000.000,21.282
16-10-2025 11:37:45.575,-15000.000,728.000,-15000.000,21.282
16-10-2025 11:37:45.654,-15000.000,728.000,-15000.000,21.282
16-10-2025 11:37:45.733,-15000.000,726.000,-15000.000,21.282
16-10-2025 11:37:45.828,-15000.000,731.000,-15000.000,21.282
16-10-2025 11:37:45.939,-15000.000,730.000,-15000.000,21.282
16-10-2025 11:37:46.018,-15000.000,733.000,-15000.000,21.282
16-10-2025 11:37:46.098,-15000.000,730.000,-15000.000,21.282
16-10-2025 11:37:46.177,-15000.000,727.000,-15000.000,21.282
16-10-2025 11:37:46.257,-15000.000,726.000,-15000.000,21.282
16-10-2025 11:37:46.337,-15000.000,728.000,-15000.000,21.282
16-10-2025 11:37:46.420,-15000.000,724.000,-15000.000,21.282
16-10-2025 11:37:46.509,-15000.000,727.000,-15000.000,21.282
16-10-2025 11:37:46.602,-15000.000,723.000,-15000.000,21.282
16-10-2025 11:37:46.686,-15000.000,726.000,-15000.000,21.282
16-10-2025 11:37:46.762,-15000.000,727.000,-15000.000,21.282
16-10-2025 11:37:46.840,-15000.000,726.000,-15000.000,21.282
16-10-2025 11:37:46.920,-15000.000,729.000,-15000.000,21.282
16-10-2025 11:37:47.000,-15000.000,728.000,-15000.000,21.282
16-10-2025 11:37:47.096,-15000.000,729.000,-15000.000,21.282
16-10-2025 11:37:47.191,-15000.000,728.000,-15000.000,21.282
16-10-2025 11:37:47.302,-15000.000,729.000,-15000.000,21.282
16-10-2025 11:37:47.380,-15000.000,727.000,-15000.000,21.282
16-10-2025 11:37:47.460,-15000.000,725.000,-15000.000,21.282
16-10-2025 11:37:47.539,-15000.000,725.000,-15000.000,21.282
16-10-2025 11:37:47.619,-15000.000,726.000,-15000.000,21.282
16-10-2025 11:37:47.698,-15000.000,722.000,-15000.000,21.282
