Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 11:44:42.981,-15000.000,638.000,-15000.000,21.316
16-10-2025 11:44:43.061,-15000.000,616.000,-15000.000,21.316
16-10-2025 11:44:43.141,-15000.000,611.000,-15000.000,21.316
16-10-2025 11:44:43.220,-15000.000,607.000,-15000.000,21.316
16-10-2025 11:44:43.316,-15000.000,617.000,-15000.000,21.316
16-10-2025 11:44:43.395,-15000.000,686.000,-15000.000,21.316
16-10-2025 11:44:43.474,-15000.000,738.000,-15000.000,21.316
16-10-2025 11:44:43.553,-15000.000,735.000,-15000.000,21.316
16-10-2025 11:44:43.633,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:43.712,-15000.000,730.000,-15000.000,21.316
16-10-2025 11:44:43.792,-15000.000,727.000,-15000.000,21.316
16-10-2025 11:44:43.875,-15000.000,724.000,-15000.000,21.316
16-10-2025 11:44:43.963,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:44.058,-15000.000,724.000,-15000.000,21.316
16-10-2025 11:44:44.152,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:44.233,-15000.000,731.000,-15000.000,21.316
16-10-2025 11:44:44.308,-15000.000,731.000,-15000.000,21.316
16-10-2025 11:44:44.386,-15000.000,731.000,-15000.000,21.316
16-10-2025 11:44:44.466,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:44.545,-15000.000,731.000,-15000.000,21.317
16-10-2025 11:44:44.641,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:44.721,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:44.832,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:44.911,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:44.990,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:45.070,-15000.000,727.000,-15000.000,21.317
16-10-2025 11:44:45.149,-15000.000,729.000,-15000.000,21.317
16-10-2025 11:44:45.228,-15000.000,728.000,-15000.000,21.317
16-10-2025 11:44:45.308,-15000.000,731.000,-15000.000,21.316
16-10-2025 11:44:45.387,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:45.466,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:45.546,-15000.000,730.000,-15000.000,21.317
16-10-2025 11:44:45.641,-15000.000,731.000,-15000.000,21.316
16-10-2025 11:44:45.736,-15000.000,728.000,-15000.000,21.316
16-10-2025 11:44:45.831,-15000.000,723.000,-15000.000,21.316
16-10-2025 11:44:45.942,-15000.000,724.000,-15000.000,21.316
16-10-2025 11:44:46.021,-15000.000,723.000,-15000.000,21.316
16-10-2025 11:44:46.101,-15000.000,724.000,-15000.000,21.316
16-10-2025 11:44:46.183,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:46.260,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:46.338,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:46.421,-15000.000,728.000,-15000.000,21.316
16-10-2025 11:44:46.496,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:46.576,-15000.000,728.000,-15000.000,21.316
16-10-2025 11:44:46.655,-15000.000,724.000,-15000.000,21.316
16-10-2025 11:44:46.733,-15000.000,720.000,-15000.000,21.317
16-10-2025 11:44:46.829,-15000.000,721.000,-15000.000,21.317
16-10-2025 11:44:46.924,-15000.000,726.000,-15000.000,21.317
16-10-2025 11:44:47.034,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:47.129,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:47.208,-15000.000,721.000,-15000.000,21.317
16-10-2025 11:44:47.307,-15000.000,726.000,-15000.000,21.317
16-10-2025 11:44:47.410,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:47.519,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:47.599,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:47.678,-15000.000,728.000,-15000.000,21.316
16-10-2025 11:44:47.757,-15000.000,726.000,-15000.000,21.316
16-10-2025 11:44:47.836,-15000.000,723.000,-15000.000,21.317
16-10-2025 11:44:47.915,-15000.000,725.000,-15000.000,21.317
16-10-2025 11:44:47.995,-15000.000,727.000,-15000.000,21.317
16-10-2025 11:44:48.074,-15000.000,724.000,-15000.000,21.317
16-10-2025 11:44:48.170,-15000.000,724.000,-15000.000,21.317
16-10-2025 11:44:48.249,-15000.000,727.000,-15000.000,21.317
16-10-2025 11:44:48.328,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:48.424,-15000.000,727.000,-15000.000,21.316
16-10-2025 11:44:48.518,-15000.000,729.000,-15000.000,21.317
16-10-2025 11:44:48.613,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:48.692,-15000.000,727.000,-15000.000,21.316
16-10-2025 11:44:48.773,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:48.853,-15000.000,729.000,-15000.000,21.316
16-10-2025 11:44:48.931,-15000.000,724.000,-15000.000,21.317
16-10-2025 11:44:49.011,-15000.000,725.000,-15000.000,21.317
16-10-2025 11:44:49.091,-15000.000,721.000,-15000.000,21.316
16-10-2025 11:44:49.170,-15000.000,725.000,-15000.000,21.316
16-10-2025 11:44:49.250,-15000.000,723.000,-15000.000,21.316
16-10-2025 11:44:49.326,-15000.000,721.000,-15000.000,21.316
16-10-2025 11:44:49.406,-15000.000,715.000,-15000.000,21.317
16-10-2025 11:44:49.502,-15000.000,718.000,-15000.000,21.316
16-10-2025 11:44:49.597,-15000.000,716.000,-15000.000,21.317
16-10-2025 11:44:49.692,-15000.000,713.000,-15000.000,21.317
16-10-2025 11:44:49.775,-15000.000,714.000,-15000.000,21.306
16-10-2025 11:44:49.852,-15000.000,719.000,-15000.000,21.357
16-10-2025 11:44:49.930,-15000.000,720.000,-15000.000,21.283
16-10-2025 11:44:50.009,-15000.000,725.000,-15000.000,21.365
16-10-2025 11:44:50.088,-15000.000,724.000,-15000.000,21.319
16-10-2025 11:44:50.168,-15000.000,723.000,-15000.000,21.323
16-10-2025 11:44:50.247,-15000.000,723.000,-15000.000,21.327
16-10-2025 11:44:50.326,-15000.000,728.000,-15000.000,21.301
16-10-2025 11:44:50.406,-15000.000,724.000,-15000.000,21.345
16-10-2025 11:44:50.501,-15000.000,721.000,-15000.000,21.322
16-10-2025 11:44:50.596,-15000.000,719.000,-15000.000,21.311
16-10-2025 11:44:50.707,-15000.000,720.000,-15000.000,21.333
16-10-2025 11:44:50.786,-15000.000,719.000,-15000.000,21.315
16-10-2025 11:44:50.867,-15000.000,720.000,-15000.000,21.321
16-10-2025 11:44:50.944,-15000.000,723.000,-15000.000,21.308
16-10-2025 11:44:51.028,-15000.000,724.000,-15000.000,21.348
16-10-2025 11:44:51.104,-15000.000,723.000,-15000.000,21.302
16-10-2025 11:44:51.183,-15000.000,723.000,-15000.000,21.350
16-10-2025 11:44:51.263,-15000.000,721.000,-15000.000,21.311
16-10-2025 11:44:51.343,-15000.000,720.000,-15000.000,21.335
16-10-2025 11:44:51.438,-15000.000,721.000,-15000.000,21.326
16-10-2025 11:44:51.534,-15000.000,723.000,-15000.000,21.311
16-10-2025 11:44:51.644,-15000.000,716.000,-15000.000,21.319
16-10-2025 11:44:51.723,-15000.000,716.000,-15000.000,21.325
16-10-2025 11:44:51.803,-15000.000,713.000,-15000.000,21.343
16-10-2025 11:44:51.882,-15000.000,713.000,-15000.000,21.309
16-10-2025 11:44:51.961,-15000.000,716.000,-15000.000,21.332
16-10-2025 11:44:52.041,-15000.000,721.000,-15000.000,21.312
16-10-2025 11:44:52.120,-15000.000,717.000,-15000.000,21.329
16-10-2025 11:44:52.216,-15000.000,718.000,-15000.000,21.319
16-10-2025 11:44:52.308,-15000.000,718.000,-15000.000,21.332
16-10-2025 11:44:52.398,-15000.000,719.000,-15000.000,21.339
16-10-2025 11:44:52.481,-15000.000,722.000,-15000.000,21.313
16-10-2025 11:44:52.560,-15000.000,724.000,-15000.000,21.337
16-10-2025 11:44:52.643,-15000.000,727.000,-15000.000,21.320
16-10-2025 11:44:52.735,-15000.000,724.000,-15000.000,21.326
16-10-2025 11:44:52.830,-15000.000,718.000,-15000.000,21.332
16-10-2025 11:44:52.941,-15000.000,719.000,-15000.000,21.316
16-10-2025 11:44:53.020,-15000.000,717.000,-15000.000,21.335
16-10-2025 11:44:53.100,-15000.000,719.000,-15000.000,21.317
16-10-2025 11:44:53.179,-15000.000,717.000,-15000.000,21.337
16-10-2025 11:44:53.259,-15000.000,721.000,-15000.000,21.326
16-10-2025 11:44:53.338,-15000.000,719.000,-15000.000,21.337
16-10-2025 11:44:53.418,-15000.000,718.000,-15000.000,21.321
16-10-2025 11:44:53.498,-15000.000,717.000,-15000.000,21.336
16-10-2025 11:44:53.578,-15000.000,718.000,-15000.000,21.337
16-10-2025 11:44:53.659,-15000.000,718.000,-15000.000,21.320
16-10-2025 11:44:53.754,-15000.000,721.000,-15000.000,21.328
16-10-2025 11:44:53.834,-15000.000,724.000,-15000.000,21.329
16-10-2025 11:44:53.913,-15000.000,722.000,-15000.000,21.337
16-10-2025 11:44:53.990,-15000.000,720.000,-15000.000,21.320
16-10-2025 11:44:54.069,-15000.000,716.000,-15000.000,21.338
16-10-2025 11:44:54.149,-15000.000,712.000,-15000.000,21.322
16-10-2025 11:44:54.232,-15000.000,713.000,-15000.000,21.336
16-10-2025 11:44:54.307,-15000.000,716.000,-15000.000,21.322
16-10-2025 11:44:54.387,-15000.000,718.000,-15000.000,21.332
16-10-2025 11:44:54.466,-15000.000,720.000,-15000.000,21.325
16-10-2025 11:44:54.546,-15000.000,722.000,-15000.000,21.331
16-10-2025 11:44:54.625,-15000.000,723.000,-15000.000,21.323
16-10-2025 11:44:54.704,-15000.000,723.000,-15000.000,21.332
16-10-2025 11:44:54.800,-15000.000,722.000,-15000.000,21.331
16-10-2025 11:44:54.880,-15000.000,718.000,-15000.000,21.321
16-10-2025 11:44:54.958,-15000.000,715.000,-15000.000,21.330
16-10-2025 11:44:55.038,-15000.000,720.000,-15000.000,21.326
16-10-2025 11:44:55.117,-15000.000,717.000,-15000.000,21.330
16-10-2025 11:44:55.200,-15000.000,717.000,-15000.000,21.326
16-10-2025 11:44:55.276,-15000.000,717.000,-15000.000,21.328
16-10-2025 11:44:55.355,-15000.000,720.000,-15000.000,21.325
16-10-2025 11:44:55.435,-15000.000,723.000,-15000.000,21.329
16-10-2025 11:44:55.514,-15000.000,718.000,-15000.000,21.330
16-10-2025 11:44:55.593,-15000.000,715.000,-15000.000,21.325
