Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:01:27.523,-15000.000,638.000,-15000.000,21.340
16-10-2025 12:01:27.618,-15000.000,615.000,-15000.000,21.340
16-10-2025 12:01:27.698,-15000.000,612.000,-15000.000,21.340
16-10-2025 12:01:27.776,-15000.000,608.000,-15000.000,21.340
16-10-2025 12:01:27.856,-15000.000,616.000,-15000.000,21.340
16-10-2025 12:01:27.938,-15000.000,688.000,-15000.000,21.340
16-10-2025 12:01:28.014,-15000.000,739.000,-15000.000,21.340
16-10-2025 12:01:28.093,-15000.000,733.000,-15000.000,21.340
16-10-2025 12:01:28.192,-15000.000,731.000,-15000.000,21.340
16-10-2025 12:01:28.299,-15000.000,732.000,-15000.000,21.340
16-10-2025 12:01:28.394,-15000.000,731.000,-15000.000,21.340
16-10-2025 12:01:28.474,-15000.000,731.000,-15000.000,21.340
16-10-2025 12:01:28.553,-15000.000,727.000,-15000.000,21.340
16-10-2025 12:01:28.637,-15000.000,725.000,-15000.000,21.340
16-10-2025 12:01:28.714,-15000.000,724.000,-15000.000,21.340
16-10-2025 12:01:28.789,-15000.000,730.000,-15000.000,21.340
16-10-2025 12:01:28.870,-15000.000,730.000,-15000.000,21.340
16-10-2025 12:01:28.949,-15000.000,729.000,-15000.000,21.340
16-10-2025 12:01:29.028,-15000.000,726.000,-15000.000,21.340
16-10-2025 12:01:29.108,-15000.000,725.000,-15000.000,21.340
16-10-2025 12:01:29.187,-15000.000,723.000,-15000.000,21.340
16-10-2025 12:01:29.267,-15000.000,724.000,-15000.000,21.340
16-10-2025 12:01:29.346,-15000.000,723.000,-15000.000,21.340
16-10-2025 12:01:29.426,-15000.000,725.000,-15000.000,21.340
16-10-2025 12:01:29.506,-15000.000,724.000,-15000.000,21.340
16-10-2025 12:01:29.586,-15000.000,729.000,-15000.000,21.340
16-10-2025 12:01:29.665,-15000.000,729.000,-15000.000,21.340
16-10-2025 12:01:29.744,-15000.000,729.000,-15000.000,21.340
16-10-2025 12:01:29.824,-15000.000,728.000,-15000.000,21.340
16-10-2025 12:01:29.903,-15000.000,728.000,-15000.000,21.340
16-10-2025 12:01:29.983,-15000.000,728.000,-15000.000,21.340
16-10-2025 12:01:30.062,-15000.000,730.000,-15000.000,21.340
16-10-2025 12:01:30.157,-15000.000,731.000,-15000.000,21.340
16-10-2025 12:01:30.252,-15000.000,729.000,-15000.000,21.340
