Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:07:24.541,-15000.000,641.000,-15000.000,21.334
16-10-2025 12:07:24.635,-15000.000,618.000,-15000.000,21.334
16-10-2025 12:07:24.714,-15000.000,613.000,-15000.000,21.334
16-10-2025 12:07:24.794,-15000.000,613.000,-15000.000,21.334
16-10-2025 12:07:24.874,-15000.000,618.000,-15000.000,21.334
16-10-2025 12:07:24.953,-15000.000,689.000,-15000.000,21.334
16-10-2025 12:07:25.033,-15000.000,740.000,-15000.000,21.334
16-10-2025 12:07:25.129,-15000.000,736.000,-15000.000,21.334
16-10-2025 12:07:25.209,-15000.000,729.000,-15000.000,21.333
16-10-2025 12:07:25.288,-15000.000,726.000,-15000.000,21.333
16-10-2025 12:07:25.368,-15000.000,725.000,-15000.000,21.333
16-10-2025 12:07:25.448,-15000.000,726.000,-15000.000,21.333
16-10-2025 12:07:25.527,-15000.000,727.000,-15000.000,21.333
16-10-2025 12:07:25.607,-15000.000,724.000,-15000.000,21.332
16-10-2025 12:07:25.687,-15000.000,728.000,-15000.000,21.332
16-10-2025 12:07:25.782,-15000.000,732.000,-15000.000,21.332
16-10-2025 12:07:25.893,-15000.000,733.000,-15000.000,21.333
16-10-2025 12:07:26.004,-15000.000,728.000,-15000.000,21.333
16-10-2025 12:07:26.084,-15000.000,727.000,-15000.000,21.333
16-10-2025 12:07:26.176,-15000.000,725.000,-15000.000,21.332
16-10-2025 12:07:26.274,-15000.000,724.000,-15000.000,21.332
16-10-2025 12:07:26.367,-15000.000,724.000,-15000.000,21.332
16-10-2025 12:07:26.444,-15000.000,718.000,-15000.000,21.333
16-10-2025 12:07:26.523,-15000.000,722.000,-15000.000,21.332
16-10-2025 12:07:26.603,-15000.000,722.000,-15000.000,21.332
16-10-2025 12:07:26.682,-15000.000,728.000,-15000.000,21.332
16-10-2025 12:07:26.762,-15000.000,723.000,-15000.000,21.332
16-10-2025 12:07:26.842,-15000.000,728.000,-15000.000,21.332
16-10-2025 12:07:26.921,-15000.000,731.000,-15000.000,21.332
16-10-2025 12:07:27.017,-15000.000,730.000,-15000.000,21.332
16-10-2025 12:07:27.128,-15000.000,730.000,-15000.000,21.332
16-10-2025 12:07:27.207,-15000.000,732.000,-15000.000,21.332
16-10-2025 12:07:27.286,-15000.000,731.000,-15000.000,21.332
16-10-2025 12:07:27.366,-15000.000,729.000,-15000.000,21.332
16-10-2025 12:07:27.445,-15000.000,725.000,-15000.000,21.332
16-10-2025 12:07:27.525,-15000.000,726.000,-15000.000,21.333
16-10-2025 12:07:27.604,-15000.000,728.000,-15000.000,21.333
16-10-2025 12:07:27.683,-15000.000,722.000,-15000.000,21.333
16-10-2025 12:07:27.763,-15000.000,724.000,-15000.000,21.333
16-10-2025 12:07:27.843,-15000.000,722.000,-15000.000,21.332
16-10-2025 12:07:27.937,-15000.000,723.000,-15000.000,21.333
16-10-2025 12:07:28.032,-15000.000,725.000,-15000.000,21.333
16-10-2025 12:07:28.128,-15000.000,726.000,-15000.000,21.333
16-10-2025 12:07:28.222,-15000.000,727.000,-15000.000,21.333
16-10-2025 12:07:28.302,-15000.000,721.000,-15000.000,21.333
16-10-2025 12:07:28.385,-15000.000,721.000,-15000.000,21.333
