Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:09:56.346,-15000.000,638.000,-15000.000,21.318
16-10-2025 12:09:56.437,-15000.000,617.000,-15000.000,21.318
16-10-2025 12:09:56.517,-15000.000,609.000,-15000.000,21.318
16-10-2025 12:09:56.628,-15000.000,607.000,-15000.000,21.318
16-10-2025 12:09:56.742,-15000.000,616.000,-15000.000,21.318
16-10-2025 12:09:56.848,-15000.000,686.000,-15000.000,21.318
16-10-2025 12:09:56.942,-15000.000,740.000,-15000.000,21.318
16-10-2025 12:09:57.021,-15000.000,736.000,-15000.000,21.318
16-10-2025 12:09:57.100,-15000.000,731.000,-15000.000,21.318
16-10-2025 12:09:57.180,-15000.000,732.000,-15000.000,21.318
16-10-2025 12:09:57.259,-15000.000,730.000,-15000.000,21.318
16-10-2025 12:09:57.339,-15000.000,727.000,-15000.000,21.318
16-10-2025 12:09:57.420,-15000.000,727.000,-15000.000,21.319
16-10-2025 12:09:57.497,-15000.000,728.000,-15000.000,21.319
16-10-2025 12:09:57.577,-15000.000,727.000,-15000.000,21.319
16-10-2025 12:09:57.657,-15000.000,732.000,-15000.000,21.319
16-10-2025 12:09:57.752,-15000.000,734.000,-15000.000,21.318
16-10-2025 12:09:57.866,-15000.000,733.000,-15000.000,21.319
16-10-2025 12:09:57.942,-15000.000,729.000,-15000.000,21.321
16-10-2025 12:09:58.022,-15000.000,729.000,-15000.000,21.320
16-10-2025 12:09:58.101,-15000.000,726.000,-15000.000,21.321
16-10-2025 12:09:58.180,-15000.000,725.000,-15000.000,21.321
16-10-2025 12:09:58.259,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:09:58.339,-15000.000,725.000,-15000.000,21.322
16-10-2025 12:09:58.421,-15000.000,723.000,-15000.000,21.322
16-10-2025 12:09:58.497,-15000.000,727.000,-15000.000,21.322
16-10-2025 12:09:58.577,-15000.000,726.000,-15000.000,21.322
16-10-2025 12:09:58.676,-15000.000,729.000,-15000.000,21.321
16-10-2025 12:09:58.766,-15000.000,730.000,-15000.000,21.321
16-10-2025 12:09:58.863,-15000.000,730.000,-15000.000,21.321
16-10-2025 12:09:58.972,-15000.000,731.000,-15000.000,21.321
16-10-2025 12:09:59.052,-15000.000,733.000,-15000.000,21.321
16-10-2025 12:09:59.131,-15000.000,730.000,-15000.000,21.321
16-10-2025 12:09:59.210,-15000.000,728.000,-15000.000,21.321
16-10-2025 12:09:59.290,-15000.000,725.000,-15000.000,21.321
16-10-2025 12:09:59.370,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:09:59.450,-15000.000,723.000,-15000.000,21.321
16-10-2025 12:09:59.530,-15000.000,720.000,-15000.000,21.321
16-10-2025 12:09:59.612,-15000.000,719.000,-15000.000,21.321
16-10-2025 12:09:59.704,-15000.000,722.000,-15000.000,21.321
16-10-2025 12:09:59.782,-15000.000,722.000,-15000.000,21.321
16-10-2025 12:09:59.865,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:09:59.956,-15000.000,728.000,-15000.000,21.321
16-10-2025 12:10:00.020,-15000.000,730.000,-15000.000,21.321
16-10-2025 12:10:00.100,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:10:00.180,-15000.000,725.000,-15000.000,21.321
16-10-2025 12:10:00.259,-15000.000,725.000,-15000.000,21.321
16-10-2025 12:10:00.339,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:10:00.418,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:10:00.498,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:10:00.578,-15000.000,726.000,-15000.000,21.321
16-10-2025 12:10:00.674,-15000.000,726.000,-15000.000,21.321
16-10-2025 12:10:00.768,-15000.000,725.000,-15000.000,21.321
16-10-2025 12:10:00.848,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:10:00.927,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:10:01.006,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:10:01.086,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:10:01.165,-15000.000,723.000,-15000.000,21.321
16-10-2025 12:10:01.244,-15000.000,721.000,-15000.000,21.321
16-10-2025 12:10:01.323,-15000.000,723.000,-15000.000,21.321
16-10-2025 12:10:01.403,-15000.000,722.000,-15000.000,21.321
16-10-2025 12:10:01.498,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:10:01.577,-15000.000,723.000,-15000.000,21.321
16-10-2025 12:10:01.656,-15000.000,724.000,-15000.000,21.321
16-10-2025 12:10:01.737,-15000.000,723.000,-15000.000,21.321
16-10-2025 12:10:01.815,-15000.000,725.000,-15000.000,21.321
16-10-2025 12:10:01.910,-15000.000,726.000,-15000.000,21.321
16-10-2025 12:10:01.990,-15000.000,729.000,-15000.000,21.321
16-10-2025 12:10:02.069,-15000.000,729.000,-15000.000,21.321
16-10-2025 12:10:02.148,-15000.000,730.000,-15000.000,21.321
16-10-2025 12:10:02.227,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:10:02.307,-15000.000,727.000,-15000.000,21.321
16-10-2025 12:10:02.387,-15000.000,726.000,-15000.000,21.321
16-10-2025 12:10:02.467,-15000.000,726.000,-15000.000,21.321
16-10-2025 12:10:02.546,-15000.000,721.000,-15000.000,21.321
16-10-2025 12:10:02.662,-15000.000,722.000,-15000.000,21.321
16-10-2025 12:10:02.764,-15000.000,720.000,-15000.000,21.320
16-10-2025 12:10:02.852,-15000.000,718.000,-15000.000,21.320
16-10-2025 12:10:02.939,-15000.000,718.000,-15000.000,21.320
16-10-2025 12:10:03.034,-15000.000,719.000,-15000.000,21.320
16-10-2025 12:10:03.144,-15000.000,722.000,-15000.000,21.320
16-10-2025 12:10:03.224,-15000.000,725.000,-15000.000,21.320
16-10-2025 12:10:03.303,-15000.000,722.000,-15000.000,21.320
16-10-2025 12:10:03.385,-15000.000,723.000,-15000.000,21.320
16-10-2025 12:10:03.462,-15000.000,726.000,-15000.000,21.320
16-10-2025 12:10:03.542,-15000.000,729.000,-15000.000,21.320
16-10-2025 12:10:03.620,-15000.000,730.000,-15000.000,21.320
16-10-2025 12:10:03.704,-15000.000,729.000,-15000.000,21.320
16-10-2025 12:10:03.778,-15000.000,726.000,-15000.000,21.320
16-10-2025 12:10:03.857,-15000.000,724.000,-15000.000,21.320
16-10-2025 12:10:03.952,-15000.000,721.000,-15000.000,21.243
16-10-2025 12:10:04.032,-15000.000,724.000,-15000.000,21.294
16-10-2025 12:10:04.112,-15000.000,719.000,-15000.000,21.333
16-10-2025 12:10:04.207,-15000.000,724.000,-15000.000,21.323
16-10-2025 12:10:04.286,-15000.000,727.000,-15000.000,21.308
16-10-2025 12:10:04.367,-15000.000,726.000,-15000.000,21.323
16-10-2025 12:10:04.446,-15000.000,722.000,-15000.000,21.311
16-10-2025 12:10:04.526,-15000.000,721.000,-15000.000,21.316
16-10-2025 12:10:04.605,-15000.000,720.000,-15000.000,21.316
16-10-2025 12:10:04.685,-15000.000,719.000,-15000.000,21.318
16-10-2025 12:10:04.764,-15000.000,721.000,-15000.000,21.322
16-10-2025 12:10:04.863,-15000.000,722.000,-15000.000,21.334
16-10-2025 12:10:04.955,-15000.000,719.000,-15000.000,21.320
16-10-2025 12:10:05.050,-15000.000,717.000,-15000.000,21.301
16-10-2025 12:10:05.130,-15000.000,711.000,-15000.000,21.330
16-10-2025 12:10:05.209,-15000.000,714.000,-15000.000,21.303
16-10-2025 12:10:05.289,-15000.000,715.000,-15000.000,21.324
16-10-2025 12:10:05.368,-15000.000,715.000,-15000.000,21.307
16-10-2025 12:10:05.447,-15000.000,713.000,-15000.000,21.319
16-10-2025 12:10:05.527,-15000.000,716.000,-15000.000,21.312
