Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:32:09.884,-15000.000,639.000,-15000.000,21.283
16-10-2025 12:32:09.975,-15000.000,615.000,-15000.000,21.283
16-10-2025 12:32:10.054,-15000.000,611.000,-15000.000,21.283
16-10-2025 12:32:10.134,-15000.000,609.000,-15000.000,21.283
16-10-2025 12:32:10.213,-15000.000,620.000,-15000.000,21.283
16-10-2025 12:32:10.292,-15000.000,687.000,-15000.000,21.283
16-10-2025 12:32:10.371,-15000.000,739.000,-15000.000,21.283
16-10-2025 12:32:10.451,-15000.000,736.000,-15000.000,21.283
16-10-2025 12:32:10.530,-15000.000,729.000,-15000.000,21.283
16-10-2025 12:32:10.610,-15000.000,731.000,-15000.000,21.283
16-10-2025 12:32:10.689,-15000.000,730.000,-15000.000,21.283
16-10-2025 12:32:10.801,-15000.000,728.000,-15000.000,21.283
16-10-2025 12:32:10.884,-15000.000,726.000,-15000.000,21.283
16-10-2025 12:32:10.960,-15000.000,726.000,-15000.000,21.283
16-10-2025 12:32:11.040,-15000.000,729.000,-15000.000,21.283
16-10-2025 12:32:11.119,-15000.000,730.000,-15000.000,21.283
16-10-2025 12:32:11.199,-15000.000,729.000,-15000.000,21.283
16-10-2025 12:32:11.279,-15000.000,732.000,-15000.000,21.283
16-10-2025 12:32:11.359,-15000.000,729.000,-15000.000,21.283
16-10-2025 12:32:11.454,-15000.000,732.000,-15000.000,21.283
16-10-2025 12:32:11.565,-15000.000,726.000,-15000.000,21.285
16-10-2025 12:32:11.660,-15000.000,726.000,-15000.000,21.286
16-10-2025 12:32:11.740,-15000.000,724.000,-15000.000,21.287
16-10-2025 12:32:11.819,-15000.000,724.000,-15000.000,21.287
16-10-2025 12:32:11.898,-15000.000,723.000,-15000.000,21.288
16-10-2025 12:32:11.978,-15000.000,725.000,-15000.000,21.288
16-10-2025 12:32:12.057,-15000.000,727.000,-15000.000,21.289
16-10-2025 12:32:12.137,-15000.000,727.000,-15000.000,21.289
16-10-2025 12:32:12.216,-15000.000,729.000,-15000.000,21.289
16-10-2025 12:32:12.295,-15000.000,730.000,-15000.000,21.289
16-10-2025 12:32:12.374,-15000.000,729.000,-15000.000,21.288
16-10-2025 12:32:12.453,-15000.000,732.000,-15000.000,21.288
16-10-2025 12:32:12.532,-15000.000,732.000,-15000.000,21.288
16-10-2025 12:32:12.643,-15000.000,730.000,-15000.000,21.288
16-10-2025 12:32:12.771,-15000.000,726.000,-15000.000,21.289
16-10-2025 12:32:12.877,-15000.000,724.000,-15000.000,21.289
16-10-2025 12:32:12.990,-15000.000,722.000,-15000.000,21.289
16-10-2025 12:32:13.097,-15000.000,720.000,-15000.000,21.288
16-10-2025 12:32:13.176,-15000.000,719.000,-15000.000,21.288
16-10-2025 12:32:13.256,-15000.000,721.000,-15000.000,21.289
16-10-2025 12:32:13.336,-15000.000,723.000,-15000.000,21.289
16-10-2025 12:32:13.419,-15000.000,726.000,-15000.000,21.289
16-10-2025 12:32:13.496,-15000.000,727.000,-15000.000,21.289
16-10-2025 12:32:13.575,-15000.000,727.000,-15000.000,21.289
16-10-2025 12:32:13.655,-15000.000,722.000,-15000.000,21.288
16-10-2025 12:32:13.750,-15000.000,723.000,-15000.000,21.289
16-10-2025 12:32:13.846,-15000.000,719.000,-15000.000,21.289
16-10-2025 12:32:13.956,-15000.000,724.000,-15000.000,21.289
16-10-2025 12:32:14.035,-15000.000,722.000,-15000.000,21.289
16-10-2025 12:32:14.115,-15000.000,719.000,-15000.000,21.288
16-10-2025 12:32:14.194,-15000.000,720.000,-15000.000,21.290
16-10-2025 12:32:14.274,-15000.000,723.000,-15000.000,21.289
16-10-2025 12:32:14.353,-15000.000,723.000,-15000.000,21.289
16-10-2025 12:32:14.432,-15000.000,724.000,-15000.000,21.288
16-10-2025 12:32:14.512,-15000.000,728.000,-15000.000,21.288
16-10-2025 12:32:14.591,-15000.000,728.000,-15000.000,21.288
16-10-2025 12:32:14.671,-15000.000,731.000,-15000.000,21.289
16-10-2025 12:32:14.766,-15000.000,729.000,-15000.000,21.288
16-10-2025 12:32:14.864,-15000.000,726.000,-15000.000,21.288
16-10-2025 12:32:14.957,-15000.000,727.000,-15000.000,21.288
16-10-2025 12:32:15.037,-15000.000,727.000,-15000.000,21.288
16-10-2025 12:32:15.116,-15000.000,726.000,-15000.000,21.288
16-10-2025 12:32:15.196,-15000.000,729.000,-15000.000,21.288
16-10-2025 12:32:15.275,-15000.000,728.000,-15000.000,21.288
16-10-2025 12:32:15.354,-15000.000,727.000,-15000.000,21.288
16-10-2025 12:32:15.433,-15000.000,728.000,-15000.000,21.288
16-10-2025 12:32:15.512,-15000.000,726.000,-15000.000,21.287
16-10-2025 12:32:15.592,-15000.000,727.000,-15000.000,21.287
16-10-2025 12:32:15.671,-15000.000,726.000,-15000.000,21.287
16-10-2025 12:32:15.766,-15000.000,724.000,-15000.000,21.287
16-10-2025 12:32:15.864,-15000.000,721.000,-15000.000,21.287
16-10-2025 12:32:15.971,-15000.000,720.000,-15000.000,21.287
16-10-2025 12:32:16.082,-15000.000,720.000,-15000.000,21.287
16-10-2025 12:32:16.161,-15000.000,723.000,-15000.000,21.287
16-10-2025 12:32:16.239,-15000.000,720.000,-15000.000,21.287
16-10-2025 12:32:16.318,-15000.000,722.000,-15000.000,21.287
16-10-2025 12:32:16.397,-15000.000,719.000,-15000.000,21.287
16-10-2025 12:32:16.477,-15000.000,717.000,-15000.000,21.287
16-10-2025 12:32:16.556,-15000.000,718.000,-15000.000,21.287
16-10-2025 12:32:16.636,-15000.000,719.000,-15000.000,21.287
16-10-2025 12:32:16.715,-15000.000,720.000,-15000.000,21.287
