Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:34:23.239,-15000.000,639.000,-15000.000,21.247
16-10-2025 12:34:23.318,-15000.000,618.000,-15000.000,21.247
16-10-2025 12:34:23.401,-15000.000,611.000,-15000.000,21.247
16-10-2025 12:34:23.477,-15000.000,609.000,-15000.000,21.247
16-10-2025 12:34:23.557,-15000.000,618.000,-15000.000,21.247
16-10-2025 12:34:23.636,-15000.000,686.000,-15000.000,21.247
16-10-2025 12:34:23.716,-15000.000,738.000,-15000.000,21.247
16-10-2025 12:34:23.796,-15000.000,733.000,-15000.000,21.247
16-10-2025 12:34:23.890,-15000.000,731.000,-15000.000,21.247
16-10-2025 12:34:23.970,-15000.000,732.000,-15000.000,21.248
16-10-2025 12:34:24.053,-15000.000,731.000,-15000.000,21.249
16-10-2025 12:34:24.162,-15000.000,728.000,-15000.000,21.247
16-10-2025 12:34:24.239,-15000.000,729.000,-15000.000,21.248
16-10-2025 12:34:24.319,-15000.000,725.000,-15000.000,21.248
16-10-2025 12:34:24.398,-15000.000,727.000,-15000.000,21.248
16-10-2025 12:34:24.478,-15000.000,730.000,-15000.000,21.248
16-10-2025 12:34:24.557,-15000.000,730.000,-15000.000,21.247
16-10-2025 12:34:24.637,-15000.000,731.000,-15000.000,21.248
16-10-2025 12:34:24.716,-15000.000,728.000,-15000.000,21.248
16-10-2025 12:34:24.795,-15000.000,730.000,-15000.000,21.248
16-10-2025 12:34:24.891,-15000.000,728.000,-15000.000,21.248
16-10-2025 12:34:24.986,-15000.000,728.000,-15000.000,21.248
16-10-2025 12:34:25.097,-15000.000,725.000,-15000.000,21.248
16-10-2025 12:34:25.176,-15000.000,726.000,-15000.000,21.248
16-10-2025 12:34:25.255,-15000.000,725.000,-15000.000,21.248
16-10-2025 12:34:25.335,-15000.000,726.000,-15000.000,21.249
16-10-2025 12:34:25.418,-15000.000,726.000,-15000.000,21.249
16-10-2025 12:34:25.494,-15000.000,727.000,-15000.000,21.250
16-10-2025 12:34:25.573,-15000.000,729.000,-15000.000,21.250
16-10-2025 12:34:25.653,-15000.000,733.000,-15000.000,21.250
16-10-2025 12:34:25.732,-15000.000,733.000,-15000.000,21.250
16-10-2025 12:34:25.811,-15000.000,733.000,-15000.000,21.250
16-10-2025 12:34:25.907,-15000.000,734.000,-15000.000,21.250
16-10-2025 12:34:26.002,-15000.000,732.000,-15000.000,21.250
16-10-2025 12:34:26.113,-15000.000,729.000,-15000.000,21.251
16-10-2025 12:34:26.192,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:26.272,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:26.351,-15000.000,722.000,-15000.000,21.250
16-10-2025 12:34:26.430,-15000.000,720.000,-15000.000,21.250
16-10-2025 12:34:26.510,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:26.590,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:26.672,-15000.000,730.000,-15000.000,21.250
16-10-2025 12:34:26.748,-15000.000,732.000,-15000.000,21.250
16-10-2025 12:34:26.828,-15000.000,731.000,-15000.000,21.250
16-10-2025 12:34:26.923,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:27.034,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:27.156,-15000.000,719.000,-15000.000,21.250
16-10-2025 12:34:27.265,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:27.346,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:27.441,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:27.520,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:27.599,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:27.679,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:27.759,-15000.000,721.000,-15000.000,21.250
16-10-2025 12:34:27.836,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:27.916,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:27.996,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:28.076,-15000.000,721.000,-15000.000,21.250
16-10-2025 12:34:28.155,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:28.250,-15000.000,728.000,-15000.000,21.250
16-10-2025 12:34:28.346,-15000.000,729.000,-15000.000,21.250
16-10-2025 12:34:28.441,-15000.000,731.000,-15000.000,21.250
16-10-2025 12:34:28.520,-15000.000,730.000,-15000.000,21.250
16-10-2025 12:34:28.599,-15000.000,728.000,-15000.000,21.250
16-10-2025 12:34:28.679,-15000.000,727.000,-15000.000,21.250
16-10-2025 12:34:28.758,-15000.000,731.000,-15000.000,21.250
16-10-2025 12:34:28.837,-15000.000,729.000,-15000.000,21.250
16-10-2025 12:34:28.916,-15000.000,732.000,-15000.000,21.250
16-10-2025 12:34:28.996,-15000.000,730.000,-15000.000,21.250
16-10-2025 12:34:29.075,-15000.000,730.000,-15000.000,21.250
16-10-2025 12:34:29.155,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:29.235,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:29.330,-15000.000,719.000,-15000.000,21.250
16-10-2025 12:34:29.425,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:29.505,-15000.000,720.000,-15000.000,21.250
16-10-2025 12:34:29.584,-15000.000,719.000,-15000.000,21.250
16-10-2025 12:34:29.663,-15000.000,712.000,-15000.000,21.250
16-10-2025 12:34:29.743,-15000.000,712.000,-15000.000,21.250
16-10-2025 12:34:29.822,-15000.000,711.000,-15000.000,21.250
16-10-2025 12:34:29.901,-15000.000,716.000,-15000.000,21.250
16-10-2025 12:34:29.980,-15000.000,716.000,-15000.000,21.250
16-10-2025 12:34:30.059,-15000.000,720.000,-15000.000,21.250
16-10-2025 12:34:30.138,-15000.000,722.000,-15000.000,21.250
16-10-2025 12:34:30.218,-15000.000,726.000,-15000.000,21.250
16-10-2025 12:34:30.313,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:30.408,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:30.520,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:30.603,-15000.000,730.000,-15000.000,21.250
16-10-2025 12:34:30.679,-15000.000,726.000,-15000.000,21.250
16-10-2025 12:34:30.759,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:30.851,-15000.000,721.000,-15000.000,21.250
16-10-2025 12:34:30.946,-15000.000,722.000,-15000.000,21.250
16-10-2025 12:34:31.039,-15000.000,719.000,-15000.000,21.250
16-10-2025 12:34:31.119,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:31.197,-15000.000,727.000,-15000.000,21.250
16-10-2025 12:34:31.277,-15000.000,728.000,-15000.000,21.250
16-10-2025 12:34:31.357,-15000.000,723.000,-15000.000,21.250
16-10-2025 12:34:31.436,-15000.000,725.000,-15000.000,21.250
16-10-2025 12:34:31.532,-15000.000,721.000,-15000.000,21.250
16-10-2025 12:34:31.643,-15000.000,721.000,-15000.000,21.250
16-10-2025 12:34:31.754,-15000.000,722.000,-15000.000,21.250
16-10-2025 12:34:31.834,-15000.000,725.000,-15000.000,21.214
16-10-2025 12:34:31.913,-15000.000,720.000,-15000.000,21.232
16-10-2025 12:34:31.992,-15000.000,720.000,-15000.000,21.264
16-10-2025 12:34:32.072,-15000.000,714.000,-15000.000,21.234
16-10-2025 12:34:32.152,-15000.000,717.000,-15000.000,21.258
16-10-2025 12:34:32.231,-15000.000,719.000,-15000.000,21.253
16-10-2025 12:34:32.312,-15000.000,722.000,-15000.000,21.262
16-10-2025 12:34:32.390,-15000.000,720.000,-15000.000,21.252
16-10-2025 12:34:32.486,-15000.000,719.000,-15000.000,21.252
16-10-2025 12:34:32.580,-15000.000,716.000,-15000.000,21.249
16-10-2025 12:34:32.690,-15000.000,717.000,-15000.000,21.244
16-10-2025 12:34:32.785,-15000.000,720.000,-15000.000,21.246
16-10-2025 12:34:32.868,-15000.000,725.000,-15000.000,21.251
16-10-2025 12:34:32.944,-15000.000,726.000,-15000.000,21.244
16-10-2025 12:34:33.023,-15000.000,727.000,-15000.000,21.252
16-10-2025 12:34:33.103,-15000.000,718.000,-15000.000,21.243
16-10-2025 12:34:33.182,-15000.000,712.000,-15000.000,21.255
16-10-2025 12:34:33.261,-15000.000,714.000,-15000.000,21.246
16-10-2025 12:34:33.341,-15000.000,717.000,-15000.000,21.254
16-10-2025 12:34:33.424,-15000.000,715.000,-15000.000,21.243
16-10-2025 12:34:33.499,-15000.000,715.000,-15000.000,21.244
16-10-2025 12:34:33.578,-15000.000,715.000,-15000.000,21.248
16-10-2025 12:34:33.658,-15000.000,716.000,-15000.000,21.254
16-10-2025 12:34:33.738,-15000.000,718.000,-15000.000,21.247
16-10-2025 12:34:33.802,-15000.000,717.000,-15000.000,21.247
16-10-2025 12:34:33.885,-15000.000,717.000,-15000.000,21.250
16-10-2025 12:34:33.959,-15000.000,719.000,-15000.000,21.254
16-10-2025 12:34:34.039,-15000.000,718.000,-15000.000,21.244
16-10-2025 12:34:34.118,-15000.000,719.000,-15000.000,21.252
16-10-2025 12:34:34.197,-15000.000,720.000,-15000.000,21.247
16-10-2025 12:34:34.277,-15000.000,718.000,-15000.000,21.247
16-10-2025 12:34:34.357,-15000.000,718.000,-15000.000,21.246
16-10-2025 12:34:34.435,-15000.000,718.000,-15000.000,21.252
16-10-2025 12:34:34.515,-15000.000,716.000,-15000.000,21.247
16-10-2025 12:34:34.611,-15000.000,721.000,-15000.000,21.253
16-10-2025 12:34:34.705,-15000.000,718.000,-15000.000,21.251
16-10-2025 12:34:34.801,-15000.000,726.000,-15000.000,21.253
16-10-2025 12:34:34.910,-15000.000,729.000,-15000.000,21.246
16-10-2025 12:34:34.989,-15000.000,728.000,-15000.000,21.250
16-10-2025 12:34:35.068,-15000.000,724.000,-15000.000,21.250
16-10-2025 12:34:35.147,-15000.000,722.000,-15000.000,21.249
16-10-2025 12:34:35.227,-15000.000,718.000,-15000.000,21.249
16-10-2025 12:34:35.307,-15000.000,721.000,-15000.000,21.250
16-10-2025 12:34:35.386,-15000.000,717.000,-15000.000,21.250
16-10-2025 12:34:35.465,-15000.000,718.000,-15000.000,21.246
16-10-2025 12:34:35.544,-15000.000,715.000,-15000.000,21.252
16-10-2025 12:34:35.623,-15000.000,718.000,-15000.000,21.246
16-10-2025 12:34:35.719,-15000.000,720.000,-15000.000,21.249
16-10-2025 12:34:35.798,-15000.000,716.000,-15000.000,21.250
16-10-2025 12:34:35.909,-15000.000,714.000,-15000.000,21.251
16-10-2025 12:34:36.004,-15000.000,714.000,-15000.000,21.251
16-10-2025 12:34:36.084,-15000.000,711.000,-15000.000,21.247
16-10-2025 12:34:36.164,-15000.000,711.000,-15000.000,21.249
16-10-2025 12:34:36.244,-15000.000,711.000,-15000.000,21.250
16-10-2025 12:34:36.324,-15000.000,713.000,-15000.000,21.246
16-10-2025 12:34:36.403,-15000.000,714.000,-15000.000,21.249
16-10-2025 12:34:36.483,-15000.000,717.000,-15000.000,21.248
