Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:47:41.606,-15000.000,641.000,-15000.000,21.206
16-10-2025 12:47:41.701,-15000.000,622.000,-15000.000,21.206
16-10-2025 12:47:41.780,-15000.000,615.000,-15000.000,21.206
16-10-2025 12:47:41.863,-15000.000,612.000,-15000.000,21.206
16-10-2025 12:47:41.954,-15000.000,622.000,-15000.000,21.206
16-10-2025 12:47:42.052,-15000.000,692.000,-15000.000,21.206
16-10-2025 12:47:42.174,-15000.000,744.000,-15000.000,21.205
16-10-2025 12:47:42.268,-15000.000,738.000,-15000.000,21.206
16-10-2025 12:47:42.351,-15000.000,733.000,-15000.000,21.205
16-10-2025 12:47:42.428,-15000.000,734.000,-15000.000,21.204
16-10-2025 12:47:42.511,-15000.000,734.000,-15000.000,21.204
16-10-2025 12:47:42.586,-15000.000,732.000,-15000.000,21.203
16-10-2025 12:47:42.668,-15000.000,732.000,-15000.000,21.203
16-10-2025 12:47:42.744,-15000.000,734.000,-15000.000,21.203
16-10-2025 12:47:42.823,-15000.000,732.000,-15000.000,21.204
16-10-2025 12:47:42.903,-15000.000,733.000,-15000.000,21.204
16-10-2025 12:47:42.982,-15000.000,734.000,-15000.000,21.203
16-10-2025 12:47:43.060,-15000.000,737.000,-15000.000,21.203
16-10-2025 12:47:43.140,-15000.000,733.000,-15000.000,21.203
16-10-2025 12:47:43.235,-15000.000,730.000,-15000.000,21.203
16-10-2025 12:47:43.315,-15000.000,729.000,-15000.000,21.203
16-10-2025 12:47:43.395,-15000.000,728.000,-15000.000,21.203
16-10-2025 12:47:43.474,-15000.000,726.000,-15000.000,21.203
16-10-2025 12:47:43.553,-15000.000,728.000,-15000.000,21.203
16-10-2025 12:47:43.632,-15000.000,725.000,-15000.000,21.203
16-10-2025 12:47:43.712,-15000.000,727.000,-15000.000,21.203
16-10-2025 12:47:43.792,-15000.000,724.000,-15000.000,21.203
16-10-2025 12:47:43.874,-15000.000,727.000,-15000.000,21.203
16-10-2025 12:47:43.950,-15000.000,727.000,-15000.000,21.204
16-10-2025 12:47:44.029,-15000.000,725.000,-15000.000,21.204
16-10-2025 12:47:44.109,-15000.000,729.000,-15000.000,21.204
16-10-2025 12:47:44.205,-15000.000,731.000,-15000.000,21.204
16-10-2025 12:47:44.300,-15000.000,730.000,-15000.000,21.204
16-10-2025 12:47:44.395,-15000.000,729.000,-15000.000,21.205
16-10-2025 12:47:44.474,-15000.000,723.000,-15000.000,21.205
16-10-2025 12:47:44.553,-15000.000,722.000,-15000.000,21.206
16-10-2025 12:47:44.633,-15000.000,720.000,-15000.000,21.206
16-10-2025 12:47:44.713,-15000.000,722.000,-15000.000,21.206
16-10-2025 12:47:44.792,-15000.000,721.000,-15000.000,21.207
16-10-2025 12:47:44.873,-15000.000,723.000,-15000.000,21.207
16-10-2025 12:47:44.951,-15000.000,721.000,-15000.000,21.206
16-10-2025 12:47:45.030,-15000.000,727.000,-15000.000,21.206
16-10-2025 12:47:45.126,-15000.000,727.000,-15000.000,21.206
16-10-2025 12:47:45.221,-15000.000,730.000,-15000.000,21.206
16-10-2025 12:47:45.301,-15000.000,724.000,-15000.000,21.206
16-10-2025 12:47:45.380,-15000.000,723.000,-15000.000,21.206
16-10-2025 12:47:45.460,-15000.000,723.000,-15000.000,21.206
16-10-2025 12:47:45.540,-15000.000,727.000,-15000.000,21.206
16-10-2025 12:47:45.620,-15000.000,726.000,-15000.000,21.206
16-10-2025 12:47:45.700,-15000.000,725.000,-15000.000,21.206
16-10-2025 12:47:45.779,-15000.000,724.000,-15000.000,21.206
16-10-2025 12:47:45.859,-15000.000,724.000,-15000.000,21.205
16-10-2025 12:47:45.953,-15000.000,723.000,-15000.000,21.204
16-10-2025 12:47:46.060,-15000.000,725.000,-15000.000,21.204
