Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:48:52.794,-15000.000,642.000,-15000.000,21.139
16-10-2025 12:48:52.886,-15000.000,620.000,-15000.000,21.139
16-10-2025 12:48:52.982,-15000.000,613.000,-15000.000,21.139
16-10-2025 12:48:53.061,-15000.000,613.000,-15000.000,21.139
16-10-2025 12:48:53.156,-15000.000,621.000,-15000.000,21.139
16-10-2025 12:48:53.251,-15000.000,692.000,-15000.000,21.139
16-10-2025 12:48:53.330,-15000.000,741.000,-15000.000,21.139
16-10-2025 12:48:53.410,-15000.000,738.000,-15000.000,21.139
16-10-2025 12:48:53.490,-15000.000,731.000,-15000.000,21.138
16-10-2025 12:48:53.570,-15000.000,728.000,-15000.000,21.139
16-10-2025 12:48:53.649,-15000.000,725.000,-15000.000,21.139
16-10-2025 12:48:53.729,-15000.000,724.000,-15000.000,21.139
16-10-2025 12:48:53.808,-15000.000,722.000,-15000.000,21.139
16-10-2025 12:48:53.887,-15000.000,722.000,-15000.000,21.139
16-10-2025 12:48:53.967,-15000.000,724.000,-15000.000,21.139
16-10-2025 12:48:54.046,-15000.000,728.000,-15000.000,21.140
16-10-2025 12:48:54.141,-15000.000,731.000,-15000.000,21.140
16-10-2025 12:48:54.252,-15000.000,731.000,-15000.000,21.139
16-10-2025 12:48:54.347,-15000.000,729.000,-15000.000,21.139
16-10-2025 12:48:54.427,-15000.000,732.000,-15000.000,21.139
16-10-2025 12:48:54.507,-15000.000,728.000,-15000.000,21.140
16-10-2025 12:48:54.586,-15000.000,728.000,-15000.000,21.140
16-10-2025 12:48:54.666,-15000.000,725.000,-15000.000,21.140
16-10-2025 12:48:54.745,-15000.000,726.000,-15000.000,21.140
16-10-2025 12:48:54.825,-15000.000,723.000,-15000.000,21.140
16-10-2025 12:48:54.904,-15000.000,725.000,-15000.000,21.139
16-10-2025 12:48:54.983,-15000.000,726.000,-15000.000,21.139
16-10-2025 12:48:55.078,-15000.000,729.000,-15000.000,21.139
16-10-2025 12:48:55.174,-15000.000,727.000,-15000.000,21.140
16-10-2025 12:48:55.285,-15000.000,729.000,-15000.000,21.139
16-10-2025 12:48:55.364,-15000.000,729.000,-15000.000,21.140
16-10-2025 12:48:55.452,-15000.000,732.000,-15000.000,21.140
16-10-2025 12:48:55.536,-15000.000,732.000,-15000.000,21.141
16-10-2025 12:48:55.630,-15000.000,731.000,-15000.000,21.142
16-10-2025 12:48:55.711,-15000.000,728.000,-15000.000,21.141
16-10-2025 12:48:55.787,-15000.000,727.000,-15000.000,21.143
16-10-2025 12:48:55.870,-15000.000,726.000,-15000.000,21.143
16-10-2025 12:48:55.946,-15000.000,725.000,-15000.000,21.143
16-10-2025 12:48:56.026,-15000.000,722.000,-15000.000,21.143
