Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:55:50.864,-15000.000,641.000,-15000.000,21.073
16-10-2025 12:55:50.958,-15000.000,617.000,-15000.000,21.073
16-10-2025 12:55:51.037,-15000.000,613.000,-15000.000,21.073
16-10-2025 12:55:51.116,-15000.000,610.000,-15000.000,21.073
16-10-2025 12:55:51.197,-15000.000,620.000,-15000.000,21.073
16-10-2025 12:55:51.276,-15000.000,690.000,-15000.000,21.073
16-10-2025 12:55:51.355,-15000.000,742.000,-15000.000,21.073
16-10-2025 12:55:51.435,-15000.000,738.000,-15000.000,21.073
16-10-2025 12:55:51.515,-15000.000,734.000,-15000.000,21.073
16-10-2025 12:55:51.597,-15000.000,733.000,-15000.000,21.073
16-10-2025 12:55:51.674,-15000.000,728.000,-15000.000,21.073
16-10-2025 12:55:51.770,-15000.000,728.000,-15000.000,21.073
16-10-2025 12:55:51.849,-15000.000,728.000,-15000.000,21.073
16-10-2025 12:55:51.928,-15000.000,727.000,-15000.000,21.073
16-10-2025 12:55:52.008,-15000.000,727.000,-15000.000,21.073
16-10-2025 12:55:52.087,-15000.000,732.000,-15000.000,21.073
16-10-2025 12:55:52.167,-15000.000,729.000,-15000.000,21.073
16-10-2025 12:55:52.246,-15000.000,728.000,-15000.000,21.073
16-10-2025 12:55:52.326,-15000.000,729.000,-15000.000,21.073
16-10-2025 12:55:52.406,-15000.000,727.000,-15000.000,21.073
16-10-2025 12:55:52.500,-15000.000,722.000,-15000.000,21.073
16-10-2025 12:55:52.579,-15000.000,720.000,-15000.000,21.074
16-10-2025 12:55:52.659,-15000.000,721.000,-15000.000,21.073
16-10-2025 12:55:52.739,-15000.000,724.000,-15000.000,21.074
16-10-2025 12:55:52.819,-15000.000,724.000,-15000.000,21.076
16-10-2025 12:55:52.898,-15000.000,729.000,-15000.000,21.076
16-10-2025 12:55:52.977,-15000.000,730.000,-15000.000,21.076
16-10-2025 12:55:53.056,-15000.000,730.000,-15000.000,21.077
16-10-2025 12:55:53.135,-15000.000,733.000,-15000.000,21.078
16-10-2025 12:55:53.215,-15000.000,731.000,-15000.000,21.078
16-10-2025 12:55:53.294,-15000.000,729.000,-15000.000,21.078
16-10-2025 12:55:53.374,-15000.000,732.000,-15000.000,21.077
16-10-2025 12:55:53.469,-15000.000,730.000,-15000.000,21.077
16-10-2025 12:55:53.564,-15000.000,729.000,-15000.000,21.077
16-10-2025 12:55:53.687,-15000.000,729.000,-15000.000,21.077
16-10-2025 12:55:53.797,-15000.000,724.000,-15000.000,21.077
