Time,Temperature (°C),Peak (line),Measurement Rate(Hz),Distance (mm)
16-10-2025 12:58:45.909,-15000.000,636.000,-15000.000,20.982
16-10-2025 12:58:46.019,-15000.000,613.000,-15000.000,20.981
16-10-2025 12:58:46.099,-15000.000,611.000,-15000.000,20.981
16-10-2025 12:58:46.178,-15000.000,605.000,-15000.000,20.981
16-10-2025 12:58:46.258,-15000.000,614.000,-15000.000,20.981
16-10-2025 12:58:46.340,-15000.000,684.000,-15000.000,20.981
16-10-2025 12:58:46.420,-15000.000,739.000,-15000.000,20.981
16-10-2025 12:58:46.496,-15000.000,735.000,-15000.000,20.981
16-10-2025 12:58:46.575,-15000.000,729.000,-15000.000,20.981
16-10-2025 12:58:46.655,-15000.000,729.000,-15000.000,20.981
16-10-2025 12:58:46.749,-15000.000,728.000,-15000.000,20.981
16-10-2025 12:58:46.844,-15000.000,728.000,-15000.000,20.981
16-10-2025 12:58:46.941,-15000.000,727.000,-15000.000,20.981
16-10-2025 12:58:47.036,-15000.000,726.000,-15000.000,20.981
16-10-2025 12:58:47.115,-15000.000,726.000,-15000.000,20.982
16-10-2025 12:58:47.194,-15000.000,731.000,-15000.000,20.983
16-10-2025 12:58:47.273,-15000.000,731.000,-15000.000,20.983
16-10-2025 12:58:47.353,-15000.000,732.000,-15000.000,20.985
16-10-2025 12:58:47.432,-15000.000,730.000,-15000.000,20.986
16-10-2025 12:58:47.512,-15000.000,730.000,-15000.000,20.986
16-10-2025 12:58:47.591,-15000.000,729.000,-15000.000,20.986
16-10-2025 12:58:47.670,-15000.000,731.000,-15000.000,20.986
16-10-2025 12:58:47.749,-15000.000,725.000,-15000.000,20.987
16-10-2025 12:58:47.844,-15000.000,726.000,-15000.000,20.987
16-10-2025 12:58:47.939,-15000.000,724.000,-15000.000,20.987
16-10-2025 12:58:48.034,-15000.000,727.000,-15000.000,20.987
16-10-2025 12:58:48.158,-15000.000,728.000,-15000.000,20.987
16-10-2025 12:58:48.282,-15000.000,727.000,-15000.000,20.988
16-10-2025 12:58:48.378,-15000.000,728.000,-15000.000,20.987
16-10-2025 12:58:48.458,-15000.000,731.000,-15000.000,20.987
16-10-2025 12:58:48.536,-15000.000,731.000,-15000.000,20.987
16-10-2025 12:58:48.617,-15000.000,732.000,-15000.000,20.987
16-10-2025 12:58:48.696,-15000.000,734.000,-15000.000,20.987
16-10-2025 12:58:48.776,-15000.000,729.000,-15000.000,20.987
16-10-2025 12:58:48.858,-15000.000,726.000,-15000.000,20.987
16-10-2025 12:58:48.933,-15000.000,723.000,-15000.000,20.987
16-10-2025 12:58:49.012,-15000.000,725.000,-15000.000,20.987
16-10-2025 12:58:49.091,-15000.000,723.000,-15000.000,20.988
16-10-2025 12:58:49.171,-15000.000,721.000,-15000.000,20.987
16-10-2025 12:58:49.265,-15000.000,723.000,-15000.000,20.987
16-10-2025 12:58:49.360,-15000.000,721.000,-15000.000,20.987
16-10-2025 12:58:49.456,-15000.000,725.000,-15000.000,20.987
16-10-2025 12:58:49.551,-15000.000,728.000,-15000.000,20.987
16-10-2025 12:58:49.631,-15000.000,729.000,-15000.000,20.987
16-10-2025 12:58:49.711,-15000.000,724.000,-15000.000,20.988
16-10-2025 12:58:49.790,-15000.000,725.000,-15000.000,20.988
16-10-2025 12:58:49.874,-15000.000,724.000,-15000.000,20.988
16-10-2025 12:58:49.948,-15000.000,727.000,-15000.000,20.988
16-10-2025 12:58:50.027,-15000.000,725.000,-15000.000,20.988
16-10-2025 12:58:50.108,-15000.000,724.000,-15000.000,20.988
16-10-2025 12:58:50.186,-15000.000,725.000,-15000.000,20.988
16-10-2025 12:58:50.265,-15000.000,726.000,-15000.000,20.988
16-10-2025 12:58:50.360,-15000.000,726.000,-15000.000,20.988
16-10-2025 12:58:50.472,-15000.000,723.000,-15000.000,20.989
16-10-2025 12:58:50.551,-15000.000,725.000,-15000.000,20.989
16-10-2025 12:58:50.631,-15000.000,730.000,-15000.000,20.989
16-10-2025 12:58:50.710,-15000.000,726.000,-15000.000,20.988
16-10-2025 12:58:50.789,-15000.000,726.000,-15000.000,20.988
16-10-2025 12:58:50.869,-15000.000,727.000,-15000.000,20.988
16-10-2025 12:58:50.948,-15000.000,727.000,-15000.000,20.988
16-10-2025 12:58:51.027,-15000.000,728.000,-15000.000,20.988
16-10-2025 12:58:51.123,-15000.000,726.000,-15000.000,20.988
16-10-2025 12:58:51.202,-15000.000,728.000,-15000.000,20.988
16-10-2025 12:58:51.297,-15000.000,731.000,-15000.000,20.988
16-10-2025 12:58:51.392,-15000.000,728.000,-15000.000,20.988
16-10-2025 12:58:51.487,-15000.000,728.000,-15000.000,20.988
16-10-2025 12:58:51.567,-15000.000,726.000,-15000.000,20.988
16-10-2025 12:58:51.646,-15000.000,728.000,-15000.000,20.988
16-10-2025 12:58:51.726,-15000.000,725.000,-15000.000,20.989
16-10-2025 12:58:51.806,-15000.000,726.000,-15000.000,20.989
16-10-2025 12:58:51.900,-15000.000,723.000,-15000.000,20.989
16-10-2025 12:58:51.993,-15000.000,725.000,-15000.000,20.989
16-10-2025 12:58:52.086,-15000.000,724.000,-15000.000,20.988
16-10-2025 12:58:52.166,-15000.000,725.000,-15000.000,20.988
16-10-2025 12:58:52.245,-15000.000,722.000,-15000.000,20.988
16-10-2025 12:58:52.325,-15000.000,721.000,-15000.000,20.988
16-10-2025 12:58:52.405,-15000.000,719.000,-15000.000,20.988
16-10-2025 12:58:52.483,-15000.000,718.000,-15000.000,20.987
16-10-2025 12:58:52.579,-15000.000,715.000,-15000.000,20.987
16-10-2025 12:58:52.674,-15000.000,716.000,-15000.000,20.987
16-10-2025 12:58:52.769,-15000.000,718.000,-15000.000,20.987
16-10-2025 12:58:52.849,-15000.000,720.000,-15000.000,20.987
16-10-2025 12:58:52.927,-15000.000,718.000,-15000.000,20.987
16-10-2025 12:58:53.007,-15000.000,722.000,-15000.000,20.987
16-10-2025 12:58:53.086,-15000.000,723.000,-15000.000,20.987
16-10-2025 12:58:53.165,-15000.000,724.000,-15000.000,20.972
16-10-2025 12:58:53.245,-15000.000,726.000,-15000.000,20.982
16-10-2025 12:58:53.324,-15000.000,728.000,-15000.000,20.992
16-10-2025 12:58:53.404,-15000.000,723.000,-15000.000,20.982
16-10-2025 12:58:53.485,-15000.000,723.000,-15000.000,20.984
16-10-2025 12:58:53.581,-15000.000,719.000,-15000.000,20.986
16-10-2025 12:58:53.691,-15000.000,721.000,-15000.000,20.987
16-10-2025 12:58:53.770,-15000.000,720.000,-15000.000,20.986
16-10-2025 12:58:53.849,-15000.000,721.000,-15000.000,20.986
16-10-2025 12:58:53.928,-15000.000,721.000,-15000.000,20.986
16-10-2025 12:58:54.008,-15000.000,723.000,-15000.000,20.986
16-10-2025 12:58:54.088,-15000.000,721.000,-15000.000,20.985
16-10-2025 12:58:54.167,-15000.000,724.000,-15000.000,20.983
16-10-2025 12:58:54.247,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:54.326,-15000.000,718.000,-15000.000,20.981
16-10-2025 12:58:54.406,-15000.000,718.000,-15000.000,20.980
16-10-2025 12:58:54.486,-15000.000,719.000,-15000.000,20.981
16-10-2025 12:58:54.565,-15000.000,717.000,-15000.000,20.981
16-10-2025 12:58:54.645,-15000.000,715.000,-15000.000,20.981
16-10-2025 12:58:54.724,-15000.000,713.000,-15000.000,20.981
16-10-2025 12:58:54.804,-15000.000,713.000,-15000.000,20.981
16-10-2025 12:58:54.884,-15000.000,716.000,-15000.000,20.981
16-10-2025 12:58:54.962,-15000.000,717.000,-15000.000,20.981
16-10-2025 12:58:55.042,-15000.000,715.000,-15000.000,20.981
16-10-2025 12:58:55.129,-15000.000,715.000,-15000.000,20.981
16-10-2025 12:58:55.226,-15000.000,715.000,-15000.000,20.980
16-10-2025 12:58:55.322,-15000.000,715.000,-15000.000,20.981
16-10-2025 12:58:55.404,-15000.000,717.000,-15000.000,20.981
16-10-2025 12:58:55.479,-15000.000,720.000,-15000.000,20.982
16-10-2025 12:58:55.558,-15000.000,723.000,-15000.000,20.982
16-10-2025 12:58:55.638,-15000.000,719.000,-15000.000,20.982
16-10-2025 12:58:55.717,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:55.797,-15000.000,718.000,-15000.000,20.981
16-10-2025 12:58:55.892,-15000.000,715.000,-15000.000,20.982
16-10-2025 12:58:55.987,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:56.097,-15000.000,717.000,-15000.000,20.982
16-10-2025 12:58:56.177,-15000.000,721.000,-15000.000,20.982
16-10-2025 12:58:56.256,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:56.335,-15000.000,717.000,-15000.000,20.982
16-10-2025 12:58:56.415,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:56.495,-15000.000,716.000,-15000.000,20.981
16-10-2025 12:58:56.574,-15000.000,714.000,-15000.000,20.982
16-10-2025 12:58:56.654,-15000.000,716.000,-15000.000,20.982
16-10-2025 12:58:56.733,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:56.830,-15000.000,723.000,-15000.000,20.982
16-10-2025 12:58:56.908,-15000.000,718.000,-15000.000,20.982
16-10-2025 12:58:56.987,-15000.000,718.000,-15000.000,20.983
16-10-2025 12:58:57.067,-15000.000,717.000,-15000.000,20.982
16-10-2025 12:58:57.146,-15000.000,717.000,-15000.000,20.983
16-10-2025 12:58:57.226,-15000.000,718.000,-15000.000,20.983
16-10-2025 12:58:57.305,-15000.000,721.000,-15000.000,20.983
16-10-2025 12:58:57.385,-15000.000,720.000,-15000.000,20.983
16-10-2025 12:58:57.464,-15000.000,719.000,-15000.000,20.983
16-10-2025 12:58:57.544,-15000.000,721.000,-15000.000,20.983
16-10-2025 12:58:57.623,-15000.000,726.000,-15000.000,20.983
16-10-2025 12:58:57.703,-15000.000,721.000,-15000.000,20.984
16-10-2025 12:58:57.798,-15000.000,719.000,-15000.000,20.984
16-10-2025 12:58:57.896,-15000.000,714.000,-15000.000,20.984
16-10-2025 12:58:58.006,-15000.000,718.000,-15000.000,20.984
16-10-2025 12:58:58.083,-15000.000,717.000,-15000.000,20.984
16-10-2025 12:58:58.162,-15000.000,717.000,-15000.000,20.984
16-10-2025 12:58:58.242,-15000.000,718.000,-15000.000,20.984
16-10-2025 12:58:58.322,-15000.000,717.000,-15000.000,20.985
16-10-2025 12:58:58.410,-15000.000,717.000,-15000.000,20.983
16-10-2025 12:58:58.507,-15000.000,715.000,-15000.000,20.984
16-10-2025 12:58:58.602,-15000.000,713.000,-15000.000,20.983
16-10-2025 12:58:58.686,-15000.000,716.000,-15000.000,20.983
16-10-2025 12:58:58.766,-15000.000,714.000,-15000.000,20.982
16-10-2025 12:58:58.845,-15000.000,714.000,-15000.000,20.982
16-10-2025 12:58:58.923,-15000.000,717.000,-15000.000,20.982
16-10-2025 12:58:59.000,-15000.000,714.000,-15000.000,20.983
16-10-2025 12:58:59.080,-15000.000,712.000,-15000.000,20.982
16-10-2025 12:58:59.159,-15000.000,714.000,-15000.000,20.982
16-10-2025 12:58:59.270,-15000.000,715.000,-15000.000,20.982
