t(s),a_x(m/s^2),a_y(m/s^2),a_z(m/s^2),angular velocity (rad/s)
0.476754,-0.099901,0.078543,-0.055726,-0.055726
0.4867,-0.032172,0.021566,-0.14295,-0.14295
0.496645,0.069268,0.028623,-0.229904,-0.229904
0.50659,0.093119,-0.071076,-0.22236,-0.22236
0.516536,0.067174,0.005257,-0.135855,-0.135855
0.526481,0.037921,0.035797,-0.058818,-0.058818
0.536426,0.010531,0.073549,-0.064676,-0.064676
0.546372,-0.025988,0.148209,-0.196196,-0.196196
0.556317,-0.052855,0.170204,-0.431436,-0.431436
0.566262,-0.083078,0.13943,-0.658101,-0.658101
0.576208,0.088388,-0.452916,-0.470726,-0.470726
0.586153,0.3978,-0.258127,-0.11204,-0.11204
0.596099,0.271465,0.031169,-0.183572,-0.183572
0.606044,0.128447,-0.182141,-0.214679,-0.214679
0.615989,-0.007657,0.084185,-0.238083,-0.238083
0.625935,-0.129003,0.092832,-0.277228,-0.277228
0.63588,-0.186019,0.045798,-0.313486,-0.313486
0.645825,-0.182526,0.104853,-0.34179,-0.34179
0.655771,-0.12406,0.04171,-0.390182,-0.390182
0.665716,-0.025111,0.006793,-0.435345,-0.435345
0.675661,0.059,-0.030244,-0.492736,-0.492736
0.685607,0.11686,-0.076173,-0.547138,-0.547138
0.695552,0.142002,-0.094114,-0.603489,-0.603489
0.705497,0.129782,-0.101871,-0.665173,-0.665173
0.715443,0.095661,-0.079246,-0.734908,-0.734908
0.725388,0.042366,-0.060613,-0.801575,-0.801575
0.735334,-0.001787,-0.056323,-0.88306,-0.88306
0.745279,-0.035133,-0.062889,-0.893345,-0.893345
0.755224,-0.03094,-0.106071,-0.811297,-0.811297
0.76517,-0.074123,-0.312001,-0.578115,-0.578115
0.775115,-0.147456,-0.662197,-0.432842,-0.432842
0.78506,-0.139501,-0.855594,-0.513122,-0.513122
0.795006,-0.095492,-0.9286,-0.704586,-0.704586
0.804951,-0.123578,-1.045518,-0.86566,-0.86566
0.814896,-0.123655,-1.380448,-1.063994,-1.063994
0.824842,-0.143499,-1.701643,-1.260229,-1.260229
0.834787,-0.193145,-1.896142,-1.529617,-1.529617
0.844732,-0.248068,-2.230601,-2.080222,-2.080222
0.854678,-0.251025,-2.426816,-2.682472,-2.682472
0.864623,-0.191961,-2.400432,-3.246759,-3.246759
0.874568,-0.159495,-2.049551,-3.874767,-3.874767
0.884514,-0.13658,-1.572811,-4.625328,-4.625328
0.894459,-0.100182,-0.897315,-5.103695,-5.103695
0.904405,-0.037327,0.11797,-5.638107,-5.638107
0.91435,0.036147,1.279109,-6.059976,-6.059976
0.924295,0.109554,2.544178,-5.944959,-5.944959
0.934241,0.223913,3.639908,-5.650408,-5.650408
,,,-6.059976,-6.059976
,,,-11.835645,-11.835645
,,,-12.606755,-12.606755
,,,-13.496763,-13.496763
