frequency,V/V_input 100 Ohm,100 Ohm normalized,V/V_input 440 Ohm,440 Ohm normalized
Hz,unitless,,unitless,
,error: +- 10%,,error: +- 10%,
6205,0.189,1,0.941,1
760,0.08,0.423280423280423,0.772,0.820403825717322
1160,0.104,0.55026455026455,0.85,0.903294367693943
1770,0.141,0.746031746031746,0.9,0.956429330499469
2690,0.166,0.878306878306878,0.922,0.9798087141339
4080,0.181,0.957671957671958,0.935,0.993623804463337
9430,0.185,0.978835978835979,0.934,0.992561105207227
14340,0.168,0.888888888888889,0.928,0.986184909670563
21790,0.136,0.71957671957672,0.907,0.963868225292242
33120,0.108,0.571428571428571,0.862,0.916046758767269
50000,0.082,0.433862433862434,0.807,0.85759829968119
500,,,0.657,0.698193411264612
330,,,0.51,0.541976620616366
220,,,0.377,0.400637619553666
5030,0.188,0.994708994708995,,
7650,0.188,0.994708994708995,,
